"param","value","catchable_fraction","error"
"alpha",0.02,3.24867532333145e-28,NA
"alpha",0.0260293217744639,1.64489463269365e-22,NA
"alpha",0.0338762796019291,1.542007087778e-17,NA
"alpha",0.044088829114016,2.71495277977809e-13,NA
"alpha",0.0573801159834037,1.07773794242744e-09,NA
"alpha",0.0746782751194038,8.85476802894858e-07,NA
"alpha",0.0971912426322452,0.000208416156416286,NA
"alpha",0.126491106406735,0.010999682466996,NA
"alpha",0.164623885513443,0.0875949170336869,NA
"alpha",0.214252404389596,0.25473981120193,NA
"alpha",0.278842238740468,0.461313542661906,NA
"alpha",0.362903717824376,0.646800104497175,NA
"alpha",0.472306882219997,0.783114044585796,NA
"alpha",0.614691390679907,0.870757605583888,NA
"alpha",0.8,0.922989014376408,NA
"gamma",100,2.19707972191931e-05,NA
"gamma",132.237612712501,0.000116296900371842,NA
"gamma",174.867862159014,0.000193576791331634,NA
"gamma",231.241086320467,0.000245278286623144,NA
"gamma",305.787692160639,9.47730370629889e-05,NA
"gamma",404.366344081881,0.000403035196163839,NA
"gamma",534.724400026697,0.000364331341875696,NA
"gamma",707.106781186548,0.000361775375007751,NA
"gamma",935.061126769299,0.000363555308546684,NA
"gamma",1236.50251144233,0.000385078032424071,NA
"gamma",1635.12140226146,0.000403090303323037,NA
"gamma",2162.24550730173,0.000417811873001781,NA
"gamma",2859.30183983911,0.000429364297036428,NA
"gamma",3781.07249324785,0.000449607374134194,NA
"gamma",5000,0.000466516360391576,NA
"ks",0,0.000343896734206915,NA
"ks",0.5,1.02893317572962e-05,NA
"ks",1,1.77266446971333e-08,NA
"ks",1.5,1.20548788876692e-13,NA
"ks",2,2.98924130522153e-23,NA
"ks",2.5,3.60163484361752e-65,NA
"ks",3,NA,"The feeding level is not sufficient to maintain the fish."
"ks",3.5,NA,"The feeding level is not sufficient to maintain the fish."
"ks",4,NA,"The feeding level is not sufficient to maintain the fish."
"ks",4.5,NA,"The feeding level is not sufficient to maintain the fish."
"ks",5,NA,"The feeding level is not sufficient to maintain the fish."
"ks",5.5,NA,"The feeding level is not sufficient to maintain the fish."
"ks",6,NA,"The feeding level is not sufficient to maintain the fish."
"kappa",0.001,1.35101646697729e-06,NA
"kappa",0.00163789370695406,3.25348141087428e-06,NA
"kappa",0.00268269579527973,4.35485469144226e-06,NA
"kappa",0.00439397056076079,1.76272861163677e-05,NA
"kappa",0.00719685673001152,4.77990054748043e-05,NA
"kappa",0.0117876863479359,0.000121109347024754,NA
"kappa",0.0193069772888325,9.95899922782322e-05,NA
"kappa",0.0316227766016838,0.00015809676052549,NA
"kappa",0.0517947467923121,0.000394271713603551,NA
"kappa",0.0848342898244072,0.000359506127039536,NA
"kappa",0.138949549437314,0.000396200865487218,NA
"kappa",0.227584592607479,0.000422351389121634,NA
"kappa",0.372759372031494,0.000451969024343526,NA
"kappa",0.610540229658533,0.000478528499425638,NA
"kappa",1,0.000495661111031909,NA
