"param","value","catchable_fraction","error"
"alpha",0.05,1.73045766695156e-11,NA
"alpha",0.0538757058509212,1.7136893475379e-10,NA
"alpha",0.0580518336186997,1.49925034782314e-09,NA
"alpha",0.0625516702429537,1.16072149041845e-08,NA
"alpha",0.0674003077298639,7.60842968647512e-08,NA
"alpha",0.0726247830703143,5.03341471365767e-07,NA
"alpha",0.0782542290036644,2.92532071589708e-06,NA
"alpha",0.084320036467841,1.3109793635975e-05,NA
"alpha",0.090856029641607,5.47932011770676e-05,NA
"alpha",0.0978986545550759,0.000236609483842277,NA
"alpha",0.105487182320204,0.000843463203237075,NA
"alpha",0.113663928114517,0.00266877503403743,NA
"alpha",0.122474487139159,0.00740646430040832,NA
"alpha",0.131967988867035,0.0176400533828605,NA
"alpha",0.142197370998761,0.03503226237677,NA
"alpha",0.153219674654071,0.0584758544513205,NA
"alpha",0.165096362444731,0.0889233783572921,NA
"alpha",0.177893661202588,0.128049616161163,NA
"alpha",0.191682931273882,0.174846630186262,NA
"alpha",0.20654106443908,0.227405310864261,NA
"alpha",0.222550912677121,0.283838358604573,NA
"alpha",0.239801750164932,0.342431793742484,NA
"alpha",0.25838977108844,0.401649670859415,NA
"alpha",0.278418626040953,0.4601384592804,NA
"alpha",0.3,0.516745667717681,NA
