"param","value","catchable_fraction","error"
"alpha",0.02,3.24867532333145e-28,NA
"alpha",0.0260293217744639,1.64489463269365e-22,NA
"alpha",0.0338762796019291,1.542007087778e-17,NA
"alpha",0.044088829114016,2.71495277977809e-13,NA
"alpha",0.0573801159834037,1.07773794242744e-09,NA
"alpha",0.0746782751194038,8.85476802894858e-07,NA
"alpha",0.0971912426322452,0.000208416156416286,NA
"alpha",0.126491106406735,0.010999682466996,NA
"alpha",0.164623885513443,0.0875949170336869,NA
"alpha",0.214252404389596,0.25473981120193,NA
"alpha",0.278842238740468,0.461313542661906,NA
"alpha",0.362903717824376,0.646800104497175,NA
"alpha",0.472306882219997,0.783114044585796,NA
"alpha",0.614691390679907,0.870757605583888,NA
"alpha",0.8,0.922989014376408,NA
