"param","value","catchable_fraction_mean","catchable_fraction_sd","catchable_fraction_min","catchable_fraction_max","error"
"alpha",0.02,3.24865424774936e-28,1.91017154808723e-33,3.24860292167019e-28,3.24867532333145e-28,NA
"alpha",0.0260293217744639,1.6448899089361e-22,4.20015827814264e-28,1.64487955642833e-22,1.64489463269365e-22,NA
"alpha",0.0338762796019291,1.5420082414966e-17,1.19268847067203e-23,1.542007087778e-17,1.54201164194591e-17,NA
"alpha",0.044088829114016,2.71411842819032e-13,4.46431405171792e-17,2.71342896028949e-13,2.71495277977809e-13,NA
"alpha",0.0573801159834037,1.07774195133394e-09,3.47947363868422e-15,1.07773794242744e-09,1.07775145834944e-09,NA
"alpha",0.0746782751194038,9.4843647383946e-07,1.07771472970686e-07,8.12676715951728e-07,1.12908174822284e-06,NA
"alpha",0.0971912426322452,0.000208135703048157,1.124345341203e-06,0.000205481095982291,0.00021082162446659,NA
"alpha",0.126491106406735,0.0109996399158009,4.96809627371767e-08,0.0109994914581044,0.010999682466996,NA
"alpha",0.164623885513443,0.087596639453176,1.32266519533032e-06,0.0875949170336869,0.0875995953350085,NA
"alpha",0.214252404389596,0.254755539066475,1.2274533872229e-05,0.25473981120193,0.254783462265144,NA
"alpha",0.278842238740468,0.461331606241271,1.39091882272349e-05,0.461313542661906,0.461362913982536,NA
"alpha",0.362903717824376,0.64681437351694,1.08727840241645e-05,0.646800104497175,0.646838636599364,NA
"alpha",0.472306882219997,0.78312322153482,6.94386702587122e-06,0.783114044585796,0.78313862817013,NA
"alpha",0.614691390679907,0.870762776507213,3.89638146945054e-06,0.870757605583888,0.870771392027706,NA
"alpha",0.8,0.922991712409257,2.02944495512203e-06,0.922989014376408,0.922996193280579,NA
