"pattern","effort","spectral_radius","stable","bifurcation_type","error","species"
"uniform",0,0.761250163324107,TRUE,"stable",NA,"cod"
"knife_edge_adult",0,0.761250163324107,TRUE,"stable",NA,"cod"
"dome_narrow",0,0.761250163324107,TRUE,"stable",NA,"cod"
"uniform",0.1,0.707399374394764,TRUE,"stable",NA,"cod"
"knife_edge_adult",0.1,0.707399374394773,TRUE,"stable",NA,"cod"
"dome_narrow",0.1,0.761250163324109,TRUE,"stable",NA,"cod"
"uniform",0.2,0.660664041435129,TRUE,"stable",NA,"cod"
"knife_edge_adult",0.2,0.660664041435133,TRUE,"stable",NA,"cod"
"dome_narrow",0.2,0.761250163324107,TRUE,"stable",NA,"cod"
"uniform",0.3,0.619721284591007,TRUE,"stable",NA,"cod"
"knife_edge_adult",0.3,0.619721284591006,TRUE,"stable",NA,"cod"
"dome_narrow",0.3,0.761250163324111,TRUE,"stable",NA,"cod"
"uniform",0.5,0.551380800939585,TRUE,"stable",NA,"cod"
"knife_edge_adult",0.5,0.55138080093959,TRUE,"stable",NA,"cod"
"dome_narrow",0.5,0.76125016332411,TRUE,"stable",NA,"cod"
"uniform",0.7,0.496615905763718,TRUE,"stable",NA,"cod"
"knife_edge_adult",0.7,0.496615905763724,TRUE,"stable",NA,"cod"
"dome_narrow",0.7,0.761250163324106,TRUE,"stable",NA,"cod"
"uniform",1,0.432221486292076,TRUE,"stable",NA,"cod"
"knife_edge_adult",1,0.43222148629207,TRUE,"stable",NA,"cod"
"dome_narrow",1,0.761250163324107,TRUE,"stable",NA,"cod"
"uniform",1.5,0.35541293317904,TRUE,"stable",NA,"cod"
"knife_edge_adult",1.5,0.35541293317904,TRUE,"stable",NA,"cod"
"dome_narrow",1.5,0.761250163324108,TRUE,"stable",NA,"cod"
"uniform",2,0.301783970167261,TRUE,"stable",NA,"cod"
"knife_edge_adult",2,0.301783970167258,TRUE,"stable",NA,"cod"
"dome_narrow",2,0.761250163324103,TRUE,"stable",NA,"cod"
"uniform",3,0.231823387814865,TRUE,"stable",NA,"cod"
"knife_edge_adult",3,0.231823387814868,TRUE,"stable",NA,"cod"
"dome_narrow",3,0.761250163324103,TRUE,"stable",NA,"cod"
"uniform",0,0.348157864245024,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",0,0.348157864245024,TRUE,"stable",NA,"anchovy"
"dome_narrow",0,0.348157864245024,TRUE,"stable",NA,"anchovy"
"uniform",0.1,0.337818751865639,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",0.1,0.337135905382914,TRUE,"stable",NA,"anchovy"
"dome_narrow",0.1,0.347979322229223,TRUE,"stable",NA,"anchovy"
"uniform",0.2,0.32549325680975,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",0.2,0.326633526995715,TRUE,"stable",NA,"anchovy"
"dome_narrow",0.2,0.348157864245024,TRUE,"stable",NA,"anchovy"
"uniform",0.3,0.31523264672817,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",0.3,0.315232646723729,TRUE,"stable",NA,"anchovy"
"dome_narrow",0.3,0.348157864245024,TRUE,"stable",NA,"anchovy"
"uniform",0.5,0.299193519006167,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",0.5,0.295100312545071,TRUE,"stable",NA,"anchovy"
"dome_narrow",0.5,0.358713497662687,TRUE,"stable",NA,"anchovy"
"uniform",0.7,0.279934810267779,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",0.7,0.273836234678802,TRUE,"stable",NA,"anchovy"
"dome_narrow",0.7,0.356491794816809,TRUE,"stable",NA,"anchovy"
"uniform",1,0.258247104045761,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",1,0.304842049254779,TRUE,"stable",NA,"anchovy"
"dome_narrow",1,0.348157864245024,TRUE,"stable",NA,"anchovy"
"uniform",1.5,0.228714655347525,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",1.5,0.22871465534785,TRUE,"stable",NA,"anchovy"
"dome_narrow",1.5,0.348157864245024,TRUE,"stable",NA,"anchovy"
"uniform",2,0.205060471900618,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",2,0.205243551299021,TRUE,"stable",NA,"anchovy"
"dome_narrow",2,0.348157864262788,TRUE,"stable",NA,"anchovy"
"uniform",3,0.176042704894818,TRUE,"stable",NA,"anchovy"
"knife_edge_adult",3,0.170292179599565,TRUE,"stable",NA,"anchovy"
"dome_narrow",3,0.348157864245024,TRUE,"stable",NA,"anchovy"
