"reproduction_level","spectral_radius","stable","bifurcation_type","error","species"
1e-04,0.761250163324104,TRUE,"stable",NA,"cod"
0.001,0.76125016332411,TRUE,"stable",NA,"cod"
0.01,0.761250163324109,TRUE,"stable",NA,"cod"
0.05,0.761250163324106,TRUE,"stable",NA,"cod"
0.1,0.761250163324109,TRUE,"stable",NA,"cod"
0.3,0.761250163324106,TRUE,"stable",NA,"cod"
0.5,0.761250163324104,TRUE,"stable",NA,"cod"
0.7,0.761250163324104,TRUE,"stable",NA,"cod"
0.9,0.761250163324104,TRUE,"stable",NA,"cod"
0.99,0.761250163324104,TRUE,"stable",NA,"cod"
1e-04,0.34818870813117,TRUE,"stable",NA,"anchovy"
0.001,0.348157864245024,TRUE,"stable",NA,"anchovy"
0.01,0.348188708131154,TRUE,"stable",NA,"anchovy"
0.05,0.34818870813117,TRUE,"stable",NA,"anchovy"
0.1,0.34818870813117,TRUE,"stable",NA,"anchovy"
0.3,0.348157864245024,TRUE,"stable",NA,"anchovy"
0.5,0.348157864245024,TRUE,"stable",NA,"anchovy"
0.7,0.34818870813117,TRUE,"stable",NA,"anchovy"
0.9,0.348157864245024,TRUE,"stable",NA,"anchovy"
0.99,0.348157864245024,TRUE,"stable",NA,"anchovy"
