"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","mean_late_biomass","error"
9.99999999999999e-08,0.001,NA,"collapsed",6.59638939825036e-61,NA
1e-06,0.001,NA,"collapsed",6.60428157622364e-61,NA
1e-05,0.001,NA,"collapsed",6.60531625538871e-61,NA
9.99999999999999e-05,0.001,NA,"collapsed",6.6054353744774e-61,NA
0.001,0.001,NA,"collapsed",6.60545245704125e-61,NA
0.01,0.001,NA,"collapsed",6.60545538939047e-61,NA
0.1,0.001,NA,"collapsed",6.60545573030126e-61,NA
1,0.001,NA,"collapsed",6.60545575882661e-61,NA
9.99999999999999e-08,0.01,NA,"collapsed",1.61836939185309e-60,NA
1e-06,0.01,NA,"collapsed",1.635507022024e-60,NA
1e-05,0.01,NA,"collapsed",1.63769906735786e-60,NA
9.99999999999999e-05,0.01,NA,"collapsed",1.63794738822363e-60,NA
0.001,0.01,NA,"collapsed",1.63798222613486e-60,NA
0.01,0.01,NA,"collapsed",1.63798767105312e-60,NA
0.1,0.01,NA,"collapsed",1.63798822815696e-60,NA
1,0.01,NA,"collapsed",1.63798827105223e-60,NA
9.99999999999999e-08,0.1,NA,"collapsed",2.82023988288931e-58,NA
1e-06,0.1,NA,"collapsed",2.94691149726033e-58,NA
1e-05,0.1,NA,"collapsed",2.959993571829e-58,NA
9.99999999999999e-05,0.1,NA,"collapsed",2.96134341043189e-58,NA
0.001,0.1,NA,"collapsed",2.96149600040927e-58,NA
0.01,0.1,NA,"collapsed",2.96151103261652e-58,NA
0.1,0.1,NA,"collapsed",2.96151191245938e-58,NA
1,0.1,NA,"collapsed",2.96151198091612e-58,NA
9.99999999999999e-08,1,0.0410345545556133,"oscillating",2.44459814050835,NA
1e-06,1,0.00398669885378149,"oscillating",26.1176992918708,NA
1e-05,1,0.000470888948406535,"oscillating",263.069030055891,NA
9.99999999999999e-05,1,4.0509382044369e-05,"oscillating",2632.80526347719,NA
0.001,1,4.21755728243228e-07,"settled",26329.3009409159,NA
0.01,1,1.55766939069699e-07,"settled",263292.534883671,NA
0.1,1,1.40830305286935e-08,"settled",2632924.75036168,NA
1,1,1.39791986571289e-09,"settled",26329246.9408671,NA
9.99999999999999e-08,10,2.00121424071543e-06,"oscillating",121.98831421973,NA
1e-06,10,3.46907318216906e-07,"settled",1219.88825426954,NA
1e-05,10,4.44336649620821e-08,"settled",12198.8905255001,NA
9.99999999999999e-05,10,9.71282483750212e-09,"settled",121988.917188076,NA
0.001,10,8.13174001472349e-10,"settled",1219889.19129382,NA
0.01,10,7.80731447215113e-11,"settled",12198891.9295729,NA
0.1,10,5.75298144050754e-12,"settled",121988919.311502,NA
1,10,1.10229748219263e-13,"settled",1219889193.12239,NA
9.99999999999999e-08,100,2.2837318746837e-05,"oscillating",1304.37737599377,NA
1e-06,100,1.61980099597977e-06,"oscillating",13044.3130134158,NA
1e-05,100,9.52147585270339e-08,"settled",130443.486179963,NA
9.99999999999999e-05,100,7.22097018866022e-09,"settled",1304435.08425222,NA
0.001,100,6.98558810181266e-10,"settled",13044351.0292115,NA
0.01,100,5.21849890093668e-11,"settled",130443510.466874,NA
0.1,100,6.70237197991605e-13,"settled",1304435104.74389,NA
1,100,1.75464333261975e-15,"settled",13044351047.4445,NA
