"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","lambda"
0.001,1,1.23204894336735e-08,"settled",NA,1.95
0.00187381742286038,1,5.59275910473009e-09,"settled",NA,1.95
0.00351119173421513,1,3.8818235117124e-09,"settled",NA,1.95
0.00657933224657568,1,3.67813740514826e-09,"settled",NA,1.95
0.0123284673944207,1,3.66872075593165e-09,"settled",NA,1.95
0.0231012970008316,1,3.66851487140016e-09,"settled",NA,1.95
0.0432876128108306,1,3.66850885447517e-09,"settled",NA,1.95
0.0811130830789687,1,3.66850775831851e-09,"settled",NA,1.95
0.151991108295293,1,3.66850707351072e-09,"settled",NA,1.95
0.28480358684358,1,3.66850666274352e-09,"settled",NA,1.95
0.533669923120631,1,3.66850652563732e-09,"settled",NA,1.95
1,1,3.66850652537789e-09,"settled",NA,1.95
0.001,1.39495079396242,3.67738342019816e-08,"settled",NA,1.95
0.00187381742286038,1.39495079396242,4.61586861559918e-08,"settled",NA,1.95
0.00351119173421513,1.39495079396242,4.85453629000483e-08,"settled",NA,1.95
0.00657933224657568,1.39495079396242,4.88294573464724e-08,"settled",NA,1.95
0.0123284673944207,1.39495079396242,4.88425648372962e-08,"settled",NA,1.95
0.0231012970008316,1.39495079396242,4.88427481013949e-08,"settled",NA,1.95
0.0432876128108306,1.39495079396242,4.88427486726472e-08,"settled",NA,1.95
0.0811130830789687,1.39495079396242,4.88427472458986e-08,"settled",NA,1.95
0.151991108295293,1.39495079396242,4.88427465303328e-08,"settled",NA,1.95
0.28480358684358,1.39495079396242,4.88427461031752e-08,"settled",NA,1.95
0.533669923120631,1.39495079396242,4.88427459573758e-08,"settled",NA,1.95
1,1.39495079396242,4.88427458159463e-08,"settled",NA,1.95
0.001,1.94588771757639,1.05258031939714e-07,"settled",NA,1.95
0.00187381742286038,1.94588771757639,1.18349453716295e-07,"settled",NA,1.95
0.00351119173421513,1.94588771757639,1.21678735575074e-07,"settled",NA,1.95
0.00657933224657568,1.94588771757639,1.22075043616039e-07,"settled",NA,1.95
0.0123284673944207,1.94588771757639,1.220934195397e-07,"settled",NA,1.95
0.0231012970008316,1.94588771757639,1.22093730981675e-07,"settled",NA,1.95
0.0432876128108306,1.94588771757639,1.22093713242152e-07,"settled",NA,1.95
0.0811130830789687,1.94588771757639,1.2209371426022e-07,"settled",NA,1.95
0.151991108295293,1.94588771757639,1.22093714829919e-07,"settled",NA,1.95
0.28480358684358,1.94588771757639,1.22093715042735e-07,"settled",NA,1.95
0.533669923120631,1.94588771757639,1.22093715283919e-07,"settled",NA,1.95
