"value","biomass","direction","branch"
0.5,1221143.23229459,"Forward","max"
0.53,1242422.64470941,"Forward","max"
0.56,1259206.44583732,"Forward","max"
0.59,1272107.09619943,"Forward","max"
0.62,1281653.28943371,"Forward","max"
0.65,1288286.04059011,"Forward","max"
0.68,1292362.58087989,"Forward","max"
0.71,1294163.93129326,"Forward","max"
0.74,1293903.83859701,"Forward","max"
0.77,1291737.85697022,"Forward","max"
0.8,1287771.99314064,"Forward","max"
0.83,1282070.683522,"Forward","max"
0.86,1274664.05987815,"Forward","max"
0.89,1265554.56334972,"Forward","max"
0.92,1254723.03248119,"Forward","max"
0.95,1242134.44311355,"Forward","max"
0.98,1227743.52156976,"Forward","max"
1.01,1211500.47727567,"Forward","max"
1.04,1193357.0872692,"Forward","max"
1.07,1173273.2921751,"Forward","max"
1.1,1151224.31878389,"Forward","max"
0.5,1221143.23135356,"Forward","min"
0.53,1242422.64453129,"Forward","min"
0.56,1259206.44576488,"Forward","min"
0.59,1272107.09616126,"Forward","min"
0.62,1281653.28941086,"Forward","min"
0.65,1288286.04057538,"Forward","min"
0.68,1292362.58086994,"Forward","min"
0.71,1294163.93128633,"Forward","min"
0.74,1293903.83859209,"Forward","min"
0.77,1291737.8569667,"Forward","min"
0.8,1287771.9931381,"Forward","min"
0.83,1282070.68352018,"Forward","min"
0.86,1274664.05987686,"Forward","min"
0.89,1265554.56334881,"Forward","min"
0.92,1254723.03248058,"Forward","min"
0.95,1242134.44311315,"Forward","min"
0.98,1227743.52156951,"Forward","min"
1.01,1211500.47727553,"Forward","min"
1.04,1193357.08726912,"Forward","min"
1.07,1173273.29217502,"Forward","min"
1.1,1151224.31878377,"Forward","min"
0.5,1221143.23357959,"Backward","max"
0.53,1242422.64530979,"Backward","max"
0.56,1259206.4462092,"Backward","max"
0.59,1272107.09645691,"Backward","max"
0.62,1281653.28962257,"Backward","max"
0.65,1288286.04073326,"Backward","max"
0.68,1292362.58099034,"Backward","max"
0.71,1294163.93137913,"Backward","max"
0.74,1293903.83866374,"Backward","max"
0.77,1291737.85702172,"Backward","max"
0.8,1287771.99317984,"Backward","max"
0.83,1282070.68355125,"Backward","max"
0.86,1274664.05989939,"Backward","max"
0.89,1265554.56336458,"Backward","max"
0.92,1254723.03249109,"Backward","max"
0.95,1242134.4431197,"Backward","max"
0.98,1227743.5215732,"Backward","max"
1.01,1211500.47727728,"Backward","max"
1.04,1193357.08726969,"Backward","max"
1.07,1173273.29217508,"Backward","max"
1.1,1151224.31878378,"Backward","max"
0.5,1221143.23357923,"Backward","min"
0.53,1242422.64530937,"Backward","min"
0.56,1259206.44620872,"Backward","min"
0.59,1272107.09645638,"Backward","min"
0.62,1281653.289622,"Backward","min"
0.65,1288286.04073266,"Backward","min"
0.68,1292362.58098973,"Backward","min"
0.71,1294163.93137852,"Backward","min"
0.74,1293903.83866314,"Backward","min"
0.77,1291737.85702114,"Backward","min"
0.8,1287771.9931793,"Backward","min"
0.83,1282070.68355077,"Backward","min"
0.86,1274664.05989897,"Backward","min"
0.89,1265554.56336422,"Backward","min"
0.92,1254723.0324908,"Backward","min"
0.95,1242134.44311947,"Backward","min"
0.98,1227743.52157304,"Backward","min"
1.01,1211500.47727717,"Backward","min"
1.04,1193357.08726963,"Backward","min"
1.07,1173273.29217501,"Backward","min"
1.1,1151224.31878368,"Backward","min"
