"value","metric","direction","branch"
0.05,16172984.2930191,"Forward","max"
0.075,16935031.8916859,"Forward","max"
0.1,17721504.6752491,"Forward","max"
0.125,18531268.1989033,"Forward","max"
0.15,19362753.8358909,"Forward","max"
0.175,20213874.1919607,"Forward","max"
0.2,21081924.982525,"Forward","max"
0.225,21963470.5744922,"Forward","max"
0.25,22854211.217851,"Forward","max"
0.275,23748830.2498457,"Forward","max"
0.3,24640820.1905111,"Forward","max"
0.325,25522287.8761334,"Forward","max"
0.35,26383740.8904269,"Forward","max"
0.375,27213860.9334402,"Forward","max"
0.4,27999274.8739981,"Forward","max"
0.425,28724341.5500979,"Forward","max"
0.45,29370982.318326,"Forward","max"
0.475,29918596.0356838,"Forward","max"
0.5,30344114.1541848,"Forward","max"
0.525,30622267.6184353,"Forward","max"
0.55,30726151.9478852,"Forward","max"
0.575,30628186.4123571,"Forward","max"
0.6,30301564.3779812,"Forward","max"
0.625,29722276.4913735,"Forward","max"
0.65,28871745.8188297,"Forward","max"
0.675,27740017.3480276,"Forward","max"
0.7,26329247.7404239,"Forward","max"
0.725,24656914.3441316,"Forward","max"
0.75,22757790.8890196,"Forward","max"
0.775,20683616.7916618,"Forward","max"
0.8,18499837.6736537,"Forward","max"
0.825,16279706.5563045,"Forward","max"
0.85,14096858.1634763,"Forward","max"
0.875,12017832.6251994,"Forward","max"
0.9,10095972.1835296,"Forward","max"
0.925,8367751.79257802,"Forward","max"
0.95,6851980.94658022,"Forward","max"
0.975,5551580.87552445,"Forward","max"
1,4457066.99296188,"Forward","max"
1.025,3550663.02013545,"Forward","max"
1.05,2810146.92954817,"Forward","max"
1.075,2211904.61031708,"Forward","max"
1.1,1733037.32540359,"Forward","max"
1.125,1352614.79654615,"Forward","max"
1.15,1052273.31358084,"Forward","max"
1.175,816369.74692285,"Forward","max"
1.2,631866.998774411,"Forward","max"
1.225,488078.414140037,"Forward","max"
1.25,376355.13620346,"Forward","max"
1.275,289767.087142964,"Forward","max"
1.3,222805.233863022,"Forward","max"
1.325,171118.019859856,"Forward","max"
1.35,131285.96525974,"Forward","max"
1.375,100633.485181287,"Forward","max"
1.4,77074.4998086116,"Forward","max"
1.425,58987.4164430854,"Forward","max"
1.45,45114.9111779472,"Forward","max"
1.475,34484.2250691147,"Forward","max"
1.5,26344.1765400424,"Forward","max"
1.525,20115.6403854375,"Forward","max"
1.55,15352.7795907984,"Forward","max"
1.575,11712.8027735031,"Forward","max"
1.6,8932.44298484174,"Forward","max"
1.625,6809.71075411032,"Forward","max"
1.65,5189.76978666185,"Forward","max"
1.675,3954.02555163462,"Forward","max"
1.7,3011.70734107867,"Forward","max"
1.725,2293.38394504962,"Forward","max"
1.75,1745.98135185208,"Forward","max"
1.775,1328.95016664749,"Forward","max"
1.8,1011.32530277057,"Forward","max"
1.825,769.471305185279,"Forward","max"
1.85,585.354854489791,"Forward","max"
1.875,445.222181508095,"Forward","max"
1.9,338.606469414339,"Forward","max"
1.925,257.541445167661,"Forward","max"
1.95,195.978871366581,"Forward","max"
1.975,149.28510557141,"Forward","max"
2,113.807048568887,"Forward","max"
2.025,86.7555004317796,"Forward","max"
2.05,66.1682215077225,"Forward","max"
2.075,50.4943758735915,"Forward","max"
2.1,38.5656386538454,"Forward","max"
2.125,29.4904207803421,"Forward","max"
2.15,22.4576504813317,"Forward","max"
2.175,16.6408562766334,"Forward","max"
2.2,12.0220581443951,"Forward","max"
2.225,9.00585244236186,"Forward","max"
2.25,7.07863398264429,"Forward","max"
2.275,5.44588341947137,"Forward","max"
2.3,4.1886057982092,"Forward","max"
2.325,3.20698325212203,"Forward","max"
2.35,2.45513755483754,"Forward","max"
2.375,1.87815842540081,"Forward","max"
