"value","metric","direction","branch"
0.05,11856804.2222709,"Forward","max"
0.075,12741610.5235083,"Forward","max"
0.1,13480857.6881183,"Forward","max"
0.125,14238649.6179756,"Forward","max"
0.15,15019072.0670903,"Forward","max"
0.175,15822922.9422277,"Forward","max"
0.2,16649591.5931764,"Forward","max"
0.225,17498349.8919578,"Forward","max"
0.25,18367825.0885686,"Forward","max"
0.275,19255984.0867325,"Forward","max"
0.3,20160097.9738061,"Forward","max"
0.325,21076612.4013922,"Forward","max"
0.35,22001018.4645999,"Forward","max"
0.375,22927711.4349386,"Forward","max"
0.4,23849835.8666788,"Forward","max"
0.425,24759125.7861436,"Forward","max"
0.45,25645748.5819219,"Forward","max"
0.475,26498165.7770308,"Forward","max"
0.5,27303029.7547521,"Forward","max"
0.525,28045141.4325495,"Forward","max"
0.55,28707499.2926819,"Forward","max"
0.575,29271473.4978058,"Forward","max"
0.6,29774244.6863388,"Forward","max"
0.625,30092276.2045415,"Forward","max"
0.65,30176123.7516009,"Forward","max"
0.675,29960238.4053864,"Forward","max"
0.7,29315908.5566213,"Forward","max"
0.725,28348531.9216177,"Forward","max"
0.75,27006077.5995543,"Forward","max"
0.775,25282150.8577137,"Forward","max"
0.8,23370638.6482489,"Forward","max"
0.825,21206131.6413112,"Forward","max"
0.85,18839693.3203302,"Forward","max"
0.875,16530523.6756048,"Forward","max"
0.9,14333769.1796384,"Forward","max"
0.925,12162676.7497334,"Forward","max"
0.95,10216657.8880145,"Forward","max"
0.975,8377199.65414034,"Forward","max"
1,6812267.96077332,"Forward","max"
1.025,5506025.18217613,"Forward","max"
1.05,4356840.27406041,"Forward","max"
1.075,3438004.56433905,"Forward","max"
1.1,2709621.0741725,"Forward","max"
1.125,2130240.75580033,"Forward","max"
1.15,1669432.68627434,"Forward","max"
1.175,1304124.92423393,"Forward","max"
1.2,1004914.79781385,"Forward","max"
1.225,784858.619014428,"Forward","max"
1.25,603645.188765789,"Forward","max"
1.275,465148.484736166,"Forward","max"
1.3,358628.315393778,"Forward","max"
1.325,276383.882199363,"Forward","max"
1.35,212827.069016017,"Forward","max"
1.375,163737.739425622,"Forward","max"
1.4,125861.143621821,"Forward","max"
1.425,96668.6298770159,"Forward","max"
1.45,74193.1864622079,"Forward","max"
1.475,56906.1843338042,"Forward","max"
1.5,43621.6240743126,"Forward","max"
1.525,33420.9223885615,"Forward","max"
1.55,25593.7592635925,"Forward","max"
1.575,19591.656463059,"Forward","max"
1.6,14991.6566382702,"Forward","max"
1.625,11467.984939091,"Forward","max"
1.65,8769.98925729556,"Forward","max"
1.675,6705.00148669096,"Forward","max"
1.7,5125.04782385337,"Forward","max"
1.725,3916.56487660281,"Forward","max"
1.75,2992.45766011774,"Forward","max"
1.775,2285.97545773914,"Forward","max"
1.8,1745.99212398154,"Forward","max"
1.825,1333.36777855886,"Forward","max"
1.85,1002.72595060483,"Forward","max"
1.875,756.324047388792,"Forward","max"
1.9,565.295944952265,"Forward","max"
1.925,425.3407670737,"Forward","max"
1.95,314.305897311052,"Forward","max"
1.975,235.263193450512,"Forward","max"
2,175.853878057365,"Forward","max"
2.025,132.80874150436,"Forward","max"
2.05,98.9559089628039,"Forward","max"
2.075,74.3146064521621,"Forward","max"
2.1,56.2630183428231,"Forward","max"
2.125,42.8631139687848,"Forward","max"
2.15,32.464047290874,"Forward","max"
2.175,24.950790321407,"Forward","max"
2.2,18.8264584145554,"Forward","max"
2.225,14.3912531145652,"Forward","max"
