"value","metric","direction","branch"
-1.8,0.323614267016623,"Forward","max"
-1.775,0.282988257981295,"Forward","max"
-1.75,0.279492734605491,"Forward","max"
-1.725,0.276433696891923,"Forward","max"
-1.7,0.273760964585351,"Forward","max"
-1.675,0.271427737469302,"Forward","max"
-1.65,0.269392067852066,"Forward","max"
-1.625,0.267616890896035,"Forward","max"
-1.6,0.266069642730922,"Forward","max"
-1.575,0.26472177538737,"Forward","max"
-1.55,0.263548275253842,"Forward","max"
-1.525,0.262527221916295,"Forward","max"
-1.5,0.261639397490752,"Forward","max"
-1.475,0.260867945968915,"Forward","max"
-1.45,0.26019807810693,"Forward","max"
-1.425,0.259616816213479,"Forward","max"
-1.4,0.259112773223653,"Forward","max"
-1.375,0.258675960960003,"Forward","max"
-1.35,0.258297623152887,"Forward","max"
-1.325,0.257970089469535,"Forward","max"
-1.3,0.257686647420886,"Forward","max"
-1.275,0.257441429553863,"Forward","max"
-1.25,0.257229313791059,"Forward","max"
-1.225,0.257045835155001,"Forward","max"
-1.2,0.256887107419965,"Forward","max"
-1.175,0.256749753480779,"Forward","max"
-1.15,0.256630843425222,"Forward","max"
-1.125,0.256527839453562,"Forward","max"
-1.1,0.256438546913474,"Forward","max"
-1.075,0.256361070817387,"Forward","max"
-1.05,0.256293777288041,"Forward","max"
-1.025,0.256235259441191,"Forward","max"
-1,0.25618430726547,"Forward","max"
-0.975,0.256139881101595,"Forward","max"
-0.95,0.25610108835845,"Forward","max"
-0.925,0.256067163134127,"Forward","max"
-0.9,0.256037448436885,"Forward","max"
-0.875,0.256011380725389,"Forward","max"
-0.85,0.255988476510096,"Forward","max"
-0.825,0.255968320778904,"Forward","max"
-0.8,0.255950557030249,"Forward","max"
-0.775,0.255934878716171,"Forward","max"
-0.75,0.255921021916374,"Forward","max"
-0.725,0.255908759081912,"Forward","max"
-0.7,0.255897893704054,"Forward","max"
-0.675,0.25588825577975,"Forward","max"
-0.65,0.255879697960097,"Forward","max"
-0.625,0.255872092282002,"Forward","max"
-0.6,0.25586532739616,"Forward","max"
-0.575,0.255859306215989,"Forward","max"
-0.55,0.25585394392269,"Forward","max"
-0.525,0.255849166270987,"Forward","max"
-0.5,0.255844908148345,"Forward","max"
-0.475,0.255841112347684,"Forward","max"
-0.45,0.255837728519966,"Forward","max"
-0.425,0.255834712278289,"Forward","max"
-0.4,0.255832024429786,"Forward","max"
-0.375,0.255829630315528,"Forward","max"
-0.35,0.255827499241803,"Forward","max"
-0.325,0.255825603988929,"Forward","max"
-0.3,0.255823920386095,"Forward","max"
-0.275,0.255822426942379,"Forward","max"
-0.25,0.255821104525959,"Forward","max"
