"value","metric","direction","branch"
0.5,0.541974193613173,"Forward","max"
0.51,0.58546685636403,"Forward","max"
0.52,0.71059012383958,"Forward","max"
0.53,0.804451593960053,"Forward","max"
0.54,0.886948461318108,"Forward","max"
0.55,0.969217754809693,"Forward","max"
0.56,1.05188126828639,"Forward","max"
0.57,1.13311062788537,"Forward","max"
0.58,1.21416359152594,"Forward","max"
0.59,1.29538428579304,"Forward","max"
0.6,1.37698641341744,"Forward","max"
0.61,1.45908140887298,"Forward","max"
0.62,1.54167528793076,"Forward","max"
0.63,1.62627143538711,"Forward","max"
0.64,1.70745051431691,"Forward","max"
0.65,1.79252873245042,"Forward","max"
0.66,1.87530903900989,"Forward","max"
0.67,1.95945751402898,"Forward","max"
0.68,2.04153408115908,"Forward","max"
0.69,2.12336134148364,"Forward","max"
0.7,2.20306400931869,"Forward","max"
0.71,2.28131430613213,"Forward","max"
0.72,2.35771962247793,"Forward","max"
0.73,2.43156020318094,"Forward","max"
0.74,2.50120439675344,"Forward","max"
0.75,2.56928658763269,"Forward","max"
0.76,2.63474297341674,"Forward","max"
0.77,2.69706151371014,"Forward","max"
0.78,2.75616975169087,"Forward","max"
0.79,2.81204559927403,"Forward","max"
0.8,2.86469240516361,"Forward","max"
0.81,2.91412785924631,"Forward","max"
0.82,2.96038200062917,"Forward","max"
0.83,3.00349455214463,"Forward","max"
0.84,3.04351208460815,"Forward","max"
0.85,3.08048529504424,"Forward","max"
0.86,3.11446657438238,"Forward","max"
0.87,3.14550789684627,"Forward","max"
0.88,3.17365901164605,"Forward","max"
0.89,3.19896590027902,"Forward","max"
0.9,3.22163056322029,"Forward","max"
0.91,3.24170428028858,"Forward","max"
0.92,3.25938701740372,"Forward","max"
0.93,3.27446447021781,"Forward","max"
0.94,3.28678747660113,"Forward","max"
0.95,3.29642034654161,"Forward","max"
0.96,3.30339299768722,"Forward","max"
0.97,3.30770380103997,"Forward","max"
0.98,3.30933359847958,"Forward","max"
0.99,3.30824848613457,"Forward","max"
1,3.30440044356557,"Forward","max"
1.01,3.29927114198878,"Forward","max"
1.02,3.29074161844644,"Forward","max"
1.03,3.27904893492358,"Forward","max"
1.04,3.26421247176702,"Forward","max"
1.05,3.24616703617721,"Forward","max"
1.06,3.21475425072841,"Forward","max"
1.07,3.19128499484933,"Forward","max"
1.08,3.16365371815398,"Forward","max"
1.09,3.13207363262593,"Forward","max"
1.1,3.0965210941651,"Forward","max"
0.5,0.541758280128527,"Forward","min"
0.51,0.577132902969051,"Forward","min"
0.52,0.687183026212344,"Forward","min"
0.53,0.79486995891825,"Forward","min"
0.54,0.874211084459735,"Forward","min"
0.55,0.955922919352467,"Forward","min"
0.56,1.03983425021281,"Forward","min"
0.57,1.12003040807181,"Forward","min"
0.58,1.20290171934787,"Forward","min"
0.59,1.28324045595863,"Forward","min"
0.6,1.36490917815023,"Forward","min"
0.61,1.44910066100437,"Forward","min"
0.62,1.53265172801753,"Forward","min"
0.63,1.61774149435272,"Forward","min"
0.64,1.70094279551795,"Forward","min"
0.65,1.78575123184322,"Forward","min"
0.66,1.8708302898675,"Forward","min"
0.67,1.95488769675202,"Forward","min"
0.68,2.03410491513953,"Forward","min"
0.69,2.11590749427451,"Forward","min"
0.7,2.19066994188166,"Forward","min"
0.71,2.26906564542651,"Forward","min"
0.72,2.34604760592289,"Forward","min"
0.73,2.42052509454131,"Forward","min"
0.74,2.49225462494154,"Forward","min"
0.75,2.56069187560365,"Forward","min"
0.76,2.6265952861158,"Forward","min"
0.77,2.68941853681529,"Forward","min"
0.78,2.74901412567359,"Forward","min"
0.79,2.80536023425258,"Forward","min"
0.8,2.85846059688377,"Forward","min"
0.81,2.90833499750944,"Forward","min"
0.82,2.95501598368179,"Forward","min"
0.83,2.99854637025891,"Forward","min"
0.84,3.03897638710962,"Forward","min"
0.85,3.07636091191077,"Forward","min"
0.86,3.11075699007761,"Forward","min"
0.87,3.14222169427643,"Forward","min"
0.88,3.17081030471576,"Forward","min"
0.89,3.19657476779573,"Forward","min"
0.9,3.21956238565037,"Forward","min"
0.91,3.2373372427526,"Forward","min"
0.92,3.25467852670077,"Forward","min"
0.93,3.26886802306824,"Forward","min"
0.94,3.28027561693718,"Forward","min"
0.95,3.28894904393173,"Forward","min"
0.96,3.29491305289593,"Forward","min"
0.97,3.298167427905,"Forward","min"
0.98,3.29869724635451,"Forward","min"
0.99,3.29647527938332,"Forward","min"
1,3.28588828014313,"Forward","min"
1.01,3.27941945984567,"Forward","min"
1.02,3.26958385294521,"Forward","min"
1.03,3.25664163494549,"Forward","min"
1.04,3.24059838071788,"Forward","min"
1.05,3.2213836773937,"Forward","min"
1.06,3.1949024496813,"Forward","min"
1.07,3.17081984812459,"Forward","min"
1.08,3.14272301395703,"Forward","min"
1.09,3.11072979412576,"Forward","min"
1.1,3.07475393141888,"Forward","min"
0.5,0.537223860008853,"Backward","max"
0.51,0.621247641109092,"Backward","max"
0.52,0.704890885872688,"Backward","max"
0.53,0.788272903743448,"Backward","max"
0.54,0.868674033139275,"Backward","max"
0.55,0.952060494095527,"Backward","max"
0.56,1.03584395013853,"Backward","max"
0.57,1.11715087233726,"Backward","max"
0.58,1.20179150960957,"Backward","max"
0.59,1.28659792892158,"Backward","max"
0.6,1.37194359052726,"Backward","max"
0.61,1.45603263839062,"Backward","max"
0.62,1.53963280726454,"Backward","max"
0.63,1.62673764604352,"Backward","max"
0.64,1.7147919682355,"Backward","max"
0.65,1.80073121277994,"Backward","max"
0.66,1.89027851136627,"Backward","max"
0.67,1.97492304630829,"Backward","max"
0.68,2.06415843361682,"Backward","max"
0.69,2.14497888847806,"Backward","max"
0.7,2.22392374562528,"Backward","max"
0.71,2.30079663902194,"Backward","max"
0.72,2.375772706846,"Backward","max"
0.73,2.44750510488893,"Backward","max"
0.74,2.51649296779601,"Backward","max"
0.75,2.58261174518189,"Backward","max"
0.76,2.64577113449467,"Backward","max"
0.77,2.70591204487196,"Backward","max"
0.78,2.76300301772558,"Backward","max"
0.79,2.81703637159231,"Backward","max"
0.8,2.86802426008424,"Backward","max"
0.81,2.91599474224474,"Backward","max"
0.82,2.96098785101013,"Backward","max"
0.83,3.00305143775541,"Backward","max"
0.84,3.04223625159873,"Backward","max"
0.85,3.07858735510278,"Backward","max"
0.86,3.11213770835801,"Backward","max"
0.87,3.14282375258845,"Backward","max"
0.88,3.17139401774753,"Backward","max"
0.89,3.19732685064388,"Backward","max"
0.9,3.22079490796783,"Backward","max"
0.91,3.24184998182617,"Backward","max"
0.92,3.26095084349185,"Backward","max"
0.93,3.27793550119123,"Backward","max"
0.94,3.29264723091799,"Backward","max"
0.95,3.30509902242791,"Backward","max"
0.96,3.3152833281725,"Backward","max"
0.97,3.32316490681622,"Backward","max"
0.98,3.32866885233814,"Backward","max"
0.99,3.33165740534554,"Backward","max"
1,3.33189800280554,"Backward","max"
1.01,3.32875086638814,"Backward","max"
1.02,3.32991833623656,"Backward","max"
1.03,3.32157411802012,"Backward","max"
1.04,3.30922350051518,"Backward","max"
1.05,3.29202535989443,"Backward","max"
1.06,3.26871831885816,"Backward","max"
1.07,3.23729443803211,"Backward","max"
1.08,3.19427779851651,"Backward","max"
1.09,3.13349146540491,"Backward","max"
1.1,3.07273105450073,"Backward","max"
0.5,0.52440814461235,"Backward","min"
0.51,0.608587604965423,"Backward","min"
0.52,0.692627537152691,"Backward","min"
0.53,0.775149095250068,"Backward","min"
0.54,0.857291960541456,"Backward","min"
0.55,0.939437452133445,"Backward","min"
0.56,1.02195828189394,"Backward","min"
0.57,1.10513996080593,"Backward","min"
0.58,1.18912488329824,"Backward","min"
0.59,1.27406078002693,"Backward","min"
0.6,1.36188356393061,"Backward","min"
0.61,1.44870654810571,"Backward","min"
0.62,1.53053453059981,"Backward","min"
0.63,1.61941717853619,"Backward","min"
0.64,1.70947032243987,"Backward","min"
0.65,1.79529054411593,"Backward","min"
0.66,1.8819070980588,"Backward","min"
0.67,1.96656424541173,"Backward","min"
0.68,2.05053016377647,"Backward","min"
0.69,2.13186691786298,"Backward","min"
0.7,2.21136547257145,"Backward","min"
0.71,2.28876599393732,"Backward","min"
0.72,2.36424614869393,"Backward","min"
0.73,2.43807896882631,"Backward","min"
0.74,2.50755067470196,"Backward","min"
0.75,2.57414957991152,"Backward","min"
0.76,2.63778092412481,"Backward","min"
0.77,2.69838221625061,"Backward","min"
0.78,2.75591959737354,"Backward","min"
0.79,2.81038389230999,"Backward","min"
0.8,2.86178656831878,"Backward","min"
0.81,2.91015572998256,"Backward","min"
0.82,2.95553217127406,"Backward","min"
0.83,2.9979653510568,"Backward","min"
0.84,3.03750876497059,"Backward","min"
0.85,3.0742137848134,"Backward","min"
0.86,3.10811485872603,"Backward","min"
0.87,3.13922909085827,"Backward","min"
0.88,3.16756833645582,"Backward","min"
0.89,3.19378983387817,"Backward","min"
0.9,3.2175466386278,"Backward","min"
0.91,3.2388949052836,"Backward","min"
0.92,3.25788265678343,"Backward","min"
0.93,3.2745476413655,"Backward","min"
0.94,3.2888183275312,"Backward","min"
0.95,3.30061954792462,"Backward","min"
0.96,3.31007582997981,"Backward","min"
0.97,3.31713309230077,"Backward","min"
0.98,3.32169208303503,"Backward","min"
0.99,3.3235793864508,"Backward","min"
1,3.3225245499817,"Backward","min"
1.01,3.31795527186617,"Backward","min"
1.02,3.31134194400795,"Backward","min"
1.03,3.30110037955956,"Backward","min"
1.04,3.28661538665499,"Backward","min"
1.05,3.26698953099623,"Backward","min"
1.06,3.24084970457722,"Backward","min"
1.07,3.20592722623983,"Backward","min"
1.08,3.15815261469277,"Backward","min"
1.09,3.09088965266213,"Backward","min"
1.1,3.07273105450073,"Backward","min"
