"time","biomass","method"
0,4.46750633808926,"projectToSteady()"
0.2,6.47886708487173,"projectToSteady()"
0.4,8.76263460041207,"projectToSteady()"
0.6,11.2361727019257,"projectToSteady()"
0.8,13.8217232999016,"projectToSteady()"
1,16.4324780591049,"projectToSteady()"
1.2,18.9725730604707,"projectToSteady()"
1.4,21.3436872380552,"projectToSteady()"
1.6,23.4694553466912,"projectToSteady()"
1.8,25.3485991998081,"projectToSteady()"
2,27.095994245357,"projectToSteady()"
2.2,28.8887728855083,"projectToSteady()"
2.4,30.8557322530173,"projectToSteady()"
2.6,33.0540070681546,"projectToSteady()"
2.8,35.5143308424315,"projectToSteady()"
3,38.2551904507549,"projectToSteady()"
3.2,41.2801245545503,"projectToSteady()"
3.4,44.5806424995879,"projectToSteady()"
3.6,48.1419897516171,"projectToSteady()"
3.8,51.9521071334218,"projectToSteady()"
4,56.0098461806983,"projectToSteady()"
4.2,60.3282109205832,"projectToSteady()"
4.4,64.9320877486749,"projectToSteady()"
4.6,69.8539623512639,"projectToSteady()"
4.8,75.1306491863271,"projectToSteady()"
5,80.8012015233336,"projectToSteady()"
5.2,86.9052586316555,"projectToSteady()"
5.4,93.4818287230982,"projectToSteady()"
5.6,100.568836981855,"projectToSteady()"
5.8,108.203548172303,"projectToSteady()"
6,116.42366266214,"projectToSteady()"
6.2,125.268671536366,"projectToSteady()"
6.4,134.781080517241,"projectToSteady()"
6.6,145.00731485059,"projectToSteady()"
6.8,155.99830045925,"projectToSteady()"
7,167.809782454398,"projectToSteady()"
7.2,180.502442475928,"projectToSteady()"
7.4,194.1418824626,"projectToSteady()"
7.6,208.798558687585,"projectToSteady()"
7.8,224.547750469236,"projectToSteady()"
8,241.46962434794,"projectToSteady()"
8.2,259.649417969511,"projectToSteady()"
8.4,279.177735006607,"projectToSteady()"
8.6,300.150923364482,"projectToSteady()"
8.8,322.671503420889,"projectToSteady()"
9,346.848615409218,"projectToSteady()"
9.2,372.798460786693,"projectToSteady()"
9.4,400.644719955982,"projectToSteady()"
9.6,430.518937166323,"projectToSteady()"
9.8,462.560871184679,"projectToSteady()"
10,496.918815601041,"projectToSteady()"
10.2,533.749894534754,"projectToSteady()"
10.4,573.22033837667,"projectToSteady()"
10.6,615.505741107538,"projectToSteady()"
10.8,660.791296823033,"projectToSteady()"
11,709.2720092124,"projectToSteady()"
11.2,761.152864388843,"projectToSteady()"
11.4,816.648954931976,"projectToSteady()"
11.6,875.985541372634,"projectToSteady()"
11.8,939.398036550083,"projectToSteady()"
12,1007.13189808128,"projectToSteady()"
12.2,1079.44241432473,"projectToSteady()"
12.4,1156.5943694588,"projectToSteady()"
12.6,1238.86157348534,"projectToSteady()"
12.8,1326.52624308138,"projectToSteady()"
13,1419.87821931561,"projectToSteady()"
13.2,1519.21400844121,"projectToSteady()"
13.4,1624.83563242831,"projectToSteady()"
13.6,1737.04927676904,"projectToSteady()"
13.8,1856.16372452463,"projectToSteady()"
14,1982.48856770483,"projectToSteady()"
14.2,2116.33218995348,"projectToSteady()"
14.4,2257.99951819664,"projectToSteady()"
14.6,2407.78954538942,"projectToSteady()"
14.8,2565.9926317373,"projectToSteady()"
15,2732.8875976965,"projectToSteady()"
15.2,2908.73862857242,"projectToSteady()"
15.4,3093.79201749809,"projectToSteady()"
15.6,3288.27278081043,"projectToSteady()"
15.8,3492.38118713909,"projectToSteady()"
16,3706.28924862804,"projectToSteady()"
16.2,3930.13722933995,"projectToSteady()"
16.4,4164.030231733,"projectToSteady()"
16.6,4408.03492682316,"projectToSteady()"
16.8,4662.17649692646,"projectToSteady()"
17,4926.43586141166,"projectToSteady()"
17.2,5200.74725542555,"projectToSteady()"
17.4,5484.99622888678,"projectToSteady()"
17.6,5779.01812807267,"projectToSteady()"
17.8,6082.59711484211,"projectToSteady()"
18,6395.46576905337,"projectToSteady()"
18.2,6717.3053082729,"projectToSteady()"
18.4,7047.74644576449,"projectToSteady()"
18.6,7386.3708934315,"projectToSteady()"
18.8,7732.71350136924,"projectToSteady()"
19,8086.26501053287,"projectToSteady()"
19.2,8446.47538032098,"projectToSteady()"
19.4,8812.7576391851,"projectToSteady()"
19.6,9184.49219422429,"projectToSteady()"
19.8,9561.03152556019,"projectToSteady()"
20,9941.70518345919,"projectToSteady()"
20.2,10325.8250009096,"projectToSteady()"
20.4,10712.6904317798,"projectToSteady()"
20.6,11101.5939247638,"projectToSteady()"
20.8,11491.8262459308,"projectToSteady()"
21,11882.6816676003,"projectToSteady()"
21.2,12273.4629481489,"projectToSteady()"
21.4,12663.4860358421,"projectToSteady()"
21.6,13052.0844394644,"projectToSteady()"
21.8,13438.6132189744,"projectToSteady()"
22,13822.4525602247,"projectToSteady()"
22.2,14203.0109085814,"projectToSteady()"
22.4,14579.7276467133,"projectToSteady()"
22.6,14952.0753116221,"projectToSteady()"
22.8,15319.5613549092,"projectToSteady()"
23,15681.7294581838,"projectToSteady()"
23.2,16038.1604222787,"projectToSteady()"
23.4,16388.4726545271,"projectToSteady()"
23.6,16732.3222827517,"projectToSteady()"
23.8,17069.402927866,"projectToSteady()"
24,17399.4451691624,"projectToSteady()"
24.2,17722.215737553,"projectToSteady()"
24.4,18037.5164723466,"projectToSteady()"
24.6,18345.1830767173,"projectToSteady()"
24.8,18645.0837059535,"projectToSteady()"
25,18937.1174210142,"projectToSteady()"
25.2,19221.2125379504,"projectToSteady()"
25.4,19497.3249015094,"projectToSteady()"
25.6,19765.4361087943,"projectToSteady()"
25.8,20025.5517063115,"projectToSteady()"
26,20277.6993811578,"projectToSteady()"
26.2,20521.9271645434,"projectToSteady()"
26.4,20758.3016633707,"projectToSteady()"
26.6,20986.9063332176,"projectToSteady()"
26.8,21207.8398038453,"projectToSteady()"
0,0.712999999999914,"project()"
0.2,0.749626393151786,"project()"
0.4,0.827155483359952,"project()"
0.6,0.905337002812399,"project()"
0.8,0.983772631170239,"project()"
1,1.06260688292739,"project()"
1.2,1.1425020370503,"project()"
1.4,1.22474850758303,"project()"
1.6,1.31139780797838,"project()"
1.8,1.40509751666479,"project()"
2,1.50821786356852,"project()"
2.2,1.62184368192953,"project()"
2.4,1.74601996396628,"project()"
2.6,1.88079476721684,"project()"
2.8,2.0264504024478,"project()"
3,2.18329567453895,"project()"
3.2,2.35172425371054,"project()"
3.4,2.53231003913408,"project()"
3.6,2.7258727056102,"project()"
3.8,2.93349892160755,"project()"
4,3.15649392711801,"project()"
4.2,3.39629630665737,"project()"
4.4,3.65441162118978,"project()"
4.6,3.93239076459415,"project()"
4.8,4.23183442052113,"project()"
5,4.55440280049013,"project()"
5.2,4.90183017555355,"project()"
5.4,5.27594807988716,"project()"
5.6,5.67871455304506,"project()"
5.8,6.11224377945316,"project()"
6,6.57883115557944,"project()"
6.2,7.08097166581289,"project()"
6.4,7.62137283219084,"project()"
6.6,8.2029650255878,"project()"
6.8,8.82891143016682,"project()"
7,9.50261901354347,"project()"
7.2,10.2277514749265,"project()"
7.4,11.0082450343845,"project()"
7.6,11.8483276011142,"project()"
7.8,12.752541349849,"project()"
8,13.7257683157507,"project()"
8.2,14.7732584538143,"project()"
8.4,15.9006596896682,"project()"
8.6,17.1140496946884,"project()"
8.8,18.4199693290732,"project()"
9,19.825457863913,"project()"
9.2,21.3380902218764,"project()"
9.4,22.9660165710764,"project()"
9.6,24.718004658854,"project()"
9.8,26.6034852760181,"project()"
10,4.46750633808926,"project()"
10.2,6.47886708487173,"project()"
10.4,8.76263460041207,"project()"
10.6,11.2361727019257,"project()"
10.8,13.8217232999016,"project()"
11,16.4324780591049,"project()"
11.2,18.9725730604707,"project()"
11.4,21.3436872380552,"project()"
11.6,23.4694553466912,"project()"
11.8,25.3485991998081,"project()"
12,27.095994245357,"project()"
12.2,28.8887728855083,"project()"
12.4,30.8557322530173,"project()"
12.6,33.0540070681546,"project()"
12.8,35.5143308424315,"project()"
13,38.2551904507549,"project()"
13.2,41.2801245545503,"project()"
13.4,44.5806424995879,"project()"
13.6,48.1419897516171,"project()"
13.8,51.9521071334218,"project()"
14,56.0098461806983,"project()"
14.2,60.3282109205832,"project()"
14.4,64.9320877486749,"project()"
