"time","biomass"
0,4.46750633808926
0.2,6.47886708487173
0.4,8.76263460041207
0.6,11.2361727019257
0.8,13.8217232999016
1,16.4324780591049
1.2,18.9725730604707
1.4,21.3436872380552
1.6,23.4694553466912
1.8,25.3485991998081
2,27.095994245357
2.2,28.8887728855083
2.4,30.8557322530173
2.6,33.0540070681546
2.8,35.5143308424315
3,38.2551904507549
3.2,41.2801245545503
3.4,44.5806424995879
3.6,48.1419897516171
3.8,51.9521071334218
4,56.0098461806983
4.2,60.3282109205832
4.4,64.9320877486749
4.6,69.8539623512639
4.8,75.1306491863271
5,80.8012015233336
5.2,86.9052586316555
5.4,93.4818287230982
5.6,100.568836981855
5.8,108.203548172303
6,116.42366266214
6.2,125.268671536366
6.4,134.781080517241
6.6,145.00731485059
6.8,155.99830045925
7,167.809782454398
7.2,180.502442475928
7.4,194.1418824626
7.6,208.798558687585
7.8,224.547750469236
8,241.46962434794
8.2,259.649417969511
8.4,279.177735006607
8.6,300.150923364482
8.8,322.671503420889
9,346.848615409218
9.2,372.798460786693
9.4,400.644719955982
9.6,430.518937166323
9.8,462.560871184679
10,496.918815601041
10.2,533.749894534754
10.4,573.22033837667
10.6,615.505741107538
10.8,660.791296823033
11,709.2720092124
11.2,761.152864388843
11.4,816.648954931976
11.6,875.985541372634
11.8,939.398036550083
12,1007.13189808128
12.2,1079.44241432473
12.4,1156.5943694588
12.6,1238.86157348534
12.8,1326.52624308138
13,1419.87821931561
13.2,1519.21400844121
13.4,1624.83563242831
13.6,1737.04927676904
13.8,1856.16372452463
14,1982.48856770483
14.2,2116.33218995348
14.4,2257.99951819664
14.6,2407.78954538942
14.8,2565.9926317373
15,2732.8875976965
15.2,2908.73862857242
15.4,3093.79201749809
15.6,3288.27278081043
15.8,3492.38118713909
16,3706.28924862804
16.2,3930.13722933995
16.4,4164.030231733
16.6,4408.03492682316
16.8,4662.17649692646
17,4926.43586141166
17.2,5200.74725542555
17.4,5484.99622888678
17.6,5779.01812807267
17.8,6082.59711484211
18,6395.46576905337
18.2,6717.3053082729
18.4,7047.74644576449
18.6,7386.3708934315
18.8,7732.71350136924
19,8086.26501053287
19.2,8446.47538032098
19.4,8812.7576391851
19.6,9184.49219422429
19.8,9561.03152556019
20,9941.70518345919
20.2,10325.8250009096
20.4,10712.6904317798
20.6,11101.5939247638
20.8,11491.8262459308
21,11882.6816676003
21.2,12273.4629481489
21.4,12663.4860358421
21.6,13052.0844394644
21.8,13438.6132189744
22,13822.4525602247
22.2,14203.0109085814
22.4,14579.7276467133
22.6,14952.0753116221
22.8,15319.5613549092
23,15681.7294581838
23.2,16038.1604222787
23.4,16388.4726545271
23.6,16732.3222827517
23.8,17069.402927866
24,17399.4451691624
24.2,17722.215737553
24.4,18037.5164723466
24.6,18345.1830767173
24.8,18645.0837059535
25,18937.1174210142
25.2,19221.2125379504
25.4,19497.3249015094
25.6,19765.4361087943
25.8,20025.5517063115
26,20277.6993811578
26.2,20521.9271645434
26.4,20758.3016633707
26.6,20986.9063332176
26.8,21207.8398038453
