"time","biomass","schedule","regime"
500,0.0590662583531623,"Unfished reference","Oscillating (resource_decrease=0.005)"
500.2,0.0682144805346092,"Unfished reference","Oscillating (resource_decrease=0.005)"
500.4,0.0794098815652491,"Unfished reference","Oscillating (resource_decrease=0.005)"
500.6,0.0911042547414028,"Unfished reference","Oscillating (resource_decrease=0.005)"
500.8,0.101396269549822,"Unfished reference","Oscillating (resource_decrease=0.005)"
501,0.108439508587814,"Unfished reference","Oscillating (resource_decrease=0.005)"
501.2,0.110857695982632,"Unfished reference","Oscillating (resource_decrease=0.005)"
501.4,0.108761416479735,"Unfished reference","Oscillating (resource_decrease=0.005)"
501.6,0.105021179460737,"Unfished reference","Oscillating (resource_decrease=0.005)"
501.8,0.103131212107824,"Unfished reference","Oscillating (resource_decrease=0.005)"
502,0.104042492864681,"Unfished reference","Oscillating (resource_decrease=0.005)"
502.2,0.106760634660072,"Unfished reference","Oscillating (resource_decrease=0.005)"
502.4,0.109797023305179,"Unfished reference","Oscillating (resource_decrease=0.005)"
502.6,0.111819046933692,"Unfished reference","Oscillating (resource_decrease=0.005)"
502.8,0.111923448239597,"Unfished reference","Oscillating (resource_decrease=0.005)"
503,0.109651264797241,"Unfished reference","Oscillating (resource_decrease=0.005)"
503.2,0.105004804737977,"Unfished reference","Oscillating (resource_decrease=0.005)"
503.4,0.098545978707564,"Unfished reference","Oscillating (resource_decrease=0.005)"
503.6,0.0912601663599772,"Unfished reference","Oscillating (resource_decrease=0.005)"
503.8,0.0841190494707295,"Unfished reference","Oscillating (resource_decrease=0.005)"
504,0.0776561818953046,"Unfished reference","Oscillating (resource_decrease=0.005)"
504.2,0.0718669479383849,"Unfished reference","Oscillating (resource_decrease=0.005)"
504.4,0.0664798485284067,"Unfished reference","Oscillating (resource_decrease=0.005)"
504.6,0.0613385586439062,"Unfished reference","Oscillating (resource_decrease=0.005)"
504.8,0.056581017062823,"Unfished reference","Oscillating (resource_decrease=0.005)"
505,0.0526061086398732,"Unfished reference","Oscillating (resource_decrease=0.005)"
505.2,0.0499768367945755,"Unfished reference","Oscillating (resource_decrease=0.005)"
505.4,0.0493295202668585,"Unfished reference","Oscillating (resource_decrease=0.005)"
505.6,0.0512784037985359,"Unfished reference","Oscillating (resource_decrease=0.005)"
505.8,0.0562664777521419,"Unfished reference","Oscillating (resource_decrease=0.005)"
506,0.0643346066082825,"Unfished reference","Oscillating (resource_decrease=0.005)"
506.2,0.074882878760272,"Unfished reference","Oscillating (resource_decrease=0.005)"
506.4,0.0865984549280278,"Unfished reference","Oscillating (resource_decrease=0.005)"
506.6,0.097669070959433,"Unfished reference","Oscillating (resource_decrease=0.005)"
506.8,0.106181501182403,"Unfished reference","Oscillating (resource_decrease=0.005)"
507,0.110510413150165,"Unfished reference","Oscillating (resource_decrease=0.005)"
507.2,0.109993463687235,"Unfished reference","Oscillating (resource_decrease=0.005)"
507.4,0.106414384568481,"Unfished reference","Oscillating (resource_decrease=0.005)"
507.6,0.103524826333051,"Unfished reference","Oscillating (resource_decrease=0.005)"
507.8,0.103395128720995,"Unfished reference","Oscillating (resource_decrease=0.005)"
508,0.105578626078531,"Unfished reference","Oscillating (resource_decrease=0.005)"
508.2,0.108666941058239,"Unfished reference","Oscillating (resource_decrease=0.005)"
508.4,0.111218678058988,"Unfished reference","Oscillating (resource_decrease=0.005)"
508.6,0.112149393531379,"Unfished reference","Oscillating (resource_decrease=0.005)"
508.8,0.110832522526933,"Unfished reference","Oscillating (resource_decrease=0.005)"
509,0.107077787933334,"Unfished reference","Oscillating (resource_decrease=0.005)"
509.2,0.101225085498065,"Unfished reference","Oscillating (resource_decrease=0.005)"
509.4,0.0941343098076618,"Unfished reference","Oscillating (resource_decrease=0.005)"
509.6,0.0868424714836218,"Unfished reference","Oscillating (resource_decrease=0.005)"
509.8,0.0800883627445197,"Unfished reference","Oscillating (resource_decrease=0.005)"
510,0.0740628868633555,"Unfished reference","Oscillating (resource_decrease=0.005)"
510.2,0.06855076514217,"Unfished reference","Oscillating (resource_decrease=0.005)"
510.4,0.0633141255041065,"Unfished reference","Oscillating (resource_decrease=0.005)"
510.6,0.0583716745995398,"Unfished reference","Oscillating (resource_decrease=0.005)"
510.8,0.0540311678502581,"Unfished reference","Oscillating (resource_decrease=0.005)"
511,0.0508030688014331,"Unfished reference","Oscillating (resource_decrease=0.005)"
511.2,0.0493053172471222,"Unfished reference","Oscillating (resource_decrease=0.005)"
511.4,0.0501743260257694,"Unfished reference","Oscillating (resource_decrease=0.005)"
511.6,0.0539431454212835,"Unfished reference","Oscillating (resource_decrease=0.005)"
511.8,0.0608407629101469,"Unfished reference","Oscillating (resource_decrease=0.005)"
512,0.0705394113568703,"Unfished reference","Oscillating (resource_decrease=0.005)"
512.2,0.0819953588319806,"Unfished reference","Oscillating (resource_decrease=0.005)"
512.4,0.0935490934373315,"Unfished reference","Oscillating (resource_decrease=0.005)"
512.6,0.10327767749426,"Unfished reference","Oscillating (resource_decrease=0.005)"
512.8,0.109396457688312,"Unfished reference","Oscillating (resource_decrease=0.005)"
513,0.110729142293347,"Unfished reference","Oscillating (resource_decrease=0.005)"
513.2,0.107938471669914,"Unfished reference","Oscillating (resource_decrease=0.005)"
513.4,0.104369220501964,"Unfished reference","Oscillating (resource_decrease=0.005)"
513.6,0.103108690293634,"Unfished reference","Oscillating (resource_decrease=0.005)"
513.8,0.104534341731691,"Unfished reference","Oscillating (resource_decrease=0.005)"
514,0.107450831080759,"Unfished reference","Oscillating (resource_decrease=0.005)"
514.2,0.11036614328757,"Unfished reference","Oscillating (resource_decrease=0.005)"
514.4,0.112028521580011,"Unfished reference","Oscillating (resource_decrease=0.005)"
514.6,0.111636454139597,"Unfished reference","Oscillating (resource_decrease=0.005)"
514.8,0.108824913076635,"Unfished reference","Oscillating (resource_decrease=0.005)"
515,0.103713425015426,"Unfished reference","Oscillating (resource_decrease=0.005)"
515.2,0.0969813930449539,"Unfished reference","Oscillating (resource_decrease=0.005)"
515.4,0.0896543361955046,"Unfished reference","Oscillating (resource_decrease=0.005)"
515.6,0.0826363399092874,"Unfished reference","Oscillating (resource_decrease=0.005)"
