"time","rel_diff","comparison"
500,0,"Peaks only vs. Constant"
500.2,0,"Peaks only vs. Constant"
500.4,0,"Peaks only vs. Constant"
500.6,0,"Peaks only vs. Constant"
500.8,0,"Peaks only vs. Constant"
501,0,"Peaks only vs. Constant"
501.2,0,"Peaks only vs. Constant"
501.4,0,"Peaks only vs. Constant"
501.6,0,"Peaks only vs. Constant"
501.8,0,"Peaks only vs. Constant"
502,0,"Peaks only vs. Constant"
502.2,0,"Peaks only vs. Constant"
502.4,0,"Peaks only vs. Constant"
502.6,0,"Peaks only vs. Constant"
502.8,0,"Peaks only vs. Constant"
503,0,"Peaks only vs. Constant"
503.2,0,"Peaks only vs. Constant"
503.4,0,"Peaks only vs. Constant"
503.6,0,"Peaks only vs. Constant"
503.8,0,"Peaks only vs. Constant"
504,0,"Peaks only vs. Constant"
504.2,0,"Peaks only vs. Constant"
504.4,0,"Peaks only vs. Constant"
504.6,0.0421774802060473,"Peaks only vs. Constant"
504.8,0.0963056045316623,"Peaks only vs. Constant"
505,0.136436420183541,"Peaks only vs. Constant"
505.2,0.163118082438786,"Peaks only vs. Constant"
505.4,0.176705298121028,"Peaks only vs. Constant"
505.6,0.178105611746682,"Peaks only vs. Constant"
505.8,0.127666346584733,"Peaks only vs. Constant"
506,0.0693573182912038,"Peaks only vs. Constant"
506.2,0.0321077136795391,"Peaks only vs. Constant"
506.4,0.0115101033922836,"Peaks only vs. Constant"
506.6,0.00297957544255244,"Peaks only vs. Constant"
506.8,0.00377164380695529,"Peaks only vs. Constant"
507,0.0108462179871546,"Peaks only vs. Constant"
507.2,0.0196885835458576,"Peaks only vs. Constant"
507.4,0.0249121590861215,"Peaks only vs. Constant"
507.6,0.02228933432198,"Peaks only vs. Constant"
507.8,0.0111727930271654,"Peaks only vs. Constant"
508,-0.0051985474391182,"Peaks only vs. Constant"
508.2,-0.0212434574425475,"Peaks only vs. Constant"
508.4,-0.0318379260497661,"Peaks only vs. Constant"
508.6,-0.0358025190534761,"Peaks only vs. Constant"
508.8,-0.0363213891862084,"Peaks only vs. Constant"
509,-0.0372732471373961,"Peaks only vs. Constant"
509.2,-0.0402355878241689,"Peaks only vs. Constant"
509.4,-0.0449794876311233,"Peaks only vs. Constant"
509.6,-0.0507596362114393,"Peaks only vs. Constant"
509.8,-0.0566252432191313,"Peaks only vs. Constant"
510,-0.061329946680214,"Peaks only vs. Constant"
510.2,-0.0631116752209318,"Peaks only vs. Constant"
510.4,-0.0199093490796806,"Peaks only vs. Constant"
510.6,0.0424349906391705,"Peaks only vs. Constant"
510.8,0.102438203030006,"Peaks only vs. Constant"
511,0.161260378236477,"Peaks only vs. Constant"
511.2,0.216488519386566,"Peaks only vs. Constant"
511.4,0.262881973769653,"Peaks only vs. Constant"
511.6,0.294868955666286,"Peaks only vs. Constant"
511.8,0.26096602068134,"Peaks only vs. Constant"
512,0.204211578214179,"Peaks only vs. Constant"
512.2,0.156155388802169,"Peaks only vs. Constant"
512.4,0.115711512075341,"Peaks only vs. Constant"
512.6,0.0827077634933435,"Peaks only vs. Constant"
512.8,0.0574297471083338,"Peaks only vs. Constant"
513,0.0387484669732753,"Peaks only vs. Constant"
513.2,0.0248073399779375,"Peaks only vs. Constant"
513.4,0.0149313449870372,"Peaks only vs. Constant"
513.6,0.00900247315183765,"Peaks only vs. Constant"
513.8,0.00353777620117756,"Peaks only vs. Constant"
514,-0.00705198462866842,"Peaks only vs. Constant"
514.2,-0.02374910291834,"Peaks only vs. Constant"
514.4,-0.0422898595778806,"Peaks only vs. Constant"
514.6,-0.0589580082429094,"Peaks only vs. Constant"
514.8,-0.0738911263399915,"Peaks only vs. Constant"
515,-0.0887718496991081,"Peaks only vs. Constant"
515.2,-0.103635578786659,"Peaks only vs. Constant"
515.4,-0.116927918728331,"Peaks only vs. Constant"
515.6,-0.127231369113093,"Peaks only vs. Constant"
515.8,-0.134115155914889,"Peaks only vs. Constant"
516,-0.137401897373483,"Peaks only vs. Constant"
516.2,-0.0995217271561682,"Peaks only vs. Constant"
516.4,-0.0426164278101387,"Peaks only vs. Constant"
516.6,0.0175344042647908,"Peaks only vs. Constant"
516.8,0.0880014032973347,"Peaks only vs. Constant"
517,0.172748463060285,"Peaks only vs. Constant"
517.2,0.269913239650668,"Peaks only vs. Constant"
517.4,0.370041089956291,"Peaks only vs. Constant"
517.6,0.402303344724394,"Peaks only vs. Constant"
517.8,0.390460818913765,"Peaks only vs. Constant"
518,0.358263138350955,"Peaks only vs. Constant"
518.2,0.30454794948551,"Peaks only vs. Constant"
518.4,0.237343837460534,"Peaks only vs. Constant"
518.6,0.167901700286057,"Peaks only vs. Constant"
518.8,0.104492357929207,"Peaks only vs. Constant"
519,0.0524409265239857,"Peaks only vs. Constant"
519.2,0.0165893538071553,"Peaks only vs. Constant"
519.4,-8.9275634621695e-05,"Peaks only vs. Constant"
519.6,-0.00211029639373711,"Peaks only vs. Constant"
519.8,-0.00183966933646228,"Peaks only vs. Constant"
520,-0.0108846115128796,"Peaks only vs. Constant"
520.2,-0.0324392213225607,"Peaks only vs. Constant"
520.4,-0.0622790882460755,"Peaks only vs. Constant"
520.6,-0.0946444496338933,"Peaks only vs. Constant"
520.8,-0.126225001395519,"Peaks only vs. Constant"
521,-0.155457638451031,"Peaks only vs. Constant"
521.2,-0.180382888400257,"Peaks only vs. Constant"
521.4,-0.198956481592852,"Peaks only vs. Constant"
521.6,-0.210441285051986,"Peaks only vs. Constant"
521.8,-0.215186105967255,"Peaks only vs. Constant"
522,-0.212870716529972,"Peaks only vs. Constant"
522.2,-0.169066885712503,"Peaks only vs. Constant"
522.4,-0.0996285417080376,"Peaks only vs. Constant"
