"time","yield","schedule","regime"
500,0,"Peaks only","Oscillating (resource_decrease=0.005)"
500.2,1.08261283780056e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
500.4,1.22737443187567e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
500.6,1.38994150553284e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
500.8,1.53770585920224e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
501,1.65088262117604e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
501.2,1.72642786366295e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
501.4,1.77645807022264e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
501.6,1.82268068014848e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
501.8,1.88833222890414e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
502,1.98834833743974e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
502.2,2.12166955938565e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
502.4,2.27197198838855e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
502.6,2.41425101779771e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
502.8,2.51906444828561e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
503,2.55691774600051e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
503.2,2.50815746555244e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
503.4,2.37290776698908e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
503.6,2.17218142475174e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
503.8,1.93854817200882e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
504,1.70270352294643e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
504.2,1.48444802208194e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
504.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
504.6,0,"Peaks only","Oscillating (resource_decrease=0.005)"
504.8,0,"Peaks only","Oscillating (resource_decrease=0.005)"
505,0,"Peaks only","Oscillating (resource_decrease=0.005)"
505.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
505.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
505.6,9.73502819748512e-06,"Peaks only","Oscillating (resource_decrease=0.005)"
505.8,9.55667615598334e-06,"Peaks only","Oscillating (resource_decrease=0.005)"
506,1.01324787763338e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
506.2,1.12498606142823e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
506.4,1.26827708791182e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
506.6,1.42080444114256e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
506.8,1.56402120091527e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
507,1.68503403028352e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
507.2,1.77897897922698e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
507.4,1.85069740656125e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
507.6,1.91110264191757e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
507.8,1.97088598206089e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
508,2.03856385033387e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
508.2,2.12049499555444e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
508.4,2.21532109130825e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
508.6,2.30741179460623e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
508.8,2.36906609947669e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
509,2.37127447891535e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
509.2,2.29640706903582e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
509.4,2.14665954104886e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
509.6,1.94396566621168e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
509.8,1.72089999558799e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
510,1.50767954867722e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
510.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
510.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
510.6,0,"Peaks only","Oscillating (resource_decrease=0.005)"
510.8,0,"Peaks only","Oscillating (resource_decrease=0.005)"
511,0,"Peaks only","Oscillating (resource_decrease=0.005)"
511.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
511.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
511.6,1.0873939586682e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
511.8,1.08483369271365e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
512,1.15403885427703e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
512.2,1.26852460828747e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
512.4,1.40413874631517e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
512.6,1.54106734912754e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
512.8,1.66455558851477e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
513,1.76642231511113e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
513.2,1.84713589007772e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
513.4,1.91433380384354e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
513.6,1.97714916181418e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
513.8,2.04065113146043e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
514,2.10555478465939e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
514.2,2.17020828769442e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
514.4,2.22754558289374e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
514.6,2.26116838917303e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
514.8,2.24942520828597e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
515,2.1761310955793e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
515.2,2.04010793246412e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
515.4,1.85747729326295e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
515.6,1.65531594335913e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
515.8,1.46067560978068e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
516,0,"Peaks only","Oscillating (resource_decrease=0.005)"
516.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
516.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
516.6,0,"Peaks only","Oscillating (resource_decrease=0.005)"
516.8,0,"Peaks only","Oscillating (resource_decrease=0.005)"
517,0,"Peaks only","Oscillating (resource_decrease=0.005)"
517.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
517.4,1.15718993263081e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
517.6,1.15306042759662e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
517.8,1.2171128229743e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
518,1.32265219388647e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
518.2,1.44696303843704e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
518.4,1.57282819243785e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
518.6,1.6880065388041e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
518.8,1.78568459973115e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
519,1.86613826168763e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
519.2,1.93529002980461e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
519.4,1.99939788890435e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
519.6,2.06019318671132e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
519.8,2.11551374055099e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
520,2.16229482288894e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
520.2,2.19434432191533e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
520.4,2.19866985705896e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
520.6,2.15898302420429e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
520.8,2.0649678924467e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
521,1.9197646346554e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
521.2,1.74051413566137e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
521.4,1.55176336850377e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
521.6,1.37607276660424e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
521.8,1.22753260063424e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
522,0,"Peaks only","Oscillating (resource_decrease=0.005)"
522.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
522.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
522.6,0,"Peaks only","Oscillating (resource_decrease=0.005)"
522.8,0,"Peaks only","Oscillating (resource_decrease=0.005)"
523,0,"Peaks only","Oscillating (resource_decrease=0.005)"
523.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
523.4,1.32989080953292e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
523.6,1.3589871933282e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
523.8,1.43815223737987e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
524,1.536779543231e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
524.2,1.63765089854357e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
524.4,1.73465106853723e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
524.6,1.82561068965845e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
524.8,1.9091569051825e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
525,1.98634707529312e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
525.2,2.05975285293504e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
525.4,2.12812651831249e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
525.6,2.18235790605046e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
525.8,2.20906961005909e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
526,2.19824997362334e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
526.2,2.14536770268776e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
526.4,2.04941601183503e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
526.6,1.91390689635876e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
526.8,1.74937695623295e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
527,1.57245938816557e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
527.2,1.40113687293802e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
527.4,1.24953246286583e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
527.6,1.12546045139529e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
527.8,0,"Peaks only","Oscillating (resource_decrease=0.005)"
528,0,"Peaks only","Oscillating (resource_decrease=0.005)"
528.2,0,"Peaks only","Oscillating (resource_decrease=0.005)"
528.4,0,"Peaks only","Oscillating (resource_decrease=0.005)"
528.6,0,"Peaks only","Oscillating (resource_decrease=0.005)"
528.8,0,"Peaks only","Oscillating (resource_decrease=0.005)"
529,0,"Peaks only","Oscillating (resource_decrease=0.005)"
529.2,1.45917864831162e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
529.4,1.49200944698354e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
529.6,1.56231381145902e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
529.8,1.64248892695842e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
530,1.72214960438801e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
530.2,1.80215163960427e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
530.4,1.88461750059818e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
530.6,1.96884271015492e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
530.8,2.05290464061334e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
531,2.13302842286402e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
531.2,2.1995213862148e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
531.4,2.23563964478531e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
531.6,2.22490616252643e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
531.8,2.16120152157809e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
532,2.05035206790374e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
532.2,1.90452255160451e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
532.4,1.73799943005099e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
532.6,1.56550247658999e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
532.8,1.40038534498453e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
533,1.25275234339332e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
533.2,1.12880145774682e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
533.4,1.03171936671012e-05,"Peaks only","Oscillating (resource_decrease=0.005)"
