"t","total","selected","juvenile","fish_level"
0,0.0123393149976886,0.00509146475862765,0.0072478502390609,0
1,0.428841546554484,0.0129700655893344,0.415871480965149,0
2,0.488486633167787,0.0108506721614441,0.477635961006343,0
3,0.453496400546156,0.00858593000454269,0.444910470541613,0
4,0.377063210973693,0.0067109398939368,0.370352271079756,0
5,0.262717250500375,0.0116888784074209,0.251028372092955,0
6,0.101827499608286,0.0464882324154842,0.0553392671928019,0
7,0.486147743861629,0.0128079953336954,0.473339748527934,0
8,0.542475718419051,0.0121913767303843,0.530284341688667,0
9,0.523708948028917,0.01020148378891,0.513507464240007,0
10,4.69493342152931e-08,7.98008828542278e-10,4.61513253867509e-08,0
10.2,8.87143803537094e-08,2.434454587781e-09,8.62799257659284e-08,0
10.4,1.81084485839158e-07,1.00303212897542e-07,8.07812729416162e-08,0
10.6,3.46922150627685e-07,1.23000278963667e-07,2.23921871664019e-07,0
10.8,2.2792157453942e-06,6.00239111364813e-08,2.21919183425772e-06,0
11,1.3027133502075e-05,2.07390438612728e-07,1.28197430634623e-05,0
11.2,4.78749311377901e-05,5.2204913388884e-06,4.26544397989017e-05,0
11.4,0.000113646019069992,3.91666898880612e-05,7.44793291819306e-05,0
11.6,0.000307466395405872,8.11587801521461e-05,0.000226307615253726,0
11.8,0.00157267055876496,8.97868327444612e-05,0.0014828837260205,0
12,0.00760307925223267,0.000339491666811322,0.00726358758542135,0
12.2,0.0253272815980941,0.00338494597265237,0.0219423356254417,0
12.4,0.0577055874487761,0.014634746386024,0.0430708410627521,0
12.6,0.103866800686281,0.0304551972407181,0.0734116034455625,0
12.8,0.169918992092823,0.0385167961524344,0.131402195940389,0
13,0.243361528787642,0.0354683556944421,0.2078931730932,0
13.2,0.294787282239131,0.0284854547085041,0.266301827530626,0
13.4,0.321837839220359,0.0226788717465253,0.299158967473834,0
13.6,0.333635030821254,0.0189030879658408,0.314731942855413,0
13.8,0.335317910065428,0.016557812160281,0.318760097905147,0
14,0.329465113599948,0.0151030480222845,0.314362065577663,0
14.2,0.317655359810224,0.0142921668645633,0.303363192945661,0
14.4,0.300916685333408,0.0141547370538203,0.286761948279587,0
14.6,0.279823961548103,0.0151034997551443,0.264720461792959,0
14.8,0.254434250213315,0.0185028174084674,0.235931432804847,0
15,0.224038875297281,0.0287002860694577,0.195338589227823,0
15.2,0.1867875644215,0.0562285997007388,0.130558964720761,0
15.4,0.141393621850735,0.0944999375534267,0.0468936842973081,0
15.6,0.0999254981450036,0.0821046099414088,0.0178208882035948,0
15.8,0.109008124748699,0.0431549880233869,0.0658531367253125,0
16,0.215267709889814,0.0208500277635988,0.194417682126215,0
16.2,0.333031398381832,0.0141519033788128,0.318879495003019,0
16.4,0.405250863647417,0.0127810062657179,0.392469857381699,0
16.6,0.451700271738298,0.01279707449476,0.438903197243538,0
16.8,0.482600222960035,0.0129894686782976,0.469610754281737,0
17,0.503281419011877,0.0130123315774757,0.490269087434402,0
17.2,0.516966080069788,0.0128586496422406,0.504107430427547,0
17.4,0.525552175278462,0.0125886855661337,0.512963489712328,0
17.6,0.53019969946601,0.0122522896831221,0.517947409782888,0
17.8,0.531679945863293,0.0118790983824519,0.519800847480842,0
18,0.530544414254591,0.0114840325657371,0.519060381688854,0
18.2,0.527200400852509,0.0110735967287606,0.516126804123749,0
18.4,0.521953129442304,0.0106502598921505,0.511302869550154,0
18.6,0.515035423914259,0.0102151041243313,0.504820319789928,0
18.8,0.506628610835395,0.00976939670313453,0.496859214132261,0
19,0.496875306565071,0.00931553085639358,0.487559775708678,0
19.2,0.48588896598386,0.00885767318759654,0.477031292796263,0
19.4,0.473756634436235,0.00840208028265139,0.465354554153584,0
19.6,0.460543098440104,0.00795720028983138,0.452585898150273,0
19.8,0.446291149901231,0.00753347830922562,0.438757671592005,0
20,0.431021786219296,0.00714306441787082,0.423878721801426,0
20.2,0.414734019128812,0.00679990885102853,0.407934110277784,0
20.4,0.397401853714709,0.00652083994178047,0.390881013772928,0
20.6,0.378969210982218,0.00632900251348855,0.372640208468729,0
20.8,0.35933923576998,0.00626222523199211,0.353077010537987,0
21,0.338354776473743,0.00639315388941096,0.331961622584332,0
21.2,0.315763735977663,0.00688223861020817,0.308881497367455,0
21.4,0.291155715518995,0.00813793214602812,0.283017783372967,0
21.6,0.26383742321778,0.0113759122114088,0.252461511006371,0
21.8,0.232565420689864,0.0206659296062633,0.211899491083601,0
22,0.195083733660047,0.0474819931981956,0.147601740461851,0
22.2,0.149142920111288,0.0922279179799478,0.05691500213134,0
22.4,0.103585816788925,0.0884234378513458,0.0151623789375794,0
22.6,0.100313378603557,0.0476925672271305,0.0526208113764266,0
22.8,0.196732071753644,0.0218175031517793,0.174914568601864,0
23,0.322459017757047,0.0134139490308986,0.309045068726149,0
23.2,0.401119033895543,0.012021305809743,0.389097728085801,0
23.4,0.45157881122006,0.0123147954494907,0.43926401577057,0
23.6,0.485341558109096,0.0127923474110061,0.47254921069809,0
23.8,0.508119631855249,0.0130252282633131,0.495094403591936,0
24,0.523499434217452,0.0130075007613638,0.510491933456088,0
24.2,0.533613619749128,0.0128230336719302,0.520790586077197,0
24.4,0.539726559916101,0.0125424092970206,0.52718415061908,0
24.6,0.542635749976226,0.0122087937222568,0.530426956253969,0
24.8,0.542894415090762,0.0118448915745246,0.531049523516237,0
25,0.540912458219724,0.0114612862064824,0.529451172013241,0
25.2,0.537000873782617,0.0110622972651027,0.525938576517514,0
25.4,0.531397905774906,0.0106495202553741,0.520748385519532,0
25.6,0.524289479562313,0.0102238568545536,0.514065622707759,0
25.8,0.515821939409858,0.00978671611621927,0.506035223293639,0
26,0.506113388872793,0.00934074790766839,0.496772640965125,0
26.2,0.495256979232402,0.00889032968139698,0.486366649551005,0
26.4,0.483325645281487,0.00844172741375682,0.47488391786773,0
26.6,0.470373758528267,0.00800305540330457,0.462370703124963,0
26.8,0.456436643111489,0.00758384307238435,0.448852800039104,0
27,0.441532955903039,0.00719467396314286,0.434338281939896,0
27.2,0.425662755676881,0.00684694954329003,0.418815806133591,0
27.4,0.408806799685548,0.00655354832074759,0.4022532513648,0
27.6,0.390922437225423,0.00633104826127528,0.384591388964148,0
27.8,0.371935520519825,0.00620498514936847,0.365730535370456,0
28,0.351726192109135,0.00622174662933428,0.345504445479801,0
28.2,0.330103736182886,0.00647731329931663,0.323626422883569,0
28.4,0.306762570162067,0.00719636948225866,0.299566200679808,0
28.6,0.281201008067107,0.00898568833553446,0.272215319731572,0
28.8,0.252556060462342,0.0137550997042409,0.238800960758101,0
29,0.219251049816116,0.0278693841201448,0.191381665695971,0
29.2,0.178644544389712,0.0644970456312952,0.114147498758416,0
29.4,0.130467440849983,0.0998713005174443,0.0305961403325389,0
29.6,0.0937230936241119,0.0728464241093535,0.0208766695147584,0
29.8,0.124616977257445,0.0354782627673507,0.0891387144900939,0
30,0.248827811860333,0.0170945754499104,0.231733236410423,0
30.2,0.357053285366393,0.0125025848060989,0.344550700560294,0
30.4,0.422734218979418,0.012046713032405,0.410687505947013,0
30.6,0.46601179211289,0.0125115917755522,0.453500200337338,0
30.8,0.495068845706751,0.0129138489372396,0.482154996769512,0
31,0.514713997690805,0.0130439222466474,0.501670075444158,0
31.2,0.52790615848877,0.0129533001961636,0.514952858292607,0
31.4,0.536388789439481,0.0127258241946152,0.523662965244866,0
31.6,0.541212528055526,0.0124214836705299,0.528791044384996,0
31.8,0.543063997706949,0.0120746422553947,0.530989355451555,0
32,0.542434404177826,0.0117025600214833,0.530731844156342,0
32.2,0.539692226668858,0.0113129064993666,0.528379320169491,0
32.4,0.535118316596724,0.0109086532520179,0.524209663344706,0
32.6,0.528928769044091,0.0104909537137755,0.518437815330316,0
32.8,0.521293373601521,0.0100607844643359,0.511232589137185,0
33,0.512346876587014,0.00961996114548915,0.502726915441524,0
33.2,0.50219695629768,0.00917172862296394,0.493025227674717,0
33.4,0.490929756703516,0.00872118596861232,0.482208570734904,0
33.6,0.478610004644575,0.00827530227004523,0.47033470237453,0
33.8,0.465285460509761,0.00784278737482282,0.457442673134938,0
34,0.450985016885196,0.00743360877316994,0.443551408112026,0
