"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts"
1.8799518572969,0.0928345788265291,NA,NA,10,"Constant",10,NA,NA,NA
1.89081453618887,0.265126331937501,NA,NA,30,"Constant",30,NA,NA,NA
0.110649883244693,0.113718878756392,NA,NA,50,"Constant",50,NA,NA,NA
1.80265271503605,0.000559105114110581,NA,NA,70,"Constant",70,NA,NA,NA
1.999999421308,2.70664017328101e-09,NA,NA,100,"Constant",100,NA,NA,NA
1.78517861709705,0.0438871977025264,0.5,0.0274763355662514,10,"Threshold (peaks)",1.46630081768933,0,0.8,1
1.41293297435562,0.0537407962609211,0.5,0.0274763355662514,10,"Threshold (troughs)",8.97135236904963,0,NA,0
1.85230915411088,0.0707088872840225,0.5,0.0274763355662514,30,"Threshold (peaks)",2.86453481257886,0,0.3,2
1.45958149270793,0.0716829926855715,0.5,0.0274763355662514,30,"Threshold (troughs)",27.7468071589686,0,NA,0
1.86852644950956,0.073362670166272,0.5,0.0274763355662514,50,"Threshold (peaks)",3.29722714266411,0,0.2,2
0.11113256142398,0.113918982023579,0.5,0.0274763355662514,50,"Threshold (troughs)",49.9737833476888,0,NA,0
1.88161425714657,0.0727522344513104,0.5,0.0274763355662514,70,"Threshold (peaks)",3.49743470805994,0,NA,0
1.8008514321989,0.000567833443611148,0.5,0.0274763355662514,70,"Threshold (troughs)",69.98141922442,0,NA,0
1.88081838291035,0.0767682932331733,0.5,0.0274763355662514,100,"Threshold (peaks)",3.90010122997974,0,NA,0
1.99999941620839,2.7358694151058e-09,0.5,0.0274763355662514,100,"Threshold (troughs)",99.9735205524089,0,NA,0
