"t","selected_biomass","on_frac","schedule"
20.2,0.000806900389066907,NA,"Constant"
20.4,0.000911007404010484,NA,"Constant"
20.6,0.00108019930915522,NA,"Constant"
20.8,0.0013973509801207,NA,"Constant"
21,0.00207561584717057,NA,"Constant"
21.2,0.00379278478635433,NA,"Constant"
21.4,0.00882444349140556,NA,"Constant"
21.6,0.0182339155067858,NA,"Constant"
21.8,0.00156325520694809,NA,"Constant"
22,1.47294193434877e-06,NA,"Constant"
22.2,3.47880984382252e-05,NA,"Constant"
22.4,0.00122061939816677,NA,"Constant"
22.6,0.00462636894346222,NA,"Constant"
22.8,0.00224545645735738,NA,"Constant"
23,0.000130860200150155,NA,"Constant"
23.2,0.000423010263605067,NA,"Constant"
23.4,0.00226301130260557,NA,"Constant"
23.6,0.00430498743137667,NA,"Constant"
23.8,0.00260770876602849,NA,"Constant"
24,0.000493214720076558,NA,"Constant"
24.2,0.000886981425773225,NA,"Constant"
24.4,0.00238915914873381,NA,"Constant"
24.6,0.00394077620077773,NA,"Constant"
24.8,0.00279749259751848,NA,"Constant"
25,0.000968465614345278,NA,"Constant"
25.2,0.00117237691514998,NA,"Constant"
25.4,0.00230447945488611,NA,"Constant"
25.6,0.00355321784057164,NA,"Constant"
25.8,0.00285269125694741,NA,"Constant"
26,0.00140274848993673,NA,"Constant"
26.2,0.00137543599807281,NA,"Constant"
26.4,0.00221284826413339,NA,"Constant"
26.6,0.0031972647966879,NA,"Constant"
26.8,0.00283411868023219,NA,"Constant"
27,0.00173799103501552,NA,"Constant"
27.2,0.00155219730162558,NA,"Constant"
27.4,0.00214829926041444,NA,"Constant"
27.6,0.00291036654039624,NA,"Constant"
27.8,0.0027754640502147,NA,"Constant"
28,0.00197498303952128,NA,"Constant"
28.2,0.00171196753512585,NA,"Constant"
28.4,0.00211247269496475,NA,"Constant"
28.6,0.00269671694716947,NA,"Constant"
28.8,0.00269807048540563,NA,"Constant"
29,0.00213260353494464,NA,"Constant"
29.2,0.0018511807973832,NA,"Constant"
29.4,0.00210081907707291,NA,"Constant"
29.6,0.00254424278180784,NA,"Constant"
29.8,0.00261719601624232,NA,"Constant"
30,0.00223137027154607,NA,"Constant"
30.2,0.00196677739407793,NA,"Constant"
30.4,0.00210675292415814,NA,"Constant"
30.6,0.00243831376634233,NA,"Constant"
30.8,0.00254226004276573,NA,"Constant"
31,0.00228875002553983,NA,"Constant"
31.2,0.00205866197799991,NA,"Constant"
31.4,0.00212358156243195,NA,"Constant"
31.6,0.0023665919371065,NA,"Constant"
31.8,0.00247772860546555,NA,"Constant"
32,0.00231838811291418,NA,"Constant"
32.2,0.00212894765277665,NA,"Constant"
32.4,0.00214575240364958,NA,"Constant"
32.6,0.00231958120259964,NA,"Constant"
32.8,0.00242481102531615,NA,"Constant"
33,0.00233038066965174,NA,"Constant"
33.2,0.00218085113864835,NA,"Constant"
33.4,0.00216927844359043,NA,"Constant"
33.6,0.0022901122016307,NA,"Constant"
33.8,0.00238295688039365,NA,"Constant"
34,0.00233184348075896,NA,"Constant"
34.2,0.00221789172236628,NA,"Constant"
34.4,0.00219162957363721,NA,"Constant"
34.6,0.002272810049828,NA,"Constant"
34.8,0.00235082113658655,NA,"Constant"
35,0.00232756524848312,NA,"Constant"
35.2,0.00224340858459892,NA,"Constant"
35.4,0.00221141872044554,NA,"Constant"
35.6,0.0022636939520109,NA,"Constant"
35.8,0.00232680024567355,NA,"Constant"
36,0.00232062403471626,NA,"Constant"
36.2,0.00226031187117978,NA,"Constant"
36.4,0.00222806681714467,NA,"Constant"
36.6,0.00225987088962079,NA,"Constant"
36.8,0.00230930891561838,NA,"Constant"
37,0.00231289903833033,NA,"Constant"
37.2,0.00227099125722747,NA,"Constant"
37.4,0.0022415176145223,NA,"Constant"
37.6,0.00225928906653767,NA,"Constant"
37.8,0.00229691385950991,NA,"Constant"
38,0.0023054610422375,NA,"Constant"
38.2,0.00227732142619861,NA,"Constant"
38.4,0.00225201953688466,NA,"Constant"
38.6,0.00226053592904618,NA,"Constant"
38.8,0.0022883889901713,NA,"Constant"
39,0.00229885477884373,NA,"Constant"
39.2,0.00228071883867822,NA,"Constant"
39.4,0.00225997101668233,NA,"Constant"
39.6,0.00226267394634488,NA,"Constant"
39.8,0.00228272692644161,NA,"Constant"
40,0.00229329610034982,NA,"Constant"
40.2,0.00228221884302343,NA,"Constant"
40.4,0.00226581855889523,NA,"Constant"
40.6,0.00226510953460097,NA,"Constant"
40.8,0.00227912670289036,NA,"Constant"
41,0.00228880597428897,NA,"Constant"
41.2,0.00228255468014951,NA,"Constant"
41.4,0.00226999509495037,NA,"Constant"
41.6,0.00226749083727387,NA,"Constant"
41.8,0.00227696963452891,NA,"Constant"
42,0.00228529914031214,NA,"Constant"
42.2,0.00228222893820871,NA,"Constant"
42.4,0.00227288703558699,NA,"Constant"
42.6,0.00226963006609424,NA,"Constant"
42.8,0.0022757906331364,NA,"Constant"
43,0.00228264092060093,NA,"Constant"
43.2,0.00228157366862311,NA,"Constant"
43.4,0.00227482043113076,NA,"Constant"
43.6,0.00227144616022474,NA,"Constant"
43.8,0.00227524933861709,NA,"Constant"
44,0.0022806820856009,NA,"Constant"
20.2,0.0150981869864028,0.0238817946600524,"Threshold (peaks)"
20.4,0.0149359630234808,0.0227740665449474,"Threshold (peaks)"
20.6,0.015601477814422,0.0276631509359717,"Threshold (peaks)"
20.8,0.0167220631174528,0.0382837102388624,"Threshold (peaks)"
21,0.0183919491864835,0.0616221770019758,"Threshold (peaks)"
21.2,0.0207665488354728,0.118019288773474,"Threshold (peaks)"
21.4,0.0240177627632217,0.261779512621571,"Threshold (peaks)"
21.6,0.0282216618955393,0.55562347397022,"Threshold (peaks)"
21.8,0.0236663938921294,0.241941225413893,"Threshold (peaks)"
22,0.0147016545450359,0.0212622276287033,"Threshold (peaks)"
22.2,0.00777905964229129,0.0027198771503223,"Threshold (peaks)"
22.4,0.00563280148037317,0.00143120515958958,"Threshold (peaks)"
22.6,0.0110171613136498,0.007147685396544,"Threshold (peaks)"
22.8,0.0158933652107976,0.0301164333283305,"Threshold (peaks)"
23,0.0171060700699867,0.0427545062317371,"Threshold (peaks)"
23.2,0.0173657656302375,0.0460563445124096,"Threshold (peaks)"
23.4,0.0174553372563353,0.0472504838591255,"Threshold (peaks)"
23.6,0.0174542408465857,0.047235690521299,"Threshold (peaks)"
23.8,0.0173947050700308,0.0464389807272777,"Threshold (peaks)"
24,0.017296841852259,0.0451570856579206,"Threshold (peaks)"
24.2,0.0171719744005351,0.0435703719478744,"Threshold (peaks)"
24.4,0.0170262972686147,0.0417864742008783,"Threshold (peaks)"
24.6,0.0168631309374523,0.039871375856329,"Threshold (peaks)"
24.8,0.0166841825194339,0.0378678234649413,"Threshold (peaks)"
25,0.0164903564437509,0.0358068896214863,"Threshold (peaks)"
25.2,0.0162823863756327,0.0337157723804023,"Threshold (peaks)"
25.4,0.0160614126010105,0.0316231689616567,"Threshold (peaks)"
25.6,0.0158295781039458,0.0295629158655381,"Threshold (peaks)"
25.8,0.0155905078854829,0.0275748387364587,"Threshold (peaks)"
26,0.015349841348878,0.0257049282003282,"Threshold (peaks)"
26.2,0.0151153386035728,0.024001941073305,"Threshold (peaks)"
26.4,0.01489717966334,0.0225167627391539,"Threshold (peaks)"
26.6,0.0147078484297048,0.0213008996803222,"Threshold (peaks)"
26.8,0.0145626416616446,0.0204121415136106,"Threshold (peaks)"
27,0.0144806426412056,0.019926403275435,"Threshold (peaks)"
27.2,0.0144870285328297,0.0199638213309856,"Threshold (peaks)"
27.4,0.0146177189400879,0.0207448928580849,"Threshold (peaks)"
27.6,0.0149270546125534,0.0227147118109292,"Threshold (peaks)"
27.8,0.0155000425451384,0.026856929483174,"Threshold (peaks)"
28,0.0164658460326834,0.0355540916844926,"Threshold (peaks)"
28.2,0.0179919041643825,0.0550417829011526,"Threshold (peaks)"
28.4,0.0202234556510445,0.102098766269693,"Threshold (peaks)"
28.6,0.0232883642174708,0.221769522204827,"Threshold (peaks)"
28.8,0.0274279057539301,0.49637074002642,"Threshold (peaks)"
29,0.0258240396544905,0.378647856340619,"Threshold (peaks)"
29.2,0.0162400637634064,0.0333048913770293,"Threshold (peaks)"
29.4,0.00892133876091245,0.00382625182676961,"Threshold (peaks)"
29.6,0.00538396066466163,0.00132846925754732,"Threshold (peaks)"
29.8,0.0096906958857716,0.00481393963124954,"Threshold (peaks)"
30,0.0152775093690259,0.0251674634907895,"Threshold (peaks)"
30.2,0.017001358436493,0.0414881696194076,"Threshold (peaks)"
30.4,0.0173325359502181,0.0456206838319256,"Threshold (peaks)"
30.6,0.0174458158719558,0.0471221631126022,"Threshold (peaks)"
30.8,0.0174599086943743,0.047312211574818,"Threshold (peaks)"
31,0.0174101523254016,0.046644459844547,"Threshold (peaks)"
31.2,0.0173188810887027,0.0454428004237872,"Threshold (peaks)"
31.4,0.0171988491281628,0.0439073167395134,"Threshold (peaks)"
31.6,0.0170570530495065,0.0421571832064853,"Threshold (peaks)"
31.8,0.0168972657307529,0.0402649318851771,"Threshold (peaks)"
32,0.0167214434619639,0.0382768719576031,"Threshold (peaks)"
32.2,0.0165305957559152,0.0362256709396743,"Threshold (peaks)"
32.4,0.0163254454163928,0.0341388215989872,"Threshold (peaks)"
32.6,0.0161069956910574,0.0320442910471917,"Threshold (peaks)"
32.8,0.0158771536433114,0.0299748116770281,"Threshold (peaks)"
33,0.0156391824570468,0.0279687881110641,"Threshold (peaks)"
33.2,0.0153983137626709,0.0260713405335872,"Threshold (peaks)"
33.4,0.015161820244045,0.0243305145775647,"Threshold (peaks)"
33.6,0.0149394287659822,0.0227971989135384,"Threshold (peaks)"
33.8,0.0147430688790635,0.0215221130396137,"Threshold (peaks)"
34,0.0145874581942025,0.0205614196302648,"Threshold (peaks)"
34.2,0.0144906893281803,0.0199853027484962,"Threshold (peaks)"
