"t","total","selected","juvenile","knife_edge_size","fish_level"
20,0.431021786219296,0.00714306441787082,0.423878721801426,10,0
20.2,0.414734019128812,0.00679990885102853,0.407934110277784,10,0
20.4,0.397401853714709,0.00652083994178047,0.390881013772928,10,0
20.6,0.378969210982218,0.00632900251348855,0.372640208468729,10,0
20.8,0.35933923576998,0.00626222523199211,0.353077010537987,10,0
21,0.338354776473743,0.00639315388941096,0.331961622584332,10,0
21.2,0.315763735977663,0.00688223861020817,0.308881497367455,10,0
21.4,0.291155715518995,0.00813793214602812,0.283017783372967,10,0
21.6,0.26383742321778,0.0113759122114088,0.252461511006371,10,0
21.8,0.232565420689864,0.0206659296062633,0.211899491083601,10,0
22,0.195083733660047,0.0474819931981956,0.147601740461851,10,0
22.2,0.149142920111288,0.0922279179799478,0.05691500213134,10,0
22.4,0.103585816788925,0.0884234378513458,0.0151623789375794,10,0
22.6,0.100313378603557,0.0476925672271305,0.0526208113764266,10,0
22.8,0.196732071753644,0.0218175031517793,0.174914568601864,10,0
23,0.322459017757047,0.0134139490308986,0.309045068726149,10,0
23.2,0.401119033895543,0.012021305809743,0.389097728085801,10,0
23.4,0.45157881122006,0.0123147954494907,0.43926401577057,10,0
23.6,0.485341558109096,0.0127923474110061,0.47254921069809,10,0
23.8,0.508119631855249,0.0130252282633131,0.495094403591936,10,0
24,0.523499434217452,0.0130075007613638,0.510491933456088,10,0
24.2,0.533613619749128,0.0128230336719302,0.520790586077197,10,0
24.4,0.539726559916101,0.0125424092970206,0.52718415061908,10,0
24.6,0.542635749976226,0.0122087937222568,0.530426956253969,10,0
24.8,0.542894415090762,0.0118448915745246,0.531049523516237,10,0
25,0.540912458219724,0.0114612862064824,0.529451172013241,10,0
25.2,0.537000873782617,0.0110622972651027,0.525938576517514,10,0
25.4,0.531397905774906,0.0106495202553741,0.520748385519532,10,0
25.6,0.524289479562313,0.0102238568545536,0.514065622707759,10,0
25.8,0.515821939409858,0.00978671611621927,0.506035223293639,10,0
26,0.506113388872793,0.00934074790766839,0.496772640965125,10,0
26.2,0.495256979232402,0.00889032968139698,0.486366649551005,10,0
26.4,0.483325645281487,0.00844172741375682,0.47488391786773,10,0
26.6,0.470373758528267,0.00800305540330457,0.462370703124963,10,0
26.8,0.456436643111489,0.00758384307238435,0.448852800039104,10,0
27,0.441532955903039,0.00719467396314286,0.434338281939896,10,0
27.2,0.425662755676881,0.00684694954329003,0.418815806133591,10,0
27.4,0.408806799685548,0.00655354832074759,0.4022532513648,10,0
27.6,0.390922437225423,0.00633104826127528,0.384591388964148,10,0
27.8,0.371935520519825,0.00620498514936847,0.365730535370456,10,0
28,0.351726192109135,0.00622174662933428,0.345504445479801,10,0
28.2,0.330103736182886,0.00647731329931663,0.323626422883569,10,0
28.4,0.306762570162067,0.00719636948225866,0.299566200679808,10,0
28.6,0.281201008067107,0.00898568833553446,0.272215319731572,10,0
28.8,0.252556060462342,0.0137550997042409,0.238800960758101,10,0
29,0.219251049816116,0.0278693841201448,0.191381665695971,10,0
29.2,0.178644544389712,0.0644970456312952,0.114147498758416,10,0
29.4,0.130467440849983,0.0998713005174443,0.0305961403325389,10,0
29.6,0.0937230936241119,0.0728464241093535,0.0208766695147584,10,0
29.8,0.124616977257445,0.0354782627673507,0.0891387144900939,10,0
30,0.248827811860333,0.0170945754499104,0.231733236410423,10,0
30.2,0.357053285366393,0.0125025848060989,0.344550700560294,10,0
30.4,0.422734218979418,0.012046713032405,0.410687505947013,10,0
30.6,0.46601179211289,0.0125115917755522,0.453500200337338,10,0
30.8,0.495068845706751,0.0129138489372396,0.482154996769512,10,0
31,0.514713997690805,0.0130439222466474,0.501670075444158,10,0
31.2,0.52790615848877,0.0129533001961636,0.514952858292607,10,0
31.4,0.536388789439481,0.0127258241946152,0.523662965244866,10,0
31.6,0.541212528055526,0.0124214836705299,0.528791044384996,10,0
31.8,0.543063997706949,0.0120746422553947,0.530989355451555,10,0
32,0.542434404177826,0.0117025600214833,0.530731844156342,10,0
32.2,0.539692226668858,0.0113129064993666,0.528379320169491,10,0
32.4,0.535118316596724,0.0109086532520179,0.524209663344706,10,0
32.6,0.528928769044091,0.0104909537137755,0.518437815330316,10,0
32.8,0.521293373601521,0.0100607844643359,0.511232589137185,10,0
33,0.512346876587014,0.00961996114548915,0.502726915441524,10,0
33.2,0.50219695629768,0.00917172862296394,0.493025227674717,10,0
33.4,0.490929756703516,0.00872118596861232,0.482208570734904,10,0
33.6,0.478610004644575,0.00827530227004523,0.47033470237453,10,0
33.8,0.465285460509761,0.00784278737482282,0.457442673134938,10,0
34,0.450985016885196,0.00743360877316994,0.443551408112026,10,0
34.2,0.435720235291563,0.00705862950297543,0.428661605788588,10,0
34.4,0.419484456172242,0.00672967416479981,0.412754782007442,10,0
34.6,0.402250110352719,0.00646060770243562,0.395789502650283,10,0
34.8,0.383964014672447,0.00627048873703612,0.377693525935411,10,0
35,0.3645371240332,0.00619069042370488,0.358346433609495,10,0
35.2,0.343826781445604,0.00628122478545823,0.337545556660145,10,0
35.4,0.321605909491219,0.00667199377045125,0.314933915720768,10,0
35.6,0.297508157623699,0.00768283960938475,0.289825318014315,10,0
35.8,0.270923316882241,0.0102295731983821,0.260693743683859,10,0
36,0.240776859980418,0.0173247468533906,0.223452113127028,10,0
36.2,0.205094412049925,0.0383584129335006,0.166735999116424,10,0
36.4,0.16119800173289,0.0823645687805672,0.078833432952323,10,0
36.6,0.113243763293458,0.0960631913317652,0.0171805719616927,10,0
36.8,0.0933645558992031,0.0570933537644623,0.0362712021347408,10,0
37,0.164399735746378,0.0263101934381171,0.138089542308261,10,0
37.2,0.295752617271013,0.0144427630988655,0.281309854172147,10,0
37.4,0.385086060684218,0.0121081040537871,0.372977956630431,10,0
37.6,0.440968626887947,0.0121896630813101,0.428778963806637,10,0
37.8,0.478227316525511,0.012690735114513,0.465536581410998,10,0
38,0.503317805916008,0.0129936738390178,0.49032413207699,10,0
38.2,0.520284442762457,0.0130310923543101,0.507253350408147,10,0
38.4,0.531559497651494,0.0128804762123438,0.51867902143915,10,0
38.6,0.538576927528837,0.0126187969747344,0.525958130554103,10,0
38.8,0.542222669718265,0.0122956662273404,0.529927003490925,10,0
39,0.54309726498499,0.0119380245650079,0.531159240419982,10,0
39.2,0.541640564250132,0.0115588136590765,0.530081750591055,10,0
39.4,0.538185067361489,0.011163502428824,0.527021564932665,10,0
39.6,0.532985033981187,0.0107541268829552,0.522230907098231,10,0
39.8,0.526237643201894,0.0103316274242809,0.515906015777613,10,0
40,0.518097988002547,0.00989719850823133,0.508200789494316,10,0
40.2,0.508690797262255,0.00945313438458238,0.499237662877672,10,0
40.4,0.498114366701414,0.00900334109887955,0.489111025602535,10,0
40.6,0.486447271039201,0.00855362046225341,0.477893650576947,10,0
40.8,0.473747732689518,0.00811164014063497,0.465636092548883,10,0
41,0.460055960472795,0.00768661625608835,0.452369344216707,10,0
41.2,0.445394924334754,0.00728890660237001,0.438106017732384,10,0
41.4,0.42976916207368,0.00692966832813658,0.422839493745543,10,0
41.6,0.413164743983616,0.00662128086486515,0.40654346311875,10,0
41.8,0.395545372592735,0.0063790366050567,0.389166335987679,10,0
42,0.376845876209266,0.00622543250328975,0.370620443705976,10,0
42.2,0.356959838874931,0.00619982782944031,0.350760011045491,10,0
42.4,0.335717650515214,0.00638118743856642,0.329336463076647,10,0
42.6,0.312848467204766,0.00694847753841759,0.305899989666348,10,0
42.8,0.287911181432423,0.00836679712209874,0.279544384310325,10,0
43,0.260157730036169,0.0120474809560986,0.24811024908007,10,0
43.2,0.228239199022871,0.0227322974809833,0.205506901541888,10,0
43.4,0.189752441233687,0.0528007167954466,0.13695172443824,10,0
43.6,0.14288975968987,0.095985459352448,0.046904300337422,10,0
43.8,0.0994883520556822,0.0835332366053848,0.0159551154502975,10,0
44,0.106509915701223,0.0433001509016942,0.0632097647995289,10,0
20,0.431021786219296,0.00714306441787082,0.423878721801426,10,10
20.2,0.410131978925811,0.00203393364959923,0.408098045276212,10,10
20.4,0.392999879235308,0.00167376939299939,0.391326109842309,10,10
20.6,0.374903853476385,0.00164104366260602,0.373262809813779,10,10
20.8,0.355435658505626,0.00166682257744658,0.353768835928179,10,10
21,0.334409391294331,0.00176845266060766,0.332640938633723,10,10
21.2,0.311508642159221,0.00202033571252534,0.309488306446696,10,10
21.4,0.286115461675241,0.00262661471281457,0.283488846962426,10,10
21.6,0.256860969328249,0.00424961246761064,0.252611356860639,10,10
21.8,0.22005775746843,0.00933224547111521,0.210725511997315,10,10
22,0.164769084215559,0.0251357658330745,0.139633318382484,10,10
22.2,0.078177007367881,0.0415134070255869,0.0366636003422941,10,10
22.4,0.0402397414017251,0.0111026181776714,0.0291371232240537,10,10
22.6,0.164955575485396,0.00123141809048571,0.163724157394911,10,10
22.8,0.333177914299288,0.0015262224940961,0.331651691805191,10,10
23,0.424628128314187,0.00233491292118585,0.422293215393001,10,10
23.2,0.480649587695499,0.00297355031139633,0.477676037384103,10,10
23.4,0.518036483463555,0.00345292258084494,0.51458356088271,10,10
23.6,0.543731084220684,0.00373526224647179,0.539995821974212,10,10
23.8,0.561846444895995,0.00387553915662172,0.557970905739373,10,10
24,0.574874842276083,0.00392772580079204,0.570947116475291,10,10
24.2,0.584340738584267,0.00392615213474241,0.580414586449524,10,10
24.4,0.591181435958237,0.00389120294197119,0.587290233016266,10,10
24.6,0.59596512506999,0.0038347501387406,0.59213037493125,10,10
24.8,0.599022901943272,0.00376363919566864,0.595259262747604,10,10
25,0.600539782926131,0.00368179420996669,0.596857988716164,10,10
25.2,0.600626128481975,0.00359145894180525,0.59703466954017,10,10
25.4,0.599364284728649,0.00349392965363621,0.595870355075013,10,10
25.6,0.596839305785823,0.00338999820714477,0.593449307578678,10,10
25.8,0.593130321232133,0.00328024200023681,0.589850079231896,10,10
26,0.588324449901216,0.0031652467494007,0.585159203151815,10,10
26.2,0.582487193829039,0.00304574775309677,0.579441446075942,10,10
26.4,0.575689693593476,0.00292277096138895,0.572766922632087,10,10
26.6,0.567976070516982,0.00279766477811477,0.565178405738868,10,10
26.8,0.559396239176331,0.00267205122045865,0.556724187955873,10,10
27,0.549975353414991,0.00254777327604924,0.547427580138942,10,10
27.2,0.539743605304406,0.00242659810001061,0.537317007204395,10,10
27.4,0.528711983976132,0.00231019850722506,0.526401785468907,10,10
27.6,0.516895025111488,0.00219981413148956,0.514695210979999,10,10
27.8,0.504296658980775,0.00209640263218002,0.502200256348595,10,10
28,0.49092018988495,0.00200047726930998,0.48891971261564,10,10
28.2,0.476766601834138,0.0019124358538326,0.474854165980306,10,10
28.4,0.461830952679629,0.0018325923011602,0.459998360378469,10,10
28.6,0.446105666029557,0.00176159955049715,0.444344066479059,10,10
28.8,0.429572784267622,0.00170070740000096,0.427872076867621,10,10
29,0.412201384482005,0.00165235869502457,0.41054902578698,10,10
29.2,0.393938559434425,0.00162112543408162,0.392317434000343,10,10
29.4,0.374697295768095,0.00161555716809986,0.373081738599995,10,10
29.6,0.354336757572771,0.00165236358811862,0.352684393984652,10,10
29.8,0.332626856017383,0.00176686132513844,0.330859994692245,10,10
30,0.309177326937857,0.0020428874915689,0.307134439446289,10,10
30.2,0.283267119249669,0.00271248290116094,0.280554636348508,10,10
30.4,0.253334574093511,0.00454103931714606,0.248793534776365,10,10
30.6,0.215166466471991,0.0103617047677752,0.204804761704215,10,10
30.8,0.156554465880243,0.0278667270558853,0.128687738824358,10,10
31,0.0684364151503705,0.0399245860895963,0.0285118290607741,10,10
31.2,0.0454449102099295,0.00858014417348986,0.0368647660364397,10,10
31.4,0.18677349050687,0.00109643821590456,0.185677052290965,10,10
31.6,0.346576418734369,0.00162652088262157,0.344949897851747,10,10
31.8,0.432257903555615,0.00240944971094797,0.429848453844667,10,10
32,0.485683733449557,0.0030359046986774,0.48264782875088,10,10
32.2,0.521481454828202,0.00349324038937061,0.517988214438832,10,10
32.4,0.546158010721452,0.00375691935228205,0.54240109136917,10,10
32.6,0.563600761902081,0.00388532595487663,0.559715435947204,10,10
32.8,0.576167174156558,0.0039302835701083,0.57223689058645,10,10
33,0.58530102539889,0.00392427835608131,0.581376747042808,10,10
33.2,0.591889734873523,0.00388653806453023,0.588003196808993,10,10
33.4,0.596469661591393,0.00382824415004069,0.592641417441352,10,10
33.6,0.599351560174126,0.00375583820124463,0.595595721972881,10,10
33.8,0.600709018569015,0.00367301083208988,0.597036007736925,10,10
34,0.600646848527715,0.003581872442745,0.59706497608497,10,10
34.2,0.599246735708932,0.00348364573029563,0.595763089978636,10,10
34.4,0.5965928571994,0.00337908610280458,0.593213771096595,10,10
34.6,0.592764939572718,0.00326876115720769,0.58949617841551,10,10
34.8,0.587848488582467,0.00315326664915189,0.584695221933315,10,10
35,0.581908534298415,0.00303336041926235,0.578875173879153,10,10
35.2,0.575014593320425,0.00291010580545755,0.572104487514968,10,10
35.4,0.567209898783069,0.00278487851307778,0.564425020269991,10,10
35.6,0.558542994796025,0.0026593331755733,0.555883661620451,10,10
35.8,0.549038455555653,0.00253531355515382,0.546503142000499,10,10
36,0.538724893860031,0.0024145801405456,0.536310313719485,10,10
36.2,0.527613659652809,0.00229877223364777,0.525314887419161,10,10
36.4,0.515717383931213,0.00218908913808585,0.513528294793127,10,10
36.6,0.503041092633479,0.00208644773311961,0.50095464490036,10,10
36.8,0.489586503494565,0.00199132946121692,0.487595174033348,10,10
37,0.475355129147236,0.00190411806683626,0.473451011080399,10,10
37.2,0.460341327371446,0.00182514347130582,0.458516183900141,10,10
37.4,0.444536804516098,0.00175509578357899,0.442781708732519,10,10
37.6,0.427922667898927,0.00169531990664833,0.426227347992278,10,10
37.8,0.410466154648753,0.00164841028497328,0.40881774436378,10,10
38,0.392111731063494,0.00161922525999891,0.390492505803495,10,10
38.2,0.372768141201736,0.00161687084620742,0.371151270355529,10,10
38.4,0.352287723472966,0.00165924726549104,0.350628476207475,10,10
38.6,0.330428766186041,0.00178455424711358,0.328644211938927,10,10
38.8,0.306778899473256,0.00208469155249372,0.304694207920762,10,10
39,0.280567149122442,0.002818286264265,0.277748862858177,10,10
39.2,0.250090331313408,0.00485243818175635,0.245237893131651,10,10
39.4,0.210661324326045,0.0113960559914872,0.199265268334558,10,10
39.6,0.149000518231109,0.0303088741751163,0.118691644055992,10,10
39.8,0.0606822215557738,0.0377160172929066,0.0229662042628672,10,10
40,0.0518592830513511,0.00681531588339463,0.0450439671679565,10,10
40.2,0.205650906670807,0.00104257376441105,0.204608332906396,10,10
40.4,0.357303974435099,0.00171469995084632,0.355589274484253,10,10
40.6,0.438509716653672,0.00247517775234801,0.436034538901324,10,10
40.8,0.48981164780851,0.00308942462486904,0.486722223183641,10,10
41,0.524295050371688,0.00352667840638742,0.5207683719653,10,10
41.2,0.548127215090953,0.00377436976878596,0.544352845322167,10,10
41.4,0.565009949806993,0.00389271786082728,0.561117231946166,10,10
41.6,0.577189734436215,0.00393154842538869,0.573258186010827,10,10
