"knife_edge_size","fish_level","min_total","mean_total","mean_selected","mean_juvenile"
0.03,0,0.0933645558992031,0.391462907701003,0.0178395105795394,0.373623397121464
0.03,10,3.79875301718841e-12,2.17737512852163e-08,1.18274822697284e-09,2.05910030582434e-08
0.03,30,2.24190183967348e-157,1.64814533630538e-82,6.39706902741511e-85,1.64174826727797e-82
0.03,100,2.32606106062059e-319,4.43320572677945e-296,3.01230069337515e-304,4.43320569665644e-296
0.1,0,0.0933645558992031,0.391462907701003,0.0178395105795394,0.373623397121464
0.1,10,0.00154664964043503,0.00192150468790993,7.75125847580289e-05,0.0018439921031519
0.1,30,5.52156325547911e-125,5.41669422583856e-66,7.76134344436699e-69,5.40893288239419e-66
0.1,100,5.31728270023725e-319,7.90231411124656e-234,6.62901005100586e-243,7.90231410461755e-234
1,0,0.0933645558992031,0.391462907701003,0.0178395105795394,0.373623397121464
1,10,0.00969063506537662,0.0918068491326142,0.000931394197546405,0.0908754549350678
1,30,1.05396862647407e-45,1.01600144580834e-25,1.03924681988035e-28,1.01496219898846e-25
1,100,4.56246678453283e-201,5.60429992429573e-103,1.42864137711926e-110,5.6042997814316e-103
5,0,0.0933645558992031,0.391462907701003,0.0178395105795394,0.373623397121464
5,10,0.0162341929200172,0.381271480864916,0.000777953201113557,0.380493527663802
5,30,0.00464645445067161,0.083296010671914,0.00025046516252996,0.083045545509384
5,100,7.44489355308767e-16,3.51332731892231e-10,8.31557831634863e-14,3.51249576109067e-10
10,0,0.0933645558992031,0.391462907701003,0.0178395105795394,0.373623397121464
10,10,0.0518592830513511,0.489217970538916,0.0042103680752736,0.485007602463643
10,30,0.0382865689687199,0.378911464329707,0.00199364502151157,0.376917819308195
10,100,0.019721316464261,0.338926456471129,0.000646749214747134,0.338279707256382
