"t","selected_biomass","on_frac","schedule"
20.2,0.00447549785759329,NA,"Constant"
20.4,0.00371686919022394,NA,"Constant"
20.6,0.00350306998293534,NA,"Constant"
20.8,0.00348424538209771,NA,"Constant"
21,0.00362265254324875,NA,"Constant"
21.2,0.00401887946973299,NA,"Constant"
21.4,0.00498549794452025,NA,"Constant"
21.6,0.00750303034947876,NA,"Constant"
21.8,0.0150078781749211,NA,"Constant"
22,0.0374163609702836,NA,"Constant"
22.2,0.0697880616750662,NA,"Constant"
22.4,0.0452543516050698,NA,"Constant"
22.6,0.0135928147100359,NA,"Constant"
22.8,0.00525618345461351,NA,"Constant"
23,0.00536606374203658,NA,"Constant"
23.2,0.00629840160315298,NA,"Constant"
23.4,0.00713116724455298,NA,"Constant"
23.6,0.00771219234985057,NA,"Constant"
23.8,0.0080195754123247,NA,"Constant"
24,0.00813513684555195,NA,"Constant"
24.2,0.00813427542304647,NA,"Constant"
24.4,0.00806455366776156,NA,"Constant"
24.6,0.00795293942257176,NA,"Constant"
24.8,0.0078141916308756,NA,"Constant"
25,0.00765624448256444,NA,"Constant"
25.2,0.00748327541761473,NA,"Constant"
25.4,0.00729741321747851,NA,"Constant"
25.6,0.00709970924638709,NA,"Constant"
25.8,0.00689072410394433,NA,"Constant"
26,0.00667094320318072,NA,"Constant"
26.2,0.00644109643070627,NA,"Constant"
26.4,0.0062023978722829,NA,"Constant"
26.6,0.00595677443879437,NA,"Constant"
26.8,0.00570682788034585,NA,"Constant"
27,0.00545584817321432,NA,"Constant"
27.2,0.00520743379420526,NA,"Constant"
27.4,0.00496522093961861,NA,"Constant"
27.6,0.00473246781817729,NA,"Constant"
27.8,0.00451177811193257,NA,"Constant"
28,0.00430503508011861,NA,"Constant"
28.2,0.0041134496805516,NA,"Constant"
28.4,0.00393788033747098,NA,"Constant"
28.6,0.00377927242599177,NA,"Constant"
28.8,0.00363922108016576,NA,"Constant"
29,0.00352087251912025,NA,"Constant"
29.2,0.00343015138317485,NA,"Constant"
29.4,0.00337813982851226,NA,"Constant"
29.6,0.00338586604685917,NA,"Constant"
29.8,0.00349540173802112,NA,"Constant"
30,0.00379892214167437,NA,"Constant"
30.2,0.00452612143305348,NA,"Constant"
30.4,0.0063495340387473,NA,"Constant"
30.6,0.0115630207388827,NA,"Constant"
30.8,0.0277466114367811,NA,"Constant"
31,0.0621942190755476,NA,"Constant"
31.2,0.0591070241556285,NA,"Constant"
31.4,0.0205931188940462,NA,"Constant"
31.6,0.00631437677197471,NA,"Constant"
31.8,0.00508988386778361,NA,"Constant"
32,0.00599825696567213,NA,"Constant"
32.2,0.00688163191593841,NA,"Constant"
32.4,0.00755729457776672,NA,"Constant"
32.6,0.00794666971180846,NA,"Constant"
32.8,0.00811511701344576,NA,"Constant"
33,0.00814569417722035,NA,"Constant"
33.2,0.00809468601883649,NA,"Constant"
33.4,0.00799471312819615,NA,"Constant"
33.6,0.00786376835505505,NA,"Constant"
33.8,0.0077115758423206,NA,"Constant"
34,0.00754329526726252,NA,"Constant"
34.2,0.00736158687882443,NA,"Constant"
34.4,0.00716777342512932,NA,"Constant"
34.6,0.00696252297226671,NA,"Constant"
34.8,0.00674630262560918,NA,"Constant"
35,0.00651973263851937,NA,"Constant"
35.2,0.00628383641430844,NA,"Constant"
35.4,0.00604029469565719,NA,"Constant"
35.6,0.00579149283195414,NA,"Constant"
35.8,0.00554049887487757,NA,"Constant"
36,0.00529087272423572,NA,"Constant"
36.2,0.00504623900137797,NA,"Constant"
36.4,0.00481006355160657,NA,"Constant"
36.6,0.00458513129610909,NA,"Constant"
36.8,0.00437361385974595,NA,"Constant"
37,0.00417686381675341,NA,"Constant"
37.2,0.00399585905278608,NA,"Constant"
37.4,0.00383140808141446,NA,"Constant"
37.6,0.00368482733874103,NA,"Constant"
37.8,0.00355860749613929,NA,"Constant"
38,0.00345751706090319,NA,"Constant"
38.2,0.00339050727494942,NA,"Constant"
38.4,0.00337437677373599,NA,"Constant"
38.6,0.00344199122786617,NA,"Constant"
38.8,0.00366284442312913,NA,"Constant"
39,0.00420189575179129,NA,"Constant"
39.2,0.00551493974499521,NA,"Constant"
39.4,0.00908750776648552,NA,"Constant"
39.6,0.0201085523087842,NA,"Constant"
39.8,0.0496274311756396,NA,"Constant"
40,0.0692397674432919,NA,"Constant"
40.2,0.0314736698968965,NA,"Constant"
40.4,0.00893136000615154,NA,"Constant"
40.6,0.00495906626551214,NA,"Constant"
40.8,0.00567375267339038,NA,"Constant"
41,0.00659193608279618,NA,"Constant"
41.2,0.00735739280344284,NA,"Constant"
41.4,0.00784225142745089,NA,"Constant"
41.6,0.00807642962432107,NA,"Constant"
41.8,0.00814663658144365,NA,"Constant"
42,0.00811903041172527,NA,"Constant"
42.2,0.00803330265292905,NA,"Constant"
42.4,0.00791159984987925,NA,"Constant"
42.6,0.00776596181047315,NA,"Constant"
42.8,0.00760282200734564,NA,"Constant"
43,0.00742553548056788,NA,"Constant"
43.2,0.00723579032853976,NA,"Constant"
43.4,0.00703442117181706,NA,"Constant"
43.6,0.0068219201132029,NA,"Constant"
43.8,0.00659882139504823,NA,"Constant"
44,0.0063659835991355,NA,"Constant"
20.2,0.00656904292687861,0.0698272088397603,"Threshold (peaks)"
20.4,0.00624196937168257,0.0588942565029448,"Threshold (peaks)"
20.6,0.00605981645079557,0.0535221711371028,"Threshold (peaks)"
20.8,0.00601125048686331,0.0521698324597775,"Threshold (peaks)"
21,0.00614741687499693,0.05604541986174,"Threshold (peaks)"
21.2,0.00660755506681398,0.071231747744936,"Threshold (peaks)"
21.4,0.00773008469459246,0.125273891790847,"Threshold (peaks)"
21.6,0.0102936235056443,0.373507277933049,"Threshold (peaks)"
21.8,0.0162287166539369,0.941846269506742,"Threshold (peaks)"
22,0.0364826426401649,0.999999211313567,"Threshold (peaks)"
22.2,0.0692815102439862,0.999999999999991,"Threshold (peaks)"
22.4,0.0465278214162675,0.999999997050022,"Threshold (peaks)"
22.6,0.0143400917202975,0.849926850044823,"Threshold (peaks)"
22.8,0.00746389228763324,0.109925450136483,"Threshold (peaks)"
23,0.00787438524198044,0.134338916075407,"Threshold (peaks)"
23.2,0.00903402242820679,0.228293749971894,"Threshold (peaks)"
23.4,0.00989655570638841,0.323418483779936,"Threshold (peaks)"
23.6,0.0103669309405326,0.383098900341858,"Threshold (peaks)"
23.8,0.0105656392331299,0.409540455935277,"Threshold (peaks)"
24,0.0106207858840755,0.416979585263825,"Threshold (peaks)"
24.2,0.0106001190206408,0.414187059682271,"Threshold (peaks)"
24.4,0.0105356969466255,0.405518372045103,"Threshold (peaks)"
24.6,0.0104434383865631,0.393207099996883,"Threshold (peaks)"
24.8,0.0103315882741954,0.378462746279999,"Threshold (peaks)"
25,0.0102043542613911,0.361960743540164,"Threshold (peaks)"
25.2,0.0100636732371398,0.344087581044088,"Threshold (peaks)"
25.4,0.00991016268064036,0.325077186513564,"Threshold (peaks)"
25.6,0.00974367664790432,0.305093474187818,"Threshold (peaks)"
25.8,0.00956367553416443,0.284285643320406,"Threshold (peaks)"
26,0.00936950631080502,0.262827024998258,"Threshold (peaks)"
26.2,0.00916066381859521,0.240943334112398,"Threshold (peaks)"
26.4,0.00893706872302482,0.218930402085994,"Threshold (peaks)"
26.6,0.00869925908206387,0.197148221105252,"Threshold (peaks)"
26.8,0.0084486771915959,0.176009079035375,"Threshold (peaks)"
27,0.00818762128082608,0.155925722040763,"Threshold (peaks)"
27.2,0.00791935511039803,0.137275098511704,"Threshold (peaks)"
27.4,0.00764773831889062,0.120339276797574,"Threshold (peaks)"
27.6,0.00737708754363797,0.105288597280882,"Threshold (peaks)"
27.8,0.00711170633454073,0.092168593255337,"Threshold (peaks)"
28,0.0068558112882471,0.0809279811433814,"Threshold (peaks)"
28.2,0.00661337637593768,0.0714463073268687,"Threshold (peaks)"
28.4,0.00638856375937287,0.0635805995029294,"Threshold (peaks)"
28.6,0.00618626288724306,0.0571998051699902,"Threshold (peaks)"
28.8,0.00601338914457125,0.0522286986389935,"Threshold (peaks)"
29,0.00588092042574922,0.0486986657065281,"Threshold (peaks)"
29.2,0.00580773738020121,0.0468467453042331,"Threshold (peaks)"
29.4,0.00582844009852922,0.0473637334081762,"Threshold (peaks)"
29.6,0.00601101992630758,0.0521634900658957,"Threshold (peaks)"
29.8,0.00650132927158737,0.0674196568684565,"Threshold (peaks)"
30,0.00764193747009383,0.119998064131602,"Threshold (peaks)"
30.2,0.0102193907086429,0.363894922005,"Threshold (peaks)"
30.4,0.016137572232393,0.939005887757178,"Threshold (peaks)"
30.6,0.0362827297990742,0.999999118531756,"Threshold (peaks)"
30.8,0.0692227123439964,0.99999999999999,"Threshold (peaks)"
31,0.0467689945596379,0.999999997420431,"Threshold (peaks)"
31.2,0.0144249394982676,0.855848922894644,"Threshold (peaks)"
31.4,0.00745966011739313,0.10969528897074,"Threshold (peaks)"
31.6,0.00785790529081256,0.133276261216856,"Threshold (peaks)"
31.8,0.00902308986825089,0.227223974514194,"Threshold (peaks)"
32,0.00989112482966255,0.322757689749992,"Threshold (peaks)"
32.2,0.0103651059676201,0.382858975913571,"Threshold (peaks)"
32.4,0.0105656953190855,0.409548001391146,"Threshold (peaks)"
32.6,0.010621832841985,0.417121194618576,"Threshold (peaks)"
32.8,0.0106017541532564,0.414407801960077,"Threshold (peaks)"
33,0.0105377292778618,0.405790976527596,"Threshold (peaks)"
33.2,0.0104457730988121,0.393517054939676,"Threshold (peaks)"
33.4,0.0103341796766735,0.378801937324394,"Threshold (peaks)"
33.6,0.010207184131991,0.362324418107254,"Threshold (peaks)"
33.8,0.0100667396288538,0.344472705489801,"Threshold (peaks)"
34,0.00991347363493484,0.325481461432262,"Threshold (peaks)"
34.2,0.00974724605108441,0.305514652572543,"Threshold (peaks)"
