"t","total","selected","juvenile","fish_level"
0,0.0123393149976886,0.00509146475862765,0.0072478502390609,0
1,0.065266774236009,0.00237076876721817,0.0628960054687909,0
2,0.0439402658805124,0.000305832769301429,0.0436344331112109,0
3,0.0329561009213695,4.9945610025085e-05,0.0329061553113444,0
4,0.0256246023923193,1.10444761314285e-05,0.0256135579161879,0
5,0.0202266724094332,3.03533075077127e-06,0.0202236370786825,0
6,0.016098038404821,9.76762649358749e-07,0.0160970616421716,0
7,0.0128814987292268,3.56073022214204e-07,0.0128811426562046,0
8,0.0103486326478962,1.43583828820747e-07,0.0103484890640674,0
9,0.00833997994341448,6.27286301461883e-08,0.00833991721478433,0
10,6.73885572245956e-10,2.92086993366683e-15,6.73882651376022e-10,0
10.2,6.45941475602208e-10,2.49920246187438e-15,6.45938976399746e-10,0
10.4,6.19211453323727e-10,2.14845550322468e-15,6.19209304868224e-10,0
10.6,5.93639244101586e-10,1.8549836893926e-15,5.93637389117897e-10,0
10.8,5.69171464281382e-10,1.60796552097418e-15,5.69169856315861e-10,0
11,5.45757437252984e-10,1.39871952234884e-15,5.45756038533462e-10,0
11.2,5.23349033749773e-10,1.22032023816394e-15,5.23347813429534e-10,0
11.4,5.01900523413289e-10,1.06730729877976e-15,5.0189945610599e-10,0
11.6,4.81368437120563e-10,9.35401610335347e-16,4.81367501718952e-10,0
11.8,4.61711439194675e-10,8.21234947745477e-16,4.61710617959728e-10,0
12,4.42890208574016e-10,7.22119573995374e-16,4.42889486454442e-10,0
12.2,4.24867328090082e-10,6.35871016377807e-16,4.24866692219066e-10,0
12.4,4.07607181105493e-10,5.60681192911389e-16,4.076066204243e-10,0
12.6,3.91075854861009e-10,4.950310256649e-16,3.91075359829983e-10,0
12.8,3.75241049963727e-10,4.37630560134816e-16,3.75240612333167e-10,0
13,3.6007199551756e-10,3.8737688377078e-16,3.60071608140676e-10,0
13.2,3.45539369453796e-10,3.43323161398226e-16,3.45539026130634e-10,0
13.4,3.31615223666516e-10,3.04654643534187e-16,3.31614919011872e-10,0
13.6,3.18272913597201e-10,2.7066924647085e-16,3.18272642927955e-10,0
13.8,3.05487031946799e-10,2.40761358041154e-16,3.05486791185441e-10,0
14,2.93233346222994e-10,2.14408105455135e-16,2.93233131814889e-10,0
14.2,2.8148873985639e-10,1.91157621630943e-16,2.81488548698768e-10,0
14.4,2.70231156642352e-10,1.70618994660085e-16,2.70230986023358e-10,0
14.6,2.59439548285765e-10,1.52453658941472e-16,2.59439395832106e-10,0
14.8,2.49093824844401e-10,1.36368027179101e-16,2.49093688476374e-10,0
15,2.391748078831e-10,1.22107189462031e-16,2.3917468577591e-10,0
15.2,2.29664186165859e-10,1.09449527323173e-16,2.29664076716331e-10,0
15.4,2.20544473726364e-10,9.82021099647914e-17,2.20544375524254e-10,0
15.6,2.11798970169644e-10,8.81967575013031e-17,2.11798881972887e-10,0
15.8,2.03411723068546e-10,7.92866721293289e-17,2.03411643781874e-10,0
16,1.95367492328727e-10,7.13435524858827e-17,1.95367420985174e-10,0
16.2,1.87651716404967e-10,6.42551190592005e-17,1.87651652149848e-10,0
16.4,1.80250480259888e-10,5.79229894297494e-17,1.80250422336898e-10,0
16.6,1.73150484963766e-10,5.22608514692688e-17,1.73150432702915e-10,0
16.8,1.66339018841041e-10,4.71928905787843e-17,1.6633897164815e-10,0
17,1.59803930075498e-10,4.26524337792364e-17,1.59803887423064e-10,0
17.2,1.53533600691944e-10,3.85807791519925e-17,1.53533562111164e-10,0
17.4,1.47516921837555e-10,3.4926183917809e-17,1.47516886911371e-10,0
17.6,1.41743270291047e-10,3.16429884801847e-17,1.41743238648059e-10,0
17.8,1.36202486132382e-10,2.86908571620222e-17,1.36202457441524e-10,0
18,1.30884851509927e-10,2.60341192348176e-17,1.30884825475808e-10,0
18.2,1.25781070445945e-10,2.36411962630645e-17,1.25781046804749e-10,0
18.4,1.20882249624849e-10,2.14841038351935e-17,1.20882228140745e-10,0
18.6,1.16179880112076e-10,1.95380174864238e-17,1.16179860574059e-10,0
18.8,1.11665819954512e-10,1.77808940887017e-17,1.11665802173618e-10,0
19,1.07332277616343e-10,1.61931412304715e-17,1.07332261423202e-10,0
19.2,1.03171796206881e-10,1.47573281694602e-17,1.03171781449553e-10,0
19.4,9.9177238459449e-11,1.34579328443196e-17,9.91772250015161e-11,0
19.6,9.53417724227596e-11,1.22811202003936e-17,9.53417601416394e-11,0
19.8,9.16588578284207e-11,1.12145477416578e-17,9.16588466138729e-11,0
20,8.81222331002436e-11,1.02471947822574e-17,8.81222228530489e-11,0
20.2,8.47259029729636e-11,9.36921235156207e-18,8.47258936037513e-11,0
20.4,8.14641266897703e-11,8.57179111845367e-18,8.14641181179792e-11,0
20.6,7.83314067497385e-11,7.84704505394966e-18,7.83313989026934e-11,0
20.8,7.53224781778227e-11,7.18790885491239e-18,7.53224709899138e-11,0
21,7.24322982915674e-11,6.58804741283023e-18,7.243229170352e-11,0
21.2,6.96560369400739e-11,6.04177583668207e-18,6.96560308982981e-11,0
21.4,6.69890671920746e-11,5.54398873296594e-18,6.69890616480859e-11,0
21.6,6.44269564511948e-11,5.09009761354245e-18,6.44269513610972e-11,0
21.8,6.196545797764e-11,4.67597544680151e-18,6.19654533016645e-11,0
22,5.96005027966357e-11,4.29790749302953e-18,5.96004984987282e-11,0
22.2,5.73281919749740e-11,3.95254767347689e-18,5.73281880224264e-11,0
22.4,5.51447892479853e-11,3.63687981684404e-18,5.51447856111055e-11,0
22.6,5.30467139801689e-11,3.34818320871759e-18,5.30467106319857e-11,0
22.8,5.10305344435737e-11,3.08400194060494e-18,5.10305313595717e-11,0
23,4.90929613988319e-11,2.84211761710009e-18,4.90929585567143e-11,0
23.2,4.72308419645165e-11,2.62052503361969e-18,4.72308393439914e-11,0
23.4,4.54411537612144e-11,2.41741048415197e-18,4.54411513438039e-11,0
23.6,4.37209993173951e-11,2.23113239948822e-18,4.37209970862627e-11,0
23.8,4.20676007247955e-11,2.06020405225066e-18,4.20675986645914e-11,0
24,4.04782945316593e-11,1.90327809637836e-18,4.04782926283812e-11,0
24.2,3.89505268627431e-11,1.75913273617314e-18,3.89505251036103e-11,0
24.4,3.74818487555505e-11,1.62665934405051e-18,3.74818471288911e-11,0
24.6,3.60699117027742e-11,1.50485136722644e-18,3.60699101979229e-11,0
24.8,3.47124633914167e-11,1.39279438207945e-18,3.47124619986223e-11,0
25,3.34073436295235e-11,1.2896571711889e-18,3.34073423398663e-11,0
25.2,3.21524804519064e-11,1.19468371234976e-18,3.21524792572227e-11,0
25.4,3.09458863966496e-11,1.10718598144902e-18,3.09458852894637e-11,0
25.6,2.97856549445881e-11,1.0265374821746e-18,2.97856539180506e-11,0
25.8,2.86699571143241e-11,9.52167425300509e-19,2.86699561621566e-11,0
26,2.75970382057026e-11,8.83555488915082e-19,2.75970373221471e-11,0
