"t","selected_biomass","on_frac","schedule"
20.2,0.032051521734854,NA,"Constant"
20.4,0.00932443500420954,NA,"Constant"
20.6,0.00740918084969623,NA,"Constant"
20.8,0.00737333815693578,NA,"Constant"
21,0.00741778895355139,NA,"Constant"
21.2,0.00745400345787249,NA,"Constant"
21.4,0.00749823228431517,NA,"Constant"
21.6,0.0075637745611696,NA,"Constant"
21.8,0.00766042556350755,NA,"Constant"
22,0.00779518429282539,NA,"Constant"
22.2,0.00797336938422456,NA,"Constant"
22.4,0.00820174219362237,NA,"Constant"
22.6,0.00849129244818198,NA,"Constant"
22.8,0.00885615743290087,NA,"Constant"
23,0.00931125215097686,NA,"Constant"
23.2,0.00987884743373671,NA,"Constant"
23.4,0.0106013228824434,NA,"Constant"
23.6,0.0115375891245105,NA,"Constant"
23.8,0.0127529932350802,NA,"Constant"
24,0.0143506757419719,NA,"Constant"
24.2,0.0165249000713556,NA,"Constant"
24.4,0.019574361493106,NA,"Constant"
24.6,0.0239282335496036,NA,"Constant"
24.8,0.0303746562432268,NA,"Constant"
25,0.0405842171671342,NA,"Constant"
25.2,0.0577947391012775,NA,"Constant"
25.4,0.0812503069213828,NA,"Constant"
25.6,0.053700794026118,NA,"Constant"
25.8,0.017031227466356,NA,"Constant"
26,0.0132095951589662,NA,"Constant"
26.2,0.012761938715608,NA,"Constant"
26.4,0.0126913459336941,NA,"Constant"
26.6,0.013039556418968,NA,"Constant"
26.8,0.0133331669800935,NA,"Constant"
27,0.0134958526441764,NA,"Constant"
27.2,0.0135618687339334,NA,"Constant"
27.4,0.0135665320204164,NA,"Constant"
27.6,0.0135325577174941,NA,"Constant"
27.8,0.0134737330906802,NA,"Constant"
28,0.0133985246084003,NA,"Constant"
28.2,0.0133121962047884,NA,"Constant"
28.4,0.0132180301022836,NA,"Constant"
28.6,0.0131180276892009,NA,"Constant"
28.8,0.013013274204053,NA,"Constant"
29,0.0129043082161272,NA,"Constant"
29.2,0.0127910990162306,NA,"Constant"
29.4,0.0126733564840414,NA,"Constant"
29.6,0.0125504811168504,NA,"Constant"
29.8,0.0124215972687598,NA,"Constant"
30,0.01228585805828,NA,"Constant"
30.2,0.0121421864508736,NA,"Constant"
30.4,0.011989637020927,NA,"Constant"
30.6,0.011827525528173,NA,"Constant"
30.8,0.0116552648004902,NA,"Constant"
31,0.0114729013815362,NA,"Constant"
31.2,0.0112810255875494,NA,"Constant"
31.4,0.011080651118882,NA,"Constant"
31.6,0.0108736192447198,NA,"Constant"
31.8,0.0106621823695662,NA,"Constant"
32,0.0104487378698424,NA,"Constant"
32.2,0.0102360177276431,NA,"Constant"
32.4,0.0100264945266505,NA,"Constant"
32.6,0.00982212925614359,NA,"Constant"
32.8,0.0096246754523021,NA,"Constant"
33,0.00943525367572744,NA,"Constant"
33.2,0.00925428283911311,NA,"Constant"
33.4,0.00908204347977667,NA,"Constant"
33.6,0.00891843323453795,NA,"Constant"
33.8,0.00876287950749173,NA,"Constant"
34,0.00861498985920568,NA,"Constant"
34.2,0.00847437294000858,NA,"Constant"
34.4,0.0083403301110189,NA,"Constant"
34.6,0.00821246383942604,NA,"Constant"
34.8,0.00809061929616006,NA,"Constant"
35,0.00797434513619416,NA,"Constant"
35.2,0.0078633889507596,NA,"Constant"
35.4,0.00775788215108929,NA,"Constant"
35.6,0.00765767135660494,NA,"Constant"
35.8,0.00756259309829908,NA,"Constant"
36,0.00747294944746541,NA,"Constant"
36.2,0.00738887937349027,NA,"Constant"
36.4,0.00731029444714368,NA,"Constant"
36.6,0.00723755665490673,NA,"Constant"
36.8,0.00717110647535815,NA,"Constant"
37,0.00711102868527266,NA,"Constant"
37.2,0.0070576976722891,NA,"Constant"
37.4,0.00701185494842943,NA,"Constant"
37.6,0.00697396056648648,NA,"Constant"
37.8,0.00694447338814548,NA,"Constant"
38,0.00692441679724734,NA,"Constant"
38.2,0.00691491169445204,NA,"Constant"
38.4,0.00691679344493229,NA,"Constant"
38.6,0.00693139553358922,NA,"Constant"
38.8,0.00696087251995606,NA,"Constant"
39,0.00700712336815216,NA,"Constant"
39.2,0.00707207760114807,NA,"Constant"
39.4,0.00715948097066812,NA,"Constant"
39.6,0.0072737353942673,NA,"Constant"
39.8,0.00741846497555971,NA,"Constant"
40,0.00760014993744583,NA,"Constant"
40.2,0.0078287895745648,NA,"Constant"
40.4,0.00811321461701663,NA,"Constant"
40.6,0.00846584141300602,NA,"Constant"
40.8,0.00890969457773233,NA,"Constant"
41,0.0094700752742725,NA,"Constant"
41.2,0.0101766518770763,NA,"Constant"
41.4,0.0110864979509178,NA,"Constant"
41.6,0.0122812305820347,NA,"Constant"
41.8,0.0138581105570425,NA,"Constant"
42,0.0159850951611906,NA,"Constant"
42.2,0.0189686410269769,NA,"Constant"
42.4,0.0232725530970933,NA,"Constant"
42.6,0.0296752345499352,NA,"Constant"
