"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","model"
1,0.684277838760182,0.558208389349387,0.0487716217832061,0.635506216976976,0.080902051350241,0.296691941722177,"theta=0.3, interaction_resource=1.3"
3,0.554714359942118,0.393997087305348,0.0229861691611758,0.531728190780943,0.147711470719926,0.528957593528862,"theta=0.3, interaction_resource=1.3"
5,0.499213351739402,0.336417142309925,0.0138746832779714,0.485338668461431,0.16708195052528,0.621463699295664,"theta=0.3, interaction_resource=1.3"
7,0.477300387605871,0.300405396157182,0.00933268362402796,0.467967703981843,0.1737898256408,0.692042750597568,"theta=0.3, interaction_resource=1.3"
9,0.466485237721418,0.27438687012701,0.00681586723934274,0.459669370482075,0.177699218465028,0.751664483319891,"theta=0.3, interaction_resource=1.3"
20,0.447191610082275,0.208473561110357,0.0022634446730505,0.444928165409224,0.186681098126365,0.937605948276984,"theta=0.3, interaction_resource=1.3"
30,0.440738081650055,0.190313883285786,0.00120551011299233,0.439532571537063,0.189380966361625,0.996970046628905,"theta=0.3, interaction_resource=1.3"
50,0.433882889656453,0.16691030768976,0.000511705583773768,0.433371184072679,0.191298737286492,1.08484764120146,"theta=0.3, interaction_resource=1.3"
75,0.429520690838252,0.164572438901431,0.000248985682863285,0.429271705155388,0.192250610547363,1.09116504528428,"theta=0.3, interaction_resource=1.3"
100,0.427035193156843,0.153366790812383,0.000147292994769207,0.426887900162074,0.192722587626366,1.13804499411857,"theta=0.3, interaction_resource=1.3"
