"knife_edge_size","fish_level","min_total","mean_total","mean_selected","mean_juvenile"
10,0,0.79474768107918,0.825285637868144,0.623804835284594,0.201480802583551
10,5,0.440973312563874,0.536922341812873,0.0255722986293889,0.511350043183484
10,10,0.425924331474211,0.520432042362851,0.0126657304490531,0.507766311913798
10,20,0.399456388262755,0.510276424478654,0.00632998333458262,0.503946441144071
10,30,0.389338924006088,0.506066736127502,0.00422717562856931,0.501839560498933
10,50,0.379302267997664,0.502239822557464,0.00254168514298227,0.499698137414482
10,75,0.374338270494084,0.500143428740443,0.00169673393801859,0.498446694802425
10,100,0.371592780860115,0.499044273915314,0.00127350915838968,0.497770764756924
9,0,0.79474768107918,0.825285637868144,0.623804835284594,0.201480802583551
9,5,0.347789187281036,0.535053983943119,0.0114544588617635,0.523599525081356
9,10,0.272099989920547,0.518555474699708,0.0045512730043493,0.514004201695358
9,20,0.218632489684708,0.503739058242911,0.00163434036941421,0.502104717873497
9,30,0.198827955885865,0.495429327242821,0.000845192773574469,0.494584134469246
9,50,0.173913936677139,0.485881876508684,0.000346708925873191,0.485535167582811
9,75,0.171613576354175,0.479443695116489,0.000164747242001017,0.479278947874488
9,100,0.162176701791169,0.475549922270795,9.6107942993807e-05,0.475453814327801
5,0,0.79474768107918,0.825285637868144,0.623804835284594,0.201480802583551
5,5,0.451070389158673,0.648589794126991,0.00288649902564832,0.645703295101343
5,10,0.0621423847470884,0.557743961185802,0.000990429213339934,0.556753531972462
5,20,0.0105317536629432,0.413486992453379,0.000217830079543759,0.413269162373835
5,30,0.00906925285542073,0.244816491451245,0.000141358412583609,0.244675133038661
5,50,0.0297200151173607,0.0859421596781062,0.000138552795462957,0.0858036068826432
5,75,0.0356313524317011,0.0356516432874819,4.57033890795333e-05,0.0356059398984024
5,100,0.000243740667925753,0.000602433450415666,4.79005214462293e-07,0.000601954445201204
