"t","fish_level","selected","total"
20.2,0,0.00977583398912717,0.298241176101767
20.4,0,0.0135955532246148,0.280039220625088
20.6,0,0.0210328300984524,0.263009407360173
20.8,0,0.0336392991115882,0.249535309140157
21,0,0.0481418544661556,0.244705231158271
21.2,0,0.0546773368394527,0.256003949620801
21.4,0,0.0495522534035924,0.286387505024813
21.6,0,0.0392803987954181,0.326959130637389
21.8,0,0.0298490423598854,0.365941526380249
22,0,0.0230831064158756,0.398552389556379
22.2,0,0.0186346323414612,0.424314934527141
22.4,0,0.0157546258926157,0.443791696170838
22.6,0,0.0138519731788546,0.457719580463123
22.8,0,0.0125420074631417,0.466822379889181
23,0,0.0115900533954907,0.471762481892896
23.2,0,0.0108560630830906,0.473129634527955
23.4,0,0.0102567799196941,0.471440960231155
23.6,0,0.00974260054121809,0.46714571641492
23.8,0,0.00928413994265464,0.460632301862928
24,0,0.00886470317205881,0.452235648198529
24.2,0,0.00847625657246855,0.442243761153901
24.4,0,0.00811749094285821,0.430902819347443
24.6,0,0.00779322470369377,0.418421007834906
24.8,0,0.00751481563274987,0.404971356475285
25,0,0.00730170272355578,0.3906947850577
25.2,0,0.00718475298943844,0.375704126999507
25.4,0,0.00721325016165125,0.360091129778352
25.6,0,0.00746968540074048,0.343938757574408
25.8,0,0.0081015469985108,0.327343710394204
26,0,0.00938919423430867,0.310459621740495
26.2,0,0.0118796624206043,0.293585000538704
26.4,0,0.0165716075861997,0.277352057087929
26.6,0,0.0247789986675034,0.26313254253496
26.8,0,0.0364122524167342,0.253779141738474
27,0,0.0468129432226758,0.254221076354901
27.2,0,0.049354898592747,0.269546213233939
27.4,0,0.0438407182483049,0.299050169186352
27.6,0,0.0353006921042796,0.334421780552056
27.8,0,0.0276139681389658,0.367613635622239
28,0,0.0219428892696187,0.395370105415092
28.2,0,0.0180549221208984,0.417182352358513
28.4,0,0.0154287327779306,0.433397625262643
28.6,0,0.0136269653683578,0.444580110889536
28.8,0,0.0123478410331553,0.451326090420808
29,0,0.0113974694733204,0.454205619112239
29.2,0,0.0106551271295952,0.453742008332868
29.4,0,0.0100468692642109,0.450405411578659
29.6,0,0.00952815427025976,0.444613071042027
29.8,0,0.00907322968285651,0.436732558592562
30,0,0.00866907390638484,0.427085798719241
