"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","theta","interaction_resource","total_unfished_ref","fraction_of_unfished"
1,0.269614854097013,0.0112465307775064,0.00765045509600828,0.261964399001005,0.0766564332870974,1.92672353665557,3,1,0.3,0.314405388129312,0.857538910834832
5,0.0165378818193674,0.0024630814912929,0.000243209412366647,0.0162946724070007,0.0242745052307568,1.77834626944642,3,1,0.3,0.314405388129312,0.0526005038201365
9,0.000639483495839703,0.00014417252634195,2.24200373744336e-06,0.000637241492102259,0.00135398738251989,1.67763311517134,3,1,0.3,0.314405388129312,0.0020339457273445
20,7.11369235211153e-07,8.10862093298238e-10,1.3871631616827e-10,7.11230518894984e-07,3.16654136017239e-06,1.99960527447101,3,1,0.3,0.314405388129312,2.26258601814601e-06
50,1.82691725490733e-09,6.66498941937178e-16,4.01349465112242e-16,1.82691685355787e-09,1.29472837098302e-08,1.9999999273476,3,1,0.3,0.314405388129312,5.81070593534466e-09
70,7.24030829781819e-10,6.63456110340129e-17,6.20284127804179e-18,7.24030823578977e-10,5.3465785219778e-09,1.99999998234826,3,1,0.3,0.314405388129312,2.30285757534165e-09
85,5.2726558374561e-10,3.01757923980067e-17,6.22286496098793e-19,5.27265583123323e-10,3.94452205931648e-09,1.99999998908704,3,1,0.3,0.314405388129312,1.67702464287524e-09
100,4.34500207600238e-10,1.87022838889164e-17,9.30802385349484e-20,4.34500207507157e-10,3.27540362341581e-09,1.99999999184059,3,1,0.3,0.314405388129312,1.38197443175348e-09
1,0.28154177190537,0.0116462072465745,0.00953768410905927,0.272004087796311,0.0439523197917774,1.92950295181471,5,1,0.3,0.314405388129312,0.895473749926875
5,0.060482882034316,0.00379453727825164,0.00159765738995206,0.0588852246443639,0.064880573144751,1.90935340800141,5,1,0.3,0.314405388129312,0.192372282148803
9,0.0128916915801522,0.00220616994093982,0.000121383103960526,0.0127703084761916,0.0171300304881068,1.73204515433025,5,1,0.3,0.314405388129312,0.0410034053705528
20,0.000447423200550599,9.51755264210023e-05,4.81794827466733e-07,0.000446941405723132,0.000891746724632793,1.77716591451927,5,1,0.3,0.314405388129312,0.00142307739448339
50,1.29433393211923e-05,2.05955127790054e-07,3.09569941352557e-10,1.2943029751251e-05,4.108337625262e-05,1.99283117403462,5,1,0.3,0.314405388129312,4.11676765408003e-05
70,6.8123936796896e-06,5.53615790304314e-08,2.65773293458574e-11,6.81236710236026e-06,2.35421346271468e-05,1.99677869023987,5,1,0.3,0.314405388129312,2.16675474940898e-05
85,5.29406057538804e-06,3.27370383600191e-08,6.74361002634932e-12,5.29405383177801e-06,1.89042948144319e-05,1.99766154413524,5,1,0.3,0.314405388129312,1.68383264895277e-05
100,4.49559769976564e-06,2.32321999209647e-08,2.17197889142412e-12,4.49559552778674e-06,1.63934253729452e-05,1.99810252098123,5,1,0.3,0.314405388129312,1.42987298230291e-05
1,0.285975529526619,0.0124357581738805,0.0113424643289233,0.274633065197695,0.0277547955918854,1.92244089716782,7,1,0.3,0.314405388129312,0.90957579075903
5,0.136768674626955,0.0056141140643385,0.00414133538109769,0.132627339245857,0.0800863574940874,1.92970776098544,7,1,0.3,0.314405388129312,0.43500741332939
9,0.0468737088328224,0.00320096899861222,0.00102832302961628,0.0458453858032062,0.0469852577286778,1.90016489782484,7,1,0.3,0.314405388129312,0.14908684966157
20,0.01141861688242,0.00240064764036094,5.36834819192565e-05,0.0113649334005007,0.0133958188855897,1.65557064367988,7,1,0.3,0.314405388129312,0.0363181335738547
50,0.00265906610328034,0.000825326207259796,1.08655693292354e-06,0.00265797954634742,0.00373492194522223,1.51743839735247,7,1,0.3,0.314405388129312,0.0084574444448983
70,0.00177517835257599,0.000545014422016903,2.5373368316217e-07,0.00177492461889283,0.00263471872901702,1.56217127877412,7,1,0.3,0.314405388129312,0.00564614481684987
85,0.00147733545077061,0.000440312063607244,1.11256625600536e-07,0.00147722419414501,0.00224817978104299,1.59216450932696,7,1,0.3,0.314405388129312,0.00469882357793115
