"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude"
1,0.351257671060751,0.321200809993366,0.00914388397721602,0.342113787083535,0.00914388397721602,0.13247089387155
2,0.339898203403458,0.313873227989443,0.00800001783113785,0.331898185572321,0.0160000356622757,0.137792728194842
3,0.331185534275264,0.307359335618839,0.00716499648300599,0.324020537792258,0.021494989449018,0.149181991571965
5,0.320382835251875,0.286082774069461,0.00599842266942252,0.314384412582453,0.0299921133471126,0.215594542508409
9,0.313112288869169,0.258113882797187,0.0044931015411308,0.308619187328038,0.0404379138701772,0.326294142283739
12,0.311737659912553,0.244340358930025,0.00377251278680377,0.307965147125749,0.0452701534416453,0.389059440809303
15,0.311291172324838,0.234490822312448,0.00325483545046562,0.308036336874372,0.0488225317569844,0.437694280300699
18,0.311158339767347,0.22613909327088,0.00286516620722746,0.308293173560119,0.0515729917300943,0.477786623707246
20,0.311126226272723,0.221839992839591,0.0026544855061607,0.308471740766563,0.053089710123214,0.499767017740922
25,0.311056339745167,0.21423043355907,0.00224393459785002,0.308812405147317,0.0560983649462504,0.538787996414948
30,0.310910662318655,0.207759323805874,0.00194422184217198,0.308966440476483,0.0583266552651594,0.570398866188699
40,0.310395190061605,0.197499776223675,0.00153461651416061,0.308860573547444,0.0613846605664244,0.619666267531
50,0.309736417919498,0.191649914915582,0.00126735601349485,0.308469061906003,0.0633678006747424,0.64783988703698
70,0.308413377697883,0.187181466689306,0.000939505163331388,0.307473872534552,0.0657653614331972,0.66791424378299
100,0.306805681144554,0.178269389976536,0.000676479835075323,0.306129201309479,0.0676479835075323,0.70803880392538
