"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","model"
1,0.375327039810161,0.234922782873028,0.0145881528655388,0.360738886944622,0.0145881528655388,0.674722807692157,"theta=0.3, FIXED mortality"
2,0.387110884174858,0.220936584476382,0.0124623744897226,0.374648509685136,0.0249247489794452,0.756618773987558,"theta=0.3, FIXED mortality"
3,0.397679323724921,0.209728303420511,0.0108674651059087,0.386811858619012,0.0326023953177261,0.821808542674097,"theta=0.3, FIXED mortality"
5,0.413088002977782,0.18781398751534,0.00856468524255061,0.404523317735231,0.042823426212753,0.935213770271886,"theta=0.3, FIXED mortality"
9,0.42579084178501,0.160088816719905,0.00564707500130222,0.420143766783708,0.05082367501172,1.06957768026918,NA
12,0.426596545607039,0.148816087118419,0.00417972626022184,0.422416819346817,0.0501567151226621,1.12016815255712,NA
15,0.423883158987649,0.13812076416396,0.00311118846256107,0.420771970525088,0.0466678269384161,1.16616031787523,NA
18,0.419190520786491,0.151940709187703,0.00242904100749573,0.416761479778995,0.0437227381349232,1.09625673106527,NA
20,0.415251514787287,0.170546959633746,0.00218883379462392,0.413062680992663,0.0437766758924785,1.00836013772817,NA
25,0.402720231636097,0.156462420050498,0.00223186769610478,0.400488363939992,0.0557966924026194,1.06115553651786,NA
30,0.388358485747374,0.106206637773067,0.0022753283805138,0.386083157366861,0.0682598514154139,1.30302953212081,NA
40,0.373674356522992,0.0979088051997563,0.00183553371748971,0.371838822805502,0.0734213486995885,1.33614791725049,NA
50,0.368663856042077,0.102191660035752,0.00150954143558042,0.367154314606497,0.0754770717790209,1.30169992398556,NA
70,0.364736050380762,0.1036524257295,0.00110095651211614,0.363635093868646,0.0770669558481296,1.27899098322203,NA
100,0.362158021829921,0.0834744635649823,0.000777080355394078,0.361380941474527,0.0777080355394078,1.38939591796512,NA
