theta,interaction_resource,knife_edge_size,peak_fish_level,peak_yield,is_interior,declines_after,frac_drop_last3,max_amplitude
0.3,3,5,15.0,0.0803585417657879,TRUE,TRUE,0.11433711519821736,0.461261625479626
0.3,3,3,9.0,0.0820426153749441,TRUE,TRUE,0.03553278469392571,0.528860028299754
0.7,5,5,20.0,0.079905702651128,TRUE,TRUE,0.31255270353406855,0.799934416448485
0.1,0.7,7,50.0,0.296654044722605,TRUE,TRUE,0.5691815964003147,1.68777362682081
0.5,0.3,10,30.0,0.0643468418296375,TRUE,TRUE,0.38451900204480993,1.91998961398657
0.7,0.3,10,25.0,0.0638281621691981,TRUE,TRUE,0.37226432323722936,1.93206367209332
1,0.7,7,30.0,0.215364547012498,TRUE,TRUE,0.8501230096392353,1.93723359436254
1,0.3,10,15.0,0.0626398606246796,TRUE,TRUE,0.3523839526163116,1.94275724547398
0.7,0.7,7,50.0,0.1689650507906,TRUE,TRUE,0.7881581417185684,1.95494195988153
0.3,2,5,50.0,0.190333201064274,TRUE,TRUE,0.3290638250074622,1.9696276102244
0.5,0.7,7,50.0,0.194965980634414,TRUE,TRUE,0.6101127810816785,1.97938398909249
0.1,1,5,30.0,0.206574683842232,TRUE,TRUE,0.24271546709508587,1.99911294472767
0.5,3,3,50.0,0.137172321339169,TRUE,TRUE,0.13660422858160895,1.99920037519713
0.5,0.7,5,20.0,0.226257619654633,TRUE,TRUE,0.4899497533013223,1.99998339446145
0.1,1.3,3,25.0,0.144196350931273,TRUE,TRUE,0.026802712995304255,1.99999652960528
0.3,2,3,30.0,0.22790809219338,TRUE,TRUE,0.34171703477837806,1.99999999397196
0.1,1,3,20.0,0.256380362958566,TRUE,TRUE,0.06881693171655202,1.99999999999988
