"t","selected_biomass","total_biomass","on_frac","schedule","boost_level"
20.2,0.125570309090141,0.809138346629297,NA,"Constant",NA
20.4,0.0871940979381246,0.769404323848664,NA,"Constant",NA
20.6,0.0634396627999327,0.743952454006009,NA,"Constant",NA
20.8,0.049000131269176,0.727478277267607,NA,"Constant",NA
21,0.0402863480588241,0.716507080778283,NA,"Constant",NA
21.2,0.0350621619204548,0.708877405318297,NA,"Constant",NA
21.4,0.0319799744074715,0.70327647734238,NA,"Constant",NA
21.6,0.0302285349343173,0.698849072627651,NA,"Constant",NA
21.8,0.0293177136910351,0.695039399413896,NA,"Constant",NA
22,0.0289518986716217,0.691518019857577,NA,"Constant",NA
22.2,0.028955777723876,0.688047590585624,NA,"Constant",NA
22.4,0.0292304725905144,0.684448551049129,NA,"Constant",NA
22.6,0.0297254177822968,0.680625482212571,NA,"Constant",NA
22.8,0.0304211134335922,0.676496927647955,NA,"Constant",NA
23,0.0313213281343602,0.671965667925402,NA,"Constant",NA
23.2,0.0324480782080848,0.666970336271948,NA,"Constant",NA
23.4,0.0338365419171229,0.661448527238488,NA,"Constant",NA
23.6,0.0355361518993374,0.655291665162741,NA,"Constant",NA
23.8,0.0376167959948914,0.648396007439063,NA,"Constant",NA
24,0.0401699720043587,0.640651835070592,NA,"Constant",NA
24.2,0.0433085739552806,0.631883578834728,NA,"Constant",NA
24.4,0.0471790283594542,0.621884956624858,NA,"Constant",NA
24.6,0.0519781042889278,0.61042659758262,NA,"Constant",NA
24.8,0.0579520481699521,0.59718979495396,NA,"Constant",NA
25,0.0653839832562595,0.581784526684271,NA,"Constant",NA
25.2,0.0746001529745822,0.563776555977324,NA,"Constant",NA
25.4,0.0859737339956462,0.542648786953196,NA,"Constant",NA
25.6,0.0998381581024076,0.517864817184899,NA,"Constant",NA
25.8,0.11625394266441,0.489020188708532,NA,"Constant",NA
26,0.134622461197902,0.456072061321907,NA,"Constant",NA
26.2,0.153162660205482,0.419916584165709,NA,"Constant",NA
26.4,0.168194309726472,0.383332014637908,NA,"Constant",NA
26.6,0.173985489135597,0.352041605666478,NA,"Constant",NA
26.8,0.165823132660992,0.334768775838165,NA,"Constant",NA
27,0.145322381229809,0.339466563218384,NA,"Constant",NA
27.2,0.12003090966336,0.36610576845339,NA,"Constant",NA
27.4,0.0967628666951262,0.405481937986939,NA,"Constant",NA
27.6,0.0784968332374628,0.447578983336555,NA,"Constant",NA
27.8,0.0654137318466201,0.487058423489368,NA,"Constant",NA
28,0.0564833451952461,0.522141003611914,NA,"Constant",NA
28.2,0.0505055629306443,0.552537260297776,NA,"Constant",NA
28.4,0.0465054097464117,0.578495080293683,NA,"Constant",NA
28.6,0.0437876493883265,0.600451258805879,NA,"Constant",NA
28.8,0.0418867114950914,0.618892041490618,NA,"Constant",NA
29,0.0405016671339762,0.634292253943407,NA,"Constant",NA
29.2,0.0394420067492738,0.647088432440408,NA,"Constant",NA
29.4,0.0385884675761863,0.657668522109257,NA,"Constant",NA
29.6,0.0378666814050939,0.666370115779105,NA,"Constant",NA
29.8,0.0372301692772505,0.67348302107946,NA,"Constant",NA
30,0.0366496498303982,0.679253826132182,NA,"Constant",NA
30.2,0.0361064316486483,0.683891030790342,NA,"Constant",NA
30.4,0.0355883809864108,0.687570203804817,NA,"Constant",NA
30.6,0.0350874879800587,0.690439434917419,NA,"Constant",NA
30.8,0.0345984227105795,0.692622623732538,NA,"Constant",NA
31,0.0341177101928045,0.694222723549547,NA,"Constant",NA
31.2,0.0336432718451843,0.695328686675556,NA,"Constant",NA
31.4,0.0331742052345537,0.696013490353941,NA,"Constant",NA
31.6,0.0327107355978075,0.696335020274674,NA,"Constant",NA
31.8,0.0322542032364059,0.696348181220139,NA,"Constant",NA
32,0.0318070845414087,0.696095009975335,NA,"Constant",NA
32.2,0.0313730687750428,0.69560327502059,NA,"Constant",NA
32.4,0.0309570161031323,0.694906342869404,NA,"Constant",NA
32.6,0.0305648592966872,0.694025759946877,NA,"Constant",NA
32.8,0.0302035418200217,0.69296591746896,NA,"Constant",NA
33,0.0298807947058523,0.691742794112545,NA,"Constant",NA
33.2,0.0296049151602259,0.690363109712785,NA,"Constant",NA
33.4,0.0293846814682619,0.6888115703655,NA,"Constant",NA
33.6,0.0292291039529711,0.687087581500806,NA,"Constant",NA
33.8,0.029147369693304,0.685187186287733,NA,"Constant",NA
34,0.0291492328116284,0.68307947099388,NA,"Constant",NA
34.2,0.0292450446869877,0.680747429332743,NA,"Constant",NA
34.4,0.0294458524418454,0.678178759745171,NA,"Constant",NA
34.6,0.0297646415671332,0.675330153683741,NA,"Constant",NA
34.8,0.0302172302630663,0.672166138936472,NA,"Constant",NA
35,0.0308221786944355,0.66866301788714,NA,"Constant",NA
35.2,0.0316025590340398,0.664762850954483,NA,"Constant",NA
35.4,0.0325890247549912,0.660403298312366,NA,"Constant",NA
35.6,0.0338203370488158,0.655536048480877,NA,"Constant",NA
35.8,0.0353444306181996,0.650074757637171,NA,"Constant",NA
36,0.0372248328751997,0.643909463920999,NA,"Constant",NA
36.2,0.0395462728730841,0.636936848234335,NA,"Constant",NA
36.4,0.042414805983737,0.629007212862499,NA,"Constant",NA
36.6,0.0459635909772548,0.619919214994291,NA,"Constant",NA
36.8,0.0503695070479168,0.609455222753604,NA,"Constant",NA
37,0.0558618679746048,0.597332318611858,NA,"Constant",NA
37.2,0.062711451910903,0.583181661898671,NA,"Constant",NA
37.4,0.0712243801850475,0.566589666953635,NA,"Constant",NA
37.6,0.0817508361151089,0.547074681703072,NA,"Constant",NA
37.8,0.094640402923291,0.524104453173854,NA,"Constant",NA
38,0.110063401172644,0.497230543254242,NA,"Constant",NA
38.2,0.127676624363802,0.466270959769331,NA,"Constant",NA
38.4,0.146155201417357,0.431741396034984,NA,"Constant",NA
38.6,0.162577005609033,0.395670862898217,NA,"Constant",NA
38.8,0.171925538002588,0.362616727545559,NA,"Constant",NA
39,0.168799346673825,0.340225029085398,NA,"Constant",NA
39.2,0.152320934085413,0.337080891006914,NA,"Constant",NA
39.4,0.128351184275606,0.356395300913697,NA,"Constant",NA
39.6,0.104322677923896,0.391815177892786,NA,"Constant",NA
39.8,0.0844558100982447,0.433037747187631,NA,"Constant",NA
40,0.0697599559965279,0.473163782686137,NA,"Constant",NA
40.2,0.0595380074271213,0.509428528653646,NA,"Constant",NA
40.4,0.0526245455953084,0.541136431145828,NA,"Constant",NA
40.6,0.0479779215227347,0.568373266756342,NA,"Constant",NA
40.8,0.0448236875225907,0.591509287361806,NA,"Constant",NA
41,0.042630723101204,0.611006087627041,NA,"Constant",NA
41.2,0.0410501770954955,0.627333946642688,NA,"Constant",NA
41.4,0.0398585868169718,0.640934842077602,NA,"Constant",NA
41.6,0.0389147991706894,0.652206892935637,NA,"Constant",NA
41.8,0.0381301889232664,0.661499711711264,NA,"Constant",NA
42,0.0374490860409662,0.669115379321846,NA,"Constant",NA
42.2,0.0368363043653787,0.675312144657228,NA,"Constant",NA
42.4,0.036269352142781,0.680309171570608,NA,"Constant",NA
42.6,0.0357336337143559,0.684291671108272,NA,"Constant",NA
42.8,0.0352195268547259,0.687415960654995,NA,"Constant",NA
43,0.0347206304152023,0.689812820404378,NA,"Constant",NA
43.2,0.0342327395760487,0.691592096158036,NA,"Constant",NA
43.4,0.03375326142747,0.692847848321578,NA,"Constant",NA
43.6,0.0332809258108976,0.693656132330161,NA,"Constant",NA
43.8,0.032815679867986,0.694080438820269,NA,"Constant",NA
44,0.0323586401575491,0.694178878926219,NA,"Constant",NA
20.2,0.103350080245029,0.787003335332573,0.999999999908746,"Threshold (peaks)",3
20.4,0.0605797937537127,0.742873024163129,0.99970829963655,"Threshold (peaks)",3
20.6,0.0397712387132503,0.720121030443758,0.701084815539434,"Threshold (peaks)",3
20.8,0.0325941732194301,0.710610775326478,0.159642110220981,"Threshold (peaks)",3
21,0.0299006569675833,0.705428468514373,0.068872099070852,"Threshold (peaks)",3
21.2,0.0286237499364406,0.701573961069572,0.0451609436789046,"Threshold (peaks)",3
21.4,0.0280168855794301,0.698302201156511,0.0368330871505706,"Threshold (peaks)",3
21.6,0.0277845408553814,0.695254465316548,0.0340528363429496,"Threshold (peaks)",3
21.8,0.0277862521905221,0.692223404959385,0.0340725547217881,"Threshold (peaks)",3
22,0.0279521062797969,0.689107201780929,0.0360366961723346,"Threshold (peaks)",3
22.2,0.0282493708967246,0.685810122374305,0.039832854972244,"Threshold (peaks)",3
22.4,0.0286668839657221,0.68224382247381,0.0458167977168498,"Threshold (peaks)",3
22.6,0.0292047981459134,0.678365077076423,0.0547935541762381,"Threshold (peaks)",3
22.8,0.0298683302954548,0.674110910191458,0.0681496574325953,"Threshold (peaks)",3
23,0.030665649176235,0.669384673468302,0.0881649087603158,"Threshold (peaks)",3
23.2,0.0316037718649139,0.664106393305557,0.118394169774162,"Threshold (peaks)",3
23.4,0.0326818087602951,0.658164413234363,0.163802423134001,"Threshold (peaks)",3
23.6,0.0338911246230295,0.651377083347449,0.230283822448593,"Threshold (peaks)",3
23.8,0.0352251939688361,0.643547729906928,0.323107639661301,"Threshold (peaks)",3
24,0.0366952589966089,0.634453200923781,0.444055382292729,"Threshold (peaks)",3
