"t","total_biomass","on_frac","schedule","rel_amplitude"
20.2,0.836170109568235,NA,"Constant",0.485856499967448
20.4,0.808784237879651,NA,"Constant",0.485856499967448
20.6,0.787286313167939,NA,"Constant",0.485856499967448
20.8,0.770419524477767,NA,"Constant",0.485856499967448
21,0.757110130111547,NA,"Constant",0.485856499967448
21.2,0.746504203116879,NA,"Constant",0.485856499967448
21.4,0.737967979542761,NA,"Constant",0.485856499967448
21.6,0.730981707501866,NA,"Constant",0.485856499967448
21.8,0.725121236989897,NA,"Constant",0.485856499967448
22,0.720084819167042,NA,"Constant",0.485856499967448
22.2,0.715619576890001,NA,"Constant",0.485856499967448
22.4,0.71149244971727,NA,"Constant",0.485856499967448
22.6,0.707542061739702,NA,"Constant",0.485856499967448
22.8,0.70364252567676,NA,"Constant",0.485856499967448
23,0.699654089125753,NA,"Constant",0.485856499967448
23.2,0.695470812914294,NA,"Constant",0.485856499967448
23.4,0.691019948077595,NA,"Constant",0.485856499967448
23.6,0.686200856375788,NA,"Constant",0.485856499967448
23.8,0.680910081855505,NA,"Constant",0.485856499967448
24,0.675071013327526,NA,"Constant",0.485856499967448
24.2,0.66857751609383,NA,"Constant",0.485856499967448
24.4,0.661286842652249,NA,"Constant",0.485856499967448
24.6,0.653066024493522,NA,"Constant",0.485856499967448
24.8,0.64375608733884,NA,"Constant",0.485856499967448
25,0.633135601367158,NA,"Constant",0.485856499967448
25.2,0.620968880910513,NA,"Constant",0.485856499967448
25.4,0.607008654268247,NA,"Constant",0.485856499967448
25.6,0.590959373489065,NA,"Constant",0.485856499967448
25.8,0.572538267203009,NA,"Constant",0.485856499967448
26,0.551562640390382,NA,"Constant",0.485856499967448
26.2,0.528011159974001,NA,"Constant",0.485856499967448
26.4,0.502203385969601,NA,"Constant",0.485856499967448
26.6,0.475075254336327,NA,"Constant",0.485856499967448
26.8,0.448407556516309,NA,"Constant",0.485856499967448
27,0.424977812987498,NA,"Constant",0.485856499967448
27.2,0.408377002112422,NA,"Constant",0.485856499967448
27.4,0.402077281231516,NA,"Constant",0.485856499967448
27.6,0.407845683149032,NA,"Constant",0.485856499967448
27.8,0.424489658026741,NA,"Constant",0.485856499967448
28,0.448273160479374,NA,"Constant",0.485856499967448
28.2,0.474871719471651,NA,"Constant",0.485856499967448
28.4,0.501137309471059,NA,"Constant",0.485856499967448
28.6,0.525516494448585,NA,"Constant",0.485856499967448
28.8,0.547508771210749,NA,"Constant",0.485856499967448
29,0.567075649884567,NA,"Constant",0.485856499967448
29.2,0.584339161496071,NA,"Constant",0.485856499967448
29.4,0.599469401276716,NA,"Constant",0.485856499967448
29.6,0.612645846132644,NA,"Constant",0.485856499967448
29.8,0.624043976060797,NA,"Constant",0.485856499967448
30,0.633830653762984,NA,"Constant",0.485856499967448
30.2,0.642162538166736,NA,"Constant",0.485856499967448
30.4,0.649185499639287,NA,"Constant",0.485856499967448
30.6,0.655034352380194,NA,"Constant",0.485856499967448
30.8,0.659832711093779,NA,"Constant",0.485856499967448
31,0.663692886034681,NA,"Constant",0.485856499967448
31.2,0.666715841441052,NA,"Constant",0.485856499967448
31.4,0.668991542759762,NA,"Constant",0.485856499967448
31.6,0.670599061556112,NA,"Constant",0.485856499967448
31.8,0.671605831322356,NA,"Constant",0.485856499967448
32,0.672068955392705,NA,"Constant",0.485856499967448
32.2,0.672036440845049,NA,"Constant",0.485856499967448
32.4,0.671543528223975,NA,"Constant",0.485856499967448
32.6,0.67061432724636,NA,"Constant",0.485856499967448
32.8,0.669266687725339,NA,"Constant",0.485856499967448
33,0.667504289649726,NA,"Constant",0.485856499967448
33.2,0.665315758163338,NA,"Constant",0.485856499967448
33.4,0.662685426944241,NA,"Constant",0.485856499967448
33.6,0.659582731047031,NA,"Constant",0.485856499967448
33.8,0.655954559198935,NA,"Constant",0.485856499967448
34,0.651741515286921,NA,"Constant",0.485856499967448
34.2,0.646868397885356,NA,"Constant",0.485856499967448
34.4,0.641226018124341,NA,"Constant",0.485856499967448
34.6,0.634689631337339,NA,"Constant",0.485856499967448
34.8,0.627116430603223,NA,"Constant",0.485856499967448
35,0.618317244958504,NA,"Constant",0.485856499967448
35.2,0.608073834623709,NA,"Constant",0.485856499967448
35.4,0.596156353874161,NA,"Constant",0.485856499967448
35.6,0.58230466639375,NA,"Constant",0.485856499967448
35.8,0.56626123198809,NA,"Constant",0.485856499967448
36,0.54784947851853,NA,"Constant",0.485856499967448
36.2,0.527039879629374,NA,"Constant",0.485856499967448
36.4,0.5040859057666,NA,"Constant",0.485856499967448
36.6,0.479751892526809,NA,"Constant",0.485856499967448
36.8,0.455514181665896,NA,"Constant",0.485856499967448
37,0.43367807304786,NA,"Constant",0.485856499967448
37.2,0.417261340202102,NA,"Constant",0.485856499967448
37.4,0.409339641569763,NA,"Constant",0.485856499967448
37.6,0.411848858544433,NA,"Constant",0.485856499967448
37.8,0.424467196930363,NA,"Constant",0.485856499967448
38,0.444572201025453,NA,"Constant",0.485856499967448
38.2,0.468515453299935,NA,"Constant",0.485856499967448
38.4,0.493175733851519,NA,"Constant",0.485856499967448
38.6,0.516683893972956,NA,"Constant",0.485856499967448
38.8,0.538233141343933,NA,"Constant",0.485856499967448
39,0.557597146201209,NA,"Constant",0.485856499967448
39.2,0.574796549386844,NA,"Constant",0.485856499967448
39.4,0.589945614335674,NA,"Constant",0.485856499967448
39.6,0.603191015771411,NA,"Constant",0.485856499967448
39.8,0.614687499342529,NA,"Constant",0.485856499967448
40,0.624587827137634,NA,"Constant",0.485856499967448
40.2,0.633038417083708,NA,"Constant",0.485856499967448
40.4,0.640177310959514,NA,"Constant",0.485856499967448
40.6,0.646133120552273,NA,"Constant",0.485856499967448
40.8,0.651024416380787,NA,"Constant",0.485856499967448
41,0.654959372123318,NA,"Constant",0.485856499967448
41.2,0.658035537822659,NA,"Constant",0.485856499967448
41.4,0.660339543716168,NA,"Constant",0.485856499967448
41.6,0.661947138226886,NA,"Constant",0.485856499967448
41.8,0.66292367159848,NA,"Constant",0.485856499967448
42,0.663323080101928,NA,"Constant",0.485856499967448
42.2,0.66318725340959,NA,"Constant",0.485856499967448
42.4,0.662548630975155,NA,"Constant",0.485856499967448
42.6,0.661428152731339,NA,"Constant",0.485856499967448
42.8,0.659831236391566,NA,"Constant",0.485856499967448
43,0.657753588755848,NA,"Constant",0.485856499967448
43.2,0.655179984737235,NA,"Constant",0.485856499967448
43.4,0.652073865834372,NA,"Constant",0.485856499967448
43.6,0.648384834005341,NA,"Constant",0.485856499967448
43.8,0.64405137898789,NA,"Constant",0.485856499967448
44,0.638982731449208,NA,"Constant",0.485856499967448
20.2,0.744958403770879,0.0479825860079961,"Threshold (peaks)",1.12828607154077
20.4,0.737061422595748,0.00919869577544608,"Threshold (peaks)",1.12828607154077
20.6,0.732204808344799,0.00445181248824807,"Threshold (peaks)",1.12828607154077
20.8,0.728346113114517,0.00286133665527098,"Threshold (peaks)",1.12828607154077
21,0.725015288017378,0.00211895906123048,"Threshold (peaks)",1.12828607154077
21.2,0.722015262762736,0.00172012254223363,"Threshold (peaks)",1.12828607154077
21.4,0.719247130560149,0.00149531313265492,"Threshold (peaks)",1.12828607154077
21.6,0.716602229155424,0.00137503500298887,"Threshold (peaks)",1.12828607154077
21.8,0.713988098000148,0.00132915298928808,"Threshold (peaks)",1.12828607154077
22,0.711358774637644,0.00134697559473774,"Threshold (peaks)",1.12828607154077
22.2,0.708649561551285,0.00143083680224037,"Threshold (peaks)",1.12828607154077
22.4,0.705783597258127,0.00159586698171458,"Threshold (peaks)",1.12828607154077
22.6,0.702722741619664,0.00187439144225825,"Threshold (peaks)",1.12828607154077
22.8,0.69941980899551,0.00232732787504534,"Threshold (peaks)",1.12828607154077
23,0.695791502044486,0.00306867069948081,"Threshold (peaks)",1.12828607154077
