"t","selected_biomass","on_frac","schedule"
20.2,0.15270137535792,NA,"Constant"
20.4,0.126767767891981,NA,"Constant"
20.6,0.106825273242732,NA,"Constant"
20.8,0.0916581059542234,NA,"Constant"
21,0.0802098727749083,NA,"Constant"
21.2,0.0716160041355492,NA,"Constant"
21.4,0.0652053354519694,NA,"Constant"
21.6,0.0604724217027938,NA,"Constant"
21.8,0.0570410595031053,NA,"Constant"
22,0.0546318650506769,NA,"Constant"
22.2,0.0530378805910994,NA,"Constant"
22.4,0.0521076105344279,NA,"Constant"
22.6,0.051732857625425,NA,"Constant"
22.8,0.0518403333141996,NA,"Constant"
23,0.0523867228272489,NA,"Constant"
23.2,0.0533547750981772,NA,"Constant"
23.4,0.054749949058865,NA,"Constant"
23.6,0.0566005820753661,NA,"Constant"
23.8,0.0589600806232236,NA,"Constant"
24,0.0619064836630781,NA,"Constant"
24.2,0.0655433728587758,NA,"Constant"
24.4,0.0700082172773263,NA,"Constant"
24.6,0.0754797751396816,NA,"Constant"
24.8,0.0821745762921527,NA,"Constant"
25,0.090342350623366,NA,"Constant"
25.2,0.100271018040321,NA,"Constant"
25.4,0.112280759757845,NA,"Constant"
25.6,0.126667077296941,NA,"Constant"
25.8,0.143586848933212,NA,"Constant"
26,0.162917911012288,NA,"Constant"
26.2,0.184078584728763,NA,"Constant"
26.4,0.205822768259598,NA,"Constant"
26.6,0.226051661630368,NA,"Constant"
26.8,0.241687047651328,NA,"Constant"
27,0.249285886339385,NA,"Constant"
27.2,0.246688713743836,NA,"Constant"
27.4,0.234396244038962,NA,"Constant"
27.6,0.215376385103838,NA,"Constant"
27.8,0.193357522232426,NA,"Constant"
28,0.171278327241063,NA,"Constant"
28.2,0.150919393120165,NA,"Constant"
28.4,0.133165784740711,NA,"Constant"
28.6,0.118287582827024,NA,"Constant"
28.8,0.10615845076046,NA,"Constant"
29,0.0964459355119371,NA,"Constant"
29.2,0.0887489851725673,NA,"Constant"
29.4,0.0826769611060482,NA,"Constant"
29.6,0.0778864244891324,NA,"Constant"
29.8,0.074092563039425,NA,"Constant"
30,0.0710675909496178,NA,"Constant"
30.2,0.0686336821800727,NA,"Constant"
30.4,0.0666544276444704,NA,"Constant"
30.6,0.0650266774216296,NA,"Constant"
30.8,0.0636735095920728,NA,"Constant"
31,0.0625385186798754,NA,"Constant"
31.2,0.0615813657510094,NA,"Constant"
31.4,0.0607744291843158,NA,"Constant"
31.6,0.0601003686397174,NA,"Constant"
31.8,0.0595504326208678,NA,"Constant"
32,0.0591233468324934,NA,"Constant"
32.2,0.0588246315392077,NA,"Constant"
32.4,0.0586662879638493,NA,"Constant"
32.6,0.0586668006263324,NA,"Constant"
32.8,0.0588513474445548,NA,"Constant"
33,0.0592523048059012,NA,"Constant"
33.2,0.0599101356526612,NA,"Constant"
33.4,0.0608745324418623,NA,"Constant"
33.6,0.0622062054863988,NA,"Constant"
33.8,0.0639797204087008,NA,"Constant"
34,0.0662864470263949,NA,"Constant"
34.2,0.069237634756072,NA,"Constant"
34.4,0.0729699867212934,NA,"Constant"
34.6,0.0776525653027402,NA,"Constant"
34.8,0.0834890422303385,NA,"Constant"
35,0.0907148318773627,NA,"Constant"
35.2,0.0995950227407288,NA,"Constant"
35.4,0.110417442590629,NA,"Constant"
35.6,0.123453765410767,NA,"Constant"
35.8,0.138867340851467,NA,"Constant"
36,0.1565815286218,NA,"Constant"
36.2,0.176118189179567,NA,"Constant"
36.4,0.196420703944611,NA,"Constant"
36.6,0.215709393829743,NA,"Constant"
36.8,0.231406156495805,NA,"Constant"
37,0.240516280517171,NA,"Constant"
37.2,0.240829878835832,NA,"Constant"
37.4,0.232159545972138,NA,"Constant"
37.6,0.216518505550652,NA,"Constant"
37.8,0.197014737610878,NA,"Constant"
38,0.176476921927031,NA,"Constant"
38.2,0.156846597954342,NA,"Constant"
38.4,0.139231858319728,NA,"Constant"
38.6,0.12411630618921,NA,"Constant"
38.8,0.111548030783796,NA,"Constant"
39,0.101316157180393,NA,"Constant"
39.2,0.093094243763868,NA,"Constant"
39.4,0.0865323359342892,NA,"Constant"
39.6,0.0813058797589065,NA,"Constant"
39.8,0.0771362186394066,NA,"Constant"
40,0.0737949207491899,NA,"Constant"
40.2,0.0711002703582859,NA,"Constant"
40.4,0.0689107660113525,NA,"Constant"
40.6,0.0671181008803427,NA,"Constant"
40.8,0.0656407472735749,NA,"Constant"
41,0.064418564190878,NA,"Constant"
41.2,0.0634085043046621,NA,"Constant"
41.4,0.062581344006247,NA,"Constant"
41.6,0.0619193001376071,NA,"Constant"
41.8,0.0614143788234971,NA,"Constant"
42,0.0610673266079451,NA,"Constant"
42.2,0.0608870863213336,NA,"Constant"
42.4,0.0608906420140309,NA,"Constant"
42.6,0.0611032053669243,NA,"Constant"
42.8,0.0615588028973265,NA,"Constant"
43,0.0623012128934162,NA,"Constant"
43.2,0.0633853343572801,NA,"Constant"
43.4,0.0648793749411215,NA,"Constant"
43.6,0.0668675809474418,NA,"Constant"
43.8,0.0694530537201314,NA,"Constant"
44,0.0727619988635355,NA,"Constant"
20.2,0.0610459668242483,0.0479825860079961,"Threshold (peaks)"
20.4,0.0548826179125814,0.00919869577544608,"Threshold (peaks)"
20.6,0.0522210988789427,0.00445181248824807,"Threshold (peaks)"
20.8,0.0506048751909916,0.00286133665527098,"Threshold (peaks)"
21,0.0495078563567833,0.00211895906123048,"Threshold (peaks)"
21.2,0.0487466711133875,0.00172012254223363,"Threshold (peaks)"
21.4,0.0482355744823657,0.00149531313265492,"Threshold (peaks)"
21.6,0.0479296238031754,0.00137503500298887,"Threshold (peaks)"
21.8,0.0478058136136955,0.00132915298928808,"Threshold (peaks)"
22,0.0478544066125217,0.00134697559473774,"Threshold (peaks)"
22.2,0.0480747576973559,0.00143083680224037,"Threshold (peaks)"
22.4,0.0484730510350583,0.00159586698171458,"Threshold (peaks)"
22.6,0.0490601493525745,0.00187439144225825,"Threshold (peaks)"
22.8,0.0498503408435515,0.00232732787504534,"Threshold (peaks)"
23,0.0508605000530992,0.00306867069948081,"Threshold (peaks)"
23.2,0.0521058746359997,0.00431381788348734,"Threshold (peaks)"
23.4,0.0535909642078844,0.00647067240322067,"Threshold (peaks)"
23.6,0.0552949705504116,0.0102896850670675,"Threshold (peaks)"
23.8,0.0571471122122504,0.0169916232300043,"Threshold (peaks)"
24,0.059005979451427,0.0279856696010634,"Threshold (peaks)"
24.2,0.0607060557785264,0.0438960011239798,"Threshold (peaks)"
24.4,0.0621796585575434,0.0643700791280376,"Threshold (peaks)"
24.6,0.0634851168610093,0.0896226761829877,"Threshold (peaks)"
24.8,0.0647052273972842,0.120961476703556,"Threshold (peaks)"
25,0.0658946955843204,0.160182194376473,"Threshold (peaks)"
25.2,0.0670957530315681,0.209621475316202,"Threshold (peaks)"
25.4,0.0683544750645728,0.272551353143655,"Threshold (peaks)"
25.6,0.0697293362891213,0.353349929450765,"Threshold (peaks)"
25.8,0.0713083206157182,0.457366502743387,"Threshold (peaks)"
26,0.073243388161643,0.589085328967498,"Threshold (peaks)"
26.2,0.0757756840054687,0.741781074725738,"Threshold (peaks)"
26.4,0.0783572061840682,0.853687301597009,"Threshold (peaks)"
26.6,0.075222791499665,0.711666014585486,"Threshold (peaks)"
26.8,0.0692071732792682,0.321329429931996,"Threshold (peaks)"
27,0.0658178241825014,0.157364111480026,"Threshold (peaks)"
27.2,0.0634346204460349,0.0884982313028989,"Threshold (peaks)"
27.4,0.0619021861942787,0.0599325810426068,"Threshold (peaks)"
27.6,0.0609482988226172,0.0467727330090033,"Threshold (peaks)"
27.8,0.0603305715164868,0.0397682484652575,"Threshold (peaks)"
28,0.0599008504210713,0.035500755408907,"Threshold (peaks)"
28.2,0.0595751474470974,0.0325636324272127,"Threshold (peaks)"
28.4,0.0593082188840591,0.0303329047174768,"Threshold (peaks)"
28.6,0.0590754695786048,0.0285092149095174,"Threshold (peaks)"
28.8,0.0588629650558503,0.0269374106950168,"Threshold (peaks)"
29,0.0586623537706096,0.0255310860063323,"Threshold (peaks)"
29.2,0.0584683079799559,0.0242389411992846,"Threshold (peaks)"
29.4,0.0582771994254481,0.0230287799103787,"Threshold (peaks)"
29.6,0.0580863842188305,0.0218794059364227,"Threshold (peaks)"
29.8,0.0578937966347382,0.0207762775234943,"Threshold (peaks)"
30,0.0576977090269717,0.0197090759755933,"Threshold (peaks)"
30.2,0.0574965854662184,0.0186703038060886,"Threshold (peaks)"
30.4,0.0572889767615154,0.0176543955598191,"Threshold (peaks)"
30.6,0.0570734637626621,0.0166572514602132,"Threshold (peaks)"
30.8,0.0568486207808977,0.0156759623876278,"Threshold (peaks)"
31,0.0566129605247867,0.0147085235138053,"Threshold (peaks)"
31.2,0.0563649440414972,0.0137538719818509,"Threshold (peaks)"
31.4,0.0561029836558948,0.0128118759686424,"Threshold (peaks)"
31.6,0.055825402779045,0.0118831671219132,"Threshold (peaks)"
31.8,0.0555305073386374,0.010969347340451,"Threshold (peaks)"
32,0.0552166398212856,0.0100730216871836,"Threshold (peaks)"
32.2,0.0548821682090076,0.00919757085637377,"Threshold (peaks)"
32.4,0.0545256290618569,0.00834727287381162,"Threshold (peaks)"
32.6,0.0541458673430752,0.00752721450397378,"Threshold (peaks)"
32.8,0.0537420644804645,0.00674283086280731,"Threshold (peaks)"
33,0.0533139219591748,0.00599971390474661,"Threshold (peaks)"
33.2,0.0528618727631704,0.00530332678334522,"Threshold (peaks)"
33.4,0.0523871003737308,0.00465837955565964,"Threshold (peaks)"
33.6,0.0518916360937544,0.00406846521264491,"Threshold (peaks)"
33.8,0.0513785247297848,0.00353588060986641,"Threshold (peaks)"
34,0.0508517364557479,0.00306132069932511,"Threshold (peaks)"
34.2,0.0503160232261574,0.0026438159985627,"Threshold (peaks)"
34.4,0.0497769085154659,0.00228099468978437,"Threshold (peaks)"
34.6,0.0492404939759612,0.00196932266944638,"Threshold (peaks)"
34.8,0.048713109720791,0.00170437661812421,"Threshold (peaks)"
35,0.0482011574631408,0.00148127464501441,"Threshold (peaks)"
35.2,0.0477109859545405,0.00129504815470964,"Threshold (peaks)"
35.4,0.0472485992664495,0.00114086531005625,"Threshold (peaks)"
35.6,0.046819505962349,0.00101423726916939,"Threshold (peaks)"
35.8,0.0464287834682543,0.000911189009319378,"Threshold (peaks)"
36,0.0460810528054787,0.000828311001108447,"Threshold (peaks)"
36.2,0.0457804456764783,0.000762760492804645,"Threshold (peaks)"
36.4,0.0455307815539612,0.000712277193186364,"Threshold (peaks)"
36.6,0.0453357617523403,0.000675177435156901,"Threshold (peaks)"
36.8,0.0451990822735436,0.000650333167872715,"Threshold (peaks)"
37,0.0451246456578955,0.000637189242151981,"Threshold (peaks)"
37.2,0.0451168044701552,0.000635820205034143,"Threshold (peaks)"
37.4,0.0451805441899238,0.000647034613639398,"Threshold (peaks)"
37.6,0.0453217881321201,0.000672594517951081,"Threshold (peaks)"
37.8,0.0455477033837603,0.00071559081444825,"Threshold (peaks)"
38,0.0458668044775998,0.000781042388764062,"Threshold (peaks)"
38.2,0.0462892908915276,0.000876991111575559,"Threshold (peaks)"
38.4,0.0468276686236504,0.00101650987795849,"Threshold (peaks)"
38.6,0.0474967977373255,0.00122119727464097,"Threshold (peaks)"
38.8,0.0483135713387499,0.00152762118740877,"Threshold (peaks)"
39,0.0492972137355588,0.00200015988602208,"Threshold (peaks)"
39.2,0.0504686200252486,0.00275659106971148,"Threshold (peaks)"
39.4,0.0518458859030403,0.00401789910629967,"Threshold (peaks)"
39.6,0.0534357988853109,0.00620254882648965,"Threshold (peaks)"
39.8,0.0552193183926784,0.0100803555202845,"Threshold (peaks)"
40,0.057125526131921,0.016892942590818,"Threshold (peaks)"
40.2,0.0590121572339891,0.0280318329226603,"Threshold (peaks)"
40.4,0.0607186234669142,0.044041004238414,"Threshold (peaks)"
40.6,0.0621893574011452,0.064530595824832,"Threshold (peaks)"
40.8,0.0634915939231679,0.0897678347531375,"Threshold (peaks)"
41,0.0647100078642013,0.121101065228718,"Threshold (peaks)"
41.2,0.0658993287449075,0.160353342742521,"Threshold (peaks)"
41.4,0.0671021808881002,0.209913936306519,"Threshold (peaks)"
41.6,0.0683651818072552,0.273134404149755,"Threshold (peaks)"
41.8,0.0697477450977357,0.354505321705855,"Threshold (peaks)"
42,0.0713407710777303,0.459577877457951,"Threshold (peaks)"
42.2,0.0733055074741121,0.593206259060079,"Threshold (peaks)"
42.4,0.0759144614521842,0.749009732334159,"Threshold (peaks)"
42.6,0.0786582605872076,0.863709970699337,"Threshold (peaks)"
42.8,0.0752824475993788,0.715014304542675,"Threshold (peaks)"
43,0.0690572404415993,0.312421593599509,"Threshold (peaks)"
43.2,0.0656990233752157,0.153088383722377,"Threshold (peaks)"
43.4,0.0633421010165816,0.0864710360224708,"Threshold (peaks)"
43.6,0.0618343248191282,0.0588917140254371,"Threshold (peaks)"
43.8,0.060902890959328,0.0462201764101975,"Threshold (peaks)"
44,0.0603057410819182,0.0395088045508208,"Threshold (peaks)"
20.2,0.152701375351167,2.35408380167506e-10,"Threshold (troughs)"
20.4,0.126767759023466,2.90553543585146e-07,"Threshold (troughs)"
20.6,0.1068229752492,6.92954402286924e-05,"Threshold (troughs)"
20.8,0.0914911655678603,0.00463806524124092,"Threshold (troughs)"
21,0.0698292601395323,0.640358270423857,"Threshold (troughs)"
21.2,0.0160070250155007,0.99999978442765,"Threshold (troughs)"
21.4,0.00787521113796827,0.999999976866351,"Threshold (troughs)"
21.6,0.00697179395663512,0.999999981946861,"Threshold (troughs)"
21.8,0.00703552979719633,0.999999981628258,"Threshold (troughs)"
22,0.00722059802062922,0.999999980670915,"Threshold (troughs)"
22.2,0.00742900824426654,0.999999979532974,"Threshold (troughs)"
22.4,0.00765915791412789,0.999999978198337,"Threshold (troughs)"
22.6,0.00792239605334488,0.999999976564793,"Threshold (troughs)"
22.8,0.00823156039759639,0.999999974489288,"Threshold (troughs)"
23,0.00860200313501012,0.999999971758938,"Threshold (troughs)"
23.2,0.00905376728994445,0.999999968030683,"Threshold (troughs)"
23.4,0.00960984353173568,0.999999962759101,"Threshold (troughs)"
23.6,0.0102975471993831,0.999999955022269,"Threshold (troughs)"
23.8,0.0111567944297123,0.999999943059182,"Threshold (troughs)"
24,0.0122445882309496,0.999999923247305,"Threshold (troughs)"
24.2,0.0136332585948078,0.999999887635427,"Threshold (troughs)"
24.4,0.0154215411781116,0.999999816430406,"Threshold (troughs)"
24.6,0.0177638973443078,0.999999650843504,"Threshold (troughs)"
24.8,0.0208882682301003,0.999999176887751,"Threshold (troughs)"
25,0.0251020543877381,0.999997383259491,"Threshold (troughs)"
25.2,0.030847900705384,0.999987332609273,"Threshold (troughs)"
25.4,0.0388030435694793,0.999887556890165,"Threshold (troughs)"
25.6,0.049816218910369,0.997694317492597,"Threshold (troughs)"
25.8,0.0655769416605757,0.851205792135957,"Threshold (troughs)"
26,0.147519828172919,9.7608082761033e-10,"Threshold (troughs)"
26.2,0.184531185455869,3.78063337903913e-14,"Threshold (troughs)"
26.4,0.182685277326644,6.27487622864949e-14,"Threshold (troughs)"
26.6,0.166314894549924,5.61085242777339e-12,"Threshold (troughs)"
26.8,0.146713834117292,1.21776621142211e-09,"Threshold (troughs)"
27,0.128389224794613,1.86183061244354e-07,"Threshold (troughs)"
27.2,0.112802329248331,1.34265018772518e-05,"Threshold (troughs)"
27.4,0.100124163057249,0.000435586345125723,"Threshold (troughs)"
27.6,0.089759156650698,0.00744005027949054,"Threshold (troughs)"
27.8,0.0754695133073366,0.274639571082253,"Threshold (troughs)"
28,0.0197672444003375,0.999999394898754,"Threshold (troughs)"
28.2,0.0103040077545859,0.99999995494244,"Threshold (troughs)"
28.4,0.00925701565128546,0.999999966196514,"Threshold (troughs)"
