"theta","interaction_resource","knife_edge_size","fish_level","frac_up","frac_down","rel_diff"
0.3,1,5,20,0.0199084687031775,0.731869269731704,0.972797780250459
1,1,5,30,0.274802617907251,0.0106079950583035,0.961397765643252
1,1,5,20,0.0325083399605294,0.554215375129767,0.9413434895181
0.7,3,5,50,0.0223192062754193,0.369422606121374,0.939583539540928
0,2,5,30,0.0219939638004005,0.335507404687795,0.934445667984983
0.3,3,5,50,0.240881050719788,0.0233268307331855,0.903160374535558
0,5,5,30,0.932568951619556,0.136757752004889,0.853353736721143
0.3,1,5,30,0.0509601329516969,0.335877472704879,0.848277609863781
0,1,5,20,0.314260634374665,0.0494168998829002,0.842751861106521
0,2,5,20,0.0668859939458471,0.406245324733377,0.835355658579591
0.7,3,5,20,0.0986564802651952,0.426489891583894,0.76867803384787
0.7,3,5,100,0.0267744538917214,0.108848939670353,0.754021913554626
0.3,3,5,100,0.0136716645940625,0.0528170663473868,0.741150625365263
0,2,5,10,0.922919433585437,0.2544102939514,0.724341817180027
0,3,5,20,0.953489036324757,0.274262102083635,0.712359459170308
0,3,5,100,0.116422835852675,0.0336709016207762,0.710787824620727
0.3,2,5,10,0.229347400801733,0.517394932715631,0.556726619648233
0.3,2,5,30,0.0910586994261774,0.199817281733447,0.54429017031846
0.7,1,5,30,0.1426058026163,0.312734949075805,0.544004266111834
0,1,5,10,0.236869869650871,0.501438455756206,0.527619258292319
0.7,2,5,50,0.475947630773724,0.230804589637097,0.515063055862071
0.3,5,5,20,1.5933781911401,0.783739726282488,0.508126990415437
0.7,1,5,10,0.959489658525048,0.49444244689729,0.484681838408389
0.3,2,5,50,0.243137617651646,0.128794329988614,0.470282175039062
0,1,10,20,0.898700977989394,0.494895938377466,0.449320796907705
0.3,5,10,10,1.18589635514732,2.02270889850973,0.41370883569996
1,1,5,10,0.972199095209283,0.579174584813686,0.40426339865189
0,3,5,30,0.199095204303837,0.120809719248583,0.393206282034716
0,3,5,50,0.170935413975601,0.105183524229337,0.384659259406885
0.3,5,5,30,0.268605585645198,0.165360891256502,0.384372849658727
0.3,1,5,10,1.13883995255629,0.739636340827943,0.350535306416215
0.3,3,5,20,0.378070500460955,0.254652147097771,0.326442695774224
0,5,5,10,0.859430898233536,1.26885766633314,0.322673518837462
0.3,3,10,20,0.951273279399865,0.664546940188791,0.301413216811853
0,5,10,20,0.875977407400338,1.22937207343697,0.287459487385818
0,5,10,10,0.895536801132171,1.24713138292928,0.281922647934076
0,3,10,10,0.892109340892031,1.23136436984297,0.275511487305908
0,2,10,10,0.881374847374397,1.20810924396908,0.270451035968603
0.3,5,10,20,1.43778768006926,1.95900646310774,0.26606281952313
0,5,10,30,0.887461379300393,1.1980043281392,0.259216883899875
0.7,5,10,20,0.988327566879074,0.743520512381691,0.247698296295054
0,3,10,20,0.896490762486766,1.18341856123952,0.242456733526491
0.7,2,5,30,0.879843499142438,0.670464043746738,0.237973520972511
0.7,5,5,10,0.975045218798804,0.745216970333962,0.235710348642062
0.7,5,5,30,0.226057327207969,0.175146176540773,0.225213450481782
0.7,5,10,30,0.87898615212408,0.684835096120733,0.22088067660017
0,1,10,10,0.866230169406515,0.676070945876331,0.21952505263176
0,2,10,20,0.896516716127329,1.13691591945704,0.211448533014226
0,5,5,20,0.881768914633105,1.10530618546771,0.202240133796062
0.3,5,5,10,1.40554167962276,1.76143788497034,0.202048683285572
0,3,5,10,0.877646258019675,1.08695035264995,0.192560859950961
0.3,5,10,30,1.50666758173368,1.86317070177353,0.191342167253113
0.7,5,10,50,0.643649256677695,0.520676162032923,0.191056065658366
0,3,10,30,0.920820604051881,1.12818130736394,0.183800867784779
0.3,3,10,30,0.738661638547687,0.608225416916514,0.176584534547684
0.3,3,10,50,0.569277163742216,0.469819793347076,0.174708168058849
0,1,5,30,0.0263442206057019,0.0218446685390039,0.170798450789018
0,1,10,30,0.515357273106778,0.427565739491492,0.170350819124069
0.3,5,5,50,0.366933328758096,0.304810952526018,0.169301536173708
0,5,10,50,0.916690791992015,1.10037707096365,0.166930304000948
0,2,5,50,0.0215268456368189,0.0256404620863911,0.160434567665438
0.7,5,10,10,0.998529428209308,0.838993032823833,0.159771350626667
0,2,10,30,0.916871979710629,1.07276601960905,0.14531970350369
0.7,1,5,20,0.612488334925681,0.524864529286201,0.143061999131971
0.7,5,5,50,0.218776444474551,0.188296194747752,0.139321442031866
0.7,2,5,20,0.965219158331665,1.11640005913795,0.135418212825089
0.3,5,15,10,1.00858660648061,1.14804341254618,0.121473460447177
0.3,3,10,10,1.00052367159763,0.883003814194592,0.117458347802389
0.7,2,5,10,1.0374770783702,1.17536974698915,0.117318545055442
0,3,10,50,0.925827696674196,1.02654934134802,0.098116710631328
0,5,5,100,0.14683871396864,0.161929858544105,0.0931955644940837
