"fish_level","mean_total","mean_yield","conv_type","conv_years","fraction_of_unfished"
1,1.22836254016791,0.0149205756174019,"steady",1.8,0.985625520237255
2,1.20596452881414,0.0252991134708326,"steady",2.2,0.96765358534756
3,1.16418781409472,0.032848883156719,"steady",3.6,0.934132377371366
5,1.10900258162394,0.0425019036927021,"steady",6.4,0.889852312093576
9,1.0797391983444,0.0514168377745145,"steady",10.2,0.866371673091953
15,1.12739289081977,0.045526126774883,"steady",17.8,0.904608507822229
20,1.11956068477791,0.0395897250971643,"steady",22.2,0.89832402591874
30,0.641875365518448,0.0223260086397634,"steady",47.8,0.515034218627441
50,0.508593917874253,0.023631453143286,"steady",42.8,0.40809055022615
70,0.478011296508054,0.02531135799396,"steady",39.8,0.383551368096615
100,0.458612662095868,0.0272140663075145,"steady",37.8,0.367986102542531
