"fish_level","conv_type","conv_years","conv_period","yield_mean","yield_min","yield_max"
0,"not_converged",100,NA,0,0,0
5,"cycle",19.6,6.502,0.0442551617624829,0.0136034236453604,0.205709804892766
10,"cycle",21.4,7.084,0.0531416206319406,0.0166684212529414,0.322411010998186
15,"cycle",21,6.964,0.0590001388702473,0.018163840657209,0.386305184485222
20,"cycle",20.4,6.762,0.0627548338539663,0.0189629901729855,0.422905617399665
25,"cycle",19.8,6.562,0.0656753742020211,0.0195944912838911,0.454129424790206
30,"cycle",19.2,6.385,0.0675594142276344,0.0201219439483647,0.436024175704945
35,"cycle",18.8,6.233,0.0696877128416853,0.0205352037077731,0.468467300819031
40,"cycle",18.4,6.103,0.0708902928805057,0.0208661350304688,0.504510639204297
45,"cycle",18,5.992,0.0723093168225339,0.0212145980992894,0.430022674449336
50,"cycle",17.8,5.897,0.0736466801544848,0.0214877723768759,0.521614501368801
55,"cycle",17.6,5.814,0.0743873852239639,0.0217488035361536,0.528196551262713
60,"cycle",17.4,5.741,0.0753450795161377,0.0219747324709246,0.529808395730225
65,"cycle",17.2,5.678,0.0761909494911061,0.0221379171295668,0.537270154940896
70,"cycle",17,5.622,0.0770140109032148,0.0223423780812222,0.540824760355509
75,"cycle",16.8,5.572,0.077020369943236,0.0225216946686026,0.543117393174387
80,"cycle",16.6,5.527,0.0779846747261415,0.0227038782584295,0.544983662105404
85,"cycle",16.6,5.487,0.0787642234499538,0.0228562922535881,0.548316632901611
90,"cycle",16.4,5.45,0.078934163720911,0.0229136901859097,0.549798775770312
95,"cycle",16.4,5.418,0.0793838534703628,0.0230506610403218,0.530159608113767
100,"cycle",16.2,5.388,0.0798971883371393,0.0231471876454629,0.455648308748479
