"param","value","catchable_fraction","error"
"gamma",100,2.19707972191931e-05,NA
"gamma",132.237612712501,0.000116296900371842,NA
"gamma",174.867862159014,0.000193576791331634,NA
"gamma",231.241086320467,0.000245278286623144,NA
"gamma",305.787692160639,9.47730370629889e-05,NA
"gamma",404.366344081881,0.000403035196163839,NA
"gamma",534.724400026697,0.000364331341875696,NA
"gamma",707.106781186548,0.000361775375007751,NA
"gamma",935.061126769299,0.000363555308546684,NA
"gamma",1236.50251144233,0.000385078032424071,NA
"gamma",1635.12140226146,0.000403090303323037,NA
"gamma",2162.24550730173,0.000417811873001781,NA
"gamma",2859.30183983911,0.000429364297036428,NA
"gamma",3781.07249324785,0.000449607374134194,NA
"gamma",5000,0.000466516360391576,NA
