"param","value","catchable_fraction_mean","catchable_fraction_sd","catchable_fraction_min","catchable_fraction_max","error"
"gamma",100,6.22539741474777e-05,1.94569234215111e-05,1.86296190740618e-05,8.61048633334906e-05,NA
"gamma",132.237612712501,9.58100799489563e-05,3.36815849126125e-05,2.82237796042018e-05,0.000141300156738303,NA
"gamma",174.867862159014,0.000139254672021295,5.30683032731382e-05,4.30797183614359e-05,0.000217284268722792,NA
"gamma",231.241086320467,0.000185747541004588,7.39891029236762e-05,6.45291033898246e-05,0.000308238140850734,NA
"gamma",305.787692160639,0.000226976822412069,9.07042040312563e-05,9.47730370629889e-05,0.000394444234793883,NA
"gamma",404.366344081881,0.000271914878052902,0.00010373256775139,0.000144633166699468,0.000447922839283711,NA
"gamma",534.724400026697,0.000309426809033188,9.67997910451998e-05,0.000203501250709876,0.00046077730706683,NA
"gamma",707.106781186548,0.000338570513071886,1.90527777113855e-05,0.000312454805863244,0.000367867473528517,NA
"gamma",935.061126769299,0.000363557370102538,1.76956124918525e-09,0.000363555308546684,0.000363561669498091,NA
"gamma",1236.50251144233,0.00038507964230556,1.379349160183e-09,0.000385078032424071,0.00038508298732876,NA
"gamma",1635.12140226146,0.000403091556010773,1.07303695763246e-09,0.000403090303323037,0.000403094157901167,NA
"gamma",2162.24550730173,0.000417812814210278,8.04420407599449e-10,0.000417811873001781,0.000417814760645751,NA
"gamma",2859.30183983911,0.000429247288261886,8.09479844380293e-08,0.000429088073054583,0.000429364297036428,NA
"gamma",3781.07249324785,0.000449608703491938,1.20945525329562e-09,0.000449607374134194,0.000449611811569088,NA
"gamma",5000,0.000466517414156791,9.58517703874916e-10,0.000466516360391576,0.000466519876980903,NA
