"param","value","catchable_fraction_mean","catchable_fraction_sd","catchable_fraction_min","catchable_fraction_max","error"
"kappa",0.001,1.58266056506294e-06,1.07729938346716e-07,1.25693338097337e-06,1.81795601845036e-06,NA
"kappa",0.00163789370695406,3.04936250863973e-06,3.21632119467982e-07,2.06380624787759e-06,3.54057821775694e-06,NA
"kappa",0.00268269579527973,6.60210649567157e-06,9.2965846841955e-07,3.64229714930981e-06,7.80859227834656e-06,NA
"kappa",0.00439397056076079,1.58839202600271e-05,3.181624026725e-06,6.693674994481e-06,1.93726841670534e-05,NA
"kappa",0.00719685673001152,3.87219298444603e-05,1.04482521316462e-05,1.26407008288553e-05,5.0455314341214e-05,NA
"kappa",0.0117876863479359,8.72637015680973e-05,2.97953969740576e-05,2.55608322274496e-05,0.00012645116499502,NA
"kappa",0.0193069772888325,0.000164195290306861,6.42694205397504e-05,5.35232781540263e-05,0.000264657087087791,NA
"kappa",0.0316227766016838,0.000240484025476324,9.47917153259483e-05,0.000108345311354173,0.000414490120708552,NA
"kappa",0.0517947467923121,0.000311690423455002,9.48012890604696e-05,0.000208225657533477,0.000460383084691888,NA
"kappa",0.0848342898244072,0.000359508279349783,1.84853890060652e-09,0.000359506127039536,0.000359512774449581,NA
"kappa",0.138949549437314,0.000396202254448961,1.1898088459869e-09,0.000396200865487218,0.000396205139381371,NA
"kappa",0.227584592607479,0.000422352203367823,6.91880337269563e-10,0.000422351389121634,0.000422353867365268,NA
"kappa",0.372759372031494,0.00045197031616557,1.17526845226893e-09,0.000451969024343526,0.00045197333631653,NA
"kappa",0.610540229658533,0.000478529347783202,7.7156568366008e-10,0.000478528499425638,0.000478531330040784,NA
"kappa",1,0.00049566165281106,4.92639212777468e-10,0.000495661111031909,0.000495662918281329,NA
