"tau","t_max","rel_amplitude_P"
20,300,0.0327138375391682
20,1500,1.3450774032633e-06
20,3000,6.55059340104451e-12
20,6000,0
25,300,0.0542101829460229
25,1500,7.07742541185945e-05
25,3000,2.12781211408081e-08
25,6000,0
30,300,0.0733270289423623
30,1500,0.000376264095589017
30,3000,7.17949649198556e-07
30,6000,2.1703472352641e-12
35,300,0.0975755637234338
35,1500,0.000846696045897761
35,3000,4.0759190727879e-06
35,6000,8.4932477717451e-11
40,300,0.088339545738157
40,1500,0.0013209156413365
40,3000,9.94485715236995e-06
40,6000,6.12302500369209e-10
50,300,0.118344642998974
50,1500,0.00286223884185084
50,3000,4.17384633164296e-05
50,6000,6.94695363736583e-09
60,300,0.162910105777119
60,1500,0.00539159523558052
60,3000,0.000184328280847118
60,6000,1.80435272975913e-07
80,300,0.132200397329331
80,1500,0.0159631208971106
80,3000,0.000956590109194225
80,6000,4.97596187293232e-06
100,300,0.181634309063503
100,1500,0.0293696833600469
100,3000,0.00236977787914353
100,6000,4.07938192343217e-05
