"D","alpha","beta","gamma","beta_gamma","B","Cc","disc","sum_positive","disc_nonneg","hopf_possible"
1e-04,0.000166666666666667,0.6,3.33333333333334e-05,2e-05,-3.99722222222223e-05,2.4e-09,-8.0022214506173e-09,TRUE,FALSE,FALSE
0.000104728983823636,0.000174548306372727,0.6,3.49096612745453e-05,2.09457967647272e-05,-4.18611264181968e-05,2.63235841265554e-09,-8.7770797456219e-09,TRUE,FALSE,FALSE
0.000109681600527314,0.000182802667545523,0.6,3.65605335091046e-05,2.19363201054628e-05,-4.38392233956638e-05,2.88721283861598e-09,-9.62697384652901e-09,TRUE,FALSE,FALSE
0.000114868425673756,0.000191447376122926,0.6,3.82894752245852e-05,2.29736851347511e-05,-4.59107181716779e-05,3.1667412520241e-09,-1.05591709650572e-08,TRUE,FALSE,FALSE
0.000120300534942332,0.000200500891570554,0.6,4.01001783141108e-05,2.40601069884665e-05,-4.80800133694124e-05,3.47333248977873e-09,-1.1581642273512e-08,TRUE,FALSE,FALSE
0.000125989527779503,0.000209982546299171,0.6,4.19965092598343e-05,2.51979055559006e-05,-5.03517184420509e-05,3.80960666642451e-09,-1.27031311156305e-08,TRUE,FALSE,FALSE
0.000131947552167671,0.000219912586946118,0.6,4.39825173892235e-05,2.63895104335341e-05,-5.27306593211709e-05,4.17843756552964e-09,-1.39332278296732e-08,TRUE,FALSE,FALSE
0.000138187330565363,0.000230312217608939,0.6,4.60624435217878e-05,2.76374661130727e-05,-5.52218885085654e-05,4.58297719890744e-09,-1.52824518251773e-08,TRUE,FALSE,FALSE
0.000144722187074114,0.000241203645123523,0.6,4.82407290247046e-05,2.89444374148227e-05,-5.78306956312246e-05,5.02668274356354e-09,-1.67623416170628e-08,TRUE,FALSE,FALSE
0.00015156607589006,0.000252610126483434,0.6,5.05220252966868e-05,3.03132151780121e-05,-6.05626184800222e-05,5.51334608657077e-09,-1.83855535891264e-08,TRUE,FALSE,FALSE
0.000158733611101021,0.000264556018501702,0.6,5.29112037003404e-05,3.17467222202042e-05,-6.3423454553483e-05,6.04712623036085e-09,-2.01659703339457e-08,TRUE,FALSE,FALSE
0.000166240097892661,0.000277066829821102,0.6,5.54133659642204e-05,3.32480195785323e-05,-6.64192731288774e-05,6.63258483536679e-09,-2.21188194984987e-08,TRUE,FALSE,FALSE
0.000174101565230402,0.000290169275384003,0.6,5.80338550768006e-05,3.48203130460804e-05,-6.95564278837838e-05,7.2747252037622e-09,-2.42608041550968e-08,TRUE,FALSE,FALSE
0.000182334800086844,0.000303891333478074,0.6,6.07782666956148e-05,3.64669600173689e-05,-7.28415700921747e-05,7.97903503745028e-09,-2.66102458163079e-08,TRUE,FALSE,FALSE
0.00019095738328781,0.000318262305479683,0.6,6.36524610959366e-05,3.8191476657562e-05,-7.62816624200347e-05,8.75153333571061e-09,-2.91872413212783e-08,TRUE,FALSE,FALSE
0.000199987727053529,0.000333312878422548,0.6,6.66625756845096e-05,3.99975454107058e-05,-7.98839933464892e-05,9.59882183328882e-09,-3.20138349401734e-08,TRUE,FALSE,FALSE
0.000209445114315147,0.000349075190525245,0.6,6.9815038105049e-05,4.18890228630294e-05,-8.36561922374186e-05,1.05281414185164e-08,-3.51142071744017e-08,TRUE,FALSE,FALSE
0.000219349739890506,0.00036558289981751,0.6,7.31165799635021e-05,4.38699479781012e-05,-8.76062450995635e-05,1.15474340136078e-08,-3.85148818739866e-08,TRUE,FALSE,FALSE
0.000229722753607116,0.000382871256011859,0.6,7.65742512023719e-05,4.59445507214231e-05,-9.17425110441662e-05,1.26654104459605e-08,-4.22449534511532e-08,TRUE,FALSE,FALSE
0.000240586305464407,0.000400977175774011,0.6,8.01954351548023e-05,4.81172610928814e-05,-9.6073739490271e-05,1.38916248904831e-08,-4.63363361422879e-08,TRUE,FALSE,FALSE
0.000251963592931702,0.000419939321552837,0.6,8.39878643105673e-05,5.03927185863404e-05,-0.000100609088138895,1.52365565191326e-08,-5.08240374603905e-08,TRUE,FALSE,FALSE
0.000263878910482894,0.000439798184138156,0.6,8.79596368276312e-05,5.27757820965787e-05,-0.000105358141750386,1.67116990554333e-08,-5.57464581886389e-08,TRUE,FALSE,FALSE
0.000276357701473616,0.000460596169122694,0.6,9.21192338245388e-05,5.52715402947232e-05,-0.000110330931758436,1.83296589993073e-08,-6.11457214945445e-08,TRUE,FALSE,FALSE
0.000289426612471675,0.000482377687452792,0.6,9.64755374905584e-05,5.7885322494335e-05,-0.000115537956755318,2.0104263361639e-08,-6.70680339953624e-08,TRUE,FALSE,FALSE
0.000303113550156758,0.000505189250261264,0.6,0.000101037850052253,6.06227100313516e-05,-0.000120990203884124,2.2050677829272e-08,-7.35640818811664e-08,TRUE,FALSE,FALSE
0.00031744774091092,0.000529079568184866,0.6,0.000105815913636973,6.3489548182184e-05,-0.000126699171174897,2.41855363702672e-08,-8.06894655046627e-08,TRUE,FALSE,FALSE
0.000332459793227094,0.000554099655378491,0.6,0.000110819931075698,6.64919586454189e-05,-0.000132676890862747,2.65270833870246e-08,-8.85051761790929e-08,TRUE,FALSE,FALSE
0.000348181763068897,0.000580302938448162,0.6,0.000116060587689632,6.96363526137794e-05,-0.000138935953727187,2.90953296321037e-08,-9.70781192903318e-08,TRUE,FALSE,FALSE
0.000364647222321275,0.000607745370535458,0.6,0.000121549074107092,7.2929444464255e-05,-0.000145489534493103,3.19122232191891e-08,-1.06481688229737e-07,TRUE,FALSE,FALSE
0.000381891330478186,0.000636485550796976,0.6,0.000127297110159395,7.63782660956371e-05,-0.000152351418334901,3.50018371906557e-08,-1.16796394093967e-07,TRUE,FALSE,FALSE
0.000399950909720367,0.000666584849533945,0.6,0.000133316969906789,7.99901819440734e-05,-0.000159536028526519,3.83905752446758e-08,-1.28110556580689e-07,TRUE,FALSE,FALSE
0.000418864523543527,0.000698107539239212,0.6,0.000139621507847842,8.37729047087055e-05,-0.000167058455281068,4.21073973800031e-08,-1.40521062039116e-07,TRUE,FALSE,FALSE
0.00043867255910485,0.000731120931841417,0.6,0.000146224186368283,8.773451182097e-05,-0.000174934485824963,4.61840673867836e-08,-1.5413419521629e-07,TRUE,FALSE,FALSE
0.000459417313463648,0.000765695522439413,0.6,0.000153139104487883,9.18834626927296e-05,-0.000183180635752375,5.06554242984374e-08,-1.69066551879105e-07,TRUE,FALSE,FALSE
0.000481143083900327,0.000801905139833878,0.6,0.000160381027966776,9.62286167800653e-05,-0.000191814181706839,5.5559680124428e-08,-1.85446040193848e-07,TRUE,FALSE,FALSE
