"tau","max_N","min_N","max_P","min_P","rel_amplitude_P"
0,0.600000000048054,0.600000000000002,0.666666666666663,0.666666666543606,1.8458451434221e-10
2,0.600000000000002,0.600000000000001,0.666666666666664,0.666666666666663,2.16493489801907e-15
5,0.600000000155349,0.599999999064949,0.666666669292134,0.666666666230461,4.59250970461986e-09
8,0.600329111560945,0.599354220191797,0.668429231788881,0.6657485992961,0.0040208649007561
10,0.623275798983389,0.583094017987844,0.715156387752523,0.604303184910856,0.16623018246719
11,0.662973813686953,0.546799481691691,0.829292175255258,0.507842579769611,0.491352429795411
12,0.729971789956665,0.452569126847569,1.20261260802503,0.369047606705555,1.17662490145783
12.5,0.769058837635148,0.408407477727593,1.44992990909837,0.299292902049832,1.45691375408923
13,0.807254140509219,0.365935206358021,1.73429262204367,0.237701930053736,1.77111426903528
14,0.871158865652246,0.28857465112671,2.46706334216835,0.14687877167815,2.52423547606678
16,0.943734356258335,0.181252173734676,4.51871214142464,0.0589721083529671,3.40646685453532
20,0.987487140463846,0.079953845389173,11.5081441487582,0.012483845274185,3.37257896540314
25,0.997830011400006,0.0302433579429648,32.0659835989399,0.00213855086604653,6.75184052834886
30,0.999583017114864,0.0113222377836895,87.3221310698502,0.000409892351482807,7.77965648807163
