"tau","max_N","min_N","max_P","min_P","rel_amplitude_P","D_label"
0,0.600000000047415,0.600000000000002,0.666666666666663,0.666666666545249,1.82121484562022e-10,"D = 1 (above threshold, no Hopf predicted)"
0.5,0.600000001478517,0.600000000000002,0.666666666666661,0.666666662834437,5.74833580985112e-09,"D = 1 (above threshold, no Hopf predicted)"
1,0.600000020687138,0.600000000000195,0.666666666666157,0.666666612547148,8.11785139829668e-08,"D = 1 (above threshold, no Hopf predicted)"
2,0.600000852049879,0.600000000092271,0.666666666422111,0.666664408216429,3.38730978142535e-06,"D = 1 (above threshold, no Hopf predicted)"
3,0.600009880997491,0.60000000543144,0.666666652147449,0.666640251655171,3.9600947671954e-05,"D = 1 (above threshold, no Hopf predicted)"
5,0.600194724702151,0.60000078979766,0.666664533283241,0.666140840229128,0.00078565182843038,"D = 1 (above threshold, no Hopf predicted)"
7,0.601096934922975,0.600014342187394,0.666627693119776,0.663691119553068,0.00440934914487207,"D = 1 (above threshold, no Hopf predicted)"
10,0.605143678525261,0.600193654958703,0.666137750924455,0.65273154844618,0.020234200582248,"D = 1 (above threshold, no Hopf predicted)"
15,0.620241457485304,0.602008754149304,0.661169710438603,0.612859430540649,0.0748703107695985,"D = 1 (above threshold, no Hopf predicted)"
20,0.642363877081454,0.607243840512781,0.646942990173843,0.55799324138918,0.144939213216354,"D = 1 (above threshold, no Hopf predicted)"
0,0.600000013195312,0.59999987952978,0.0666666894635186,0.0666666604651254,4.34975897463188e-07,"D = 0.1 (below threshold, Hopf predicted)"
0.5,0.600000091118957,0.599999976867191,0.0666666772089411,0.0666666658760963,1.69992667258791e-07,"D = 0.1 (below threshold, Hopf predicted)"
1,0.600000057175828,0.599999996907014,0.0666666680421927,0.0666666443208765,3.55819750824109e-07,"D = 0.1 (below threshold, Hopf predicted)"
2,0.600000000783355,0.59999996630912,0.0666666806174209,0.0666666663294594,2.14319417453521e-07,"D = 0.1 (below threshold, Hopf predicted)"
3,0.600000027372702,0.599999999826486,0.0666666667398903,0.0666666560185136,1.60820653841322e-07,"D = 0.1 (below threshold, Hopf predicted)"
5,0.599999999983085,0.599999497397682,0.066666735611716,0.066666666668911,1.03414197078071e-06,"D = 0.1 (below threshold, Hopf predicted)"
7,0.599999852372496,0.599951705990794,0.066676195162955,0.066666695792037,0.000142487051987657,"D = 0.1 (below threshold, Hopf predicted)"
10,0.599990239374985,0.599499417978024,0.0667782581863723,0.066668843685647,0.00164053246570748,"D = 0.1 (below threshold, Hopf predicted)"
15,0.599793710361964,0.597116596296511,0.0673679428815096,0.0667182103474052,0.00971225082533916,"D = 0.1 (below threshold, Hopf predicted)"
20,0.599244242270511,0.592895797444795,0.0689695826258321,0.0667654903906011,0.0327138375391682,"D = 0.1 (below threshold, Hopf predicted)"
