"tau","max_N","min_N","max_P","min_P","rel_amplitude_P"
0,0.600000000047744,0.600000000000002,0.666666666666663,0.666666666544416,1.83370651998209e-10
0.5,0.600000000125373,0.600000000000002,0.666666666666663,0.666666666331092,5.03355523945827e-10
1,0.600000000295503,0.600000000000001,0.666666666666663,0.666666665842554,1.23616283886586e-09
1.5,0.600000000647914,0.600000000000001,0.666666666666663,0.666666664788939,2.81658663117539e-09
2,0.600239779483428,0.599788709074601,0.666735631151323,0.66659040296111,0.000217842266326438
2.2,0.621992133650008,0.57930814234674,0.673672965953402,0.660084028370337,0.0203825426825658
2.4,1.26694846010471,-0.0210781113111708,0.905973649525944,0.463707190107862,0.661085737148031
2.6,1.39029707539721,-0.225269481783883,0.970566802151039,0.419401205085303,0.827013733963638
2.8,1.44930614761985,-0.388610862630697,1.01944821545025,0.389850385203446,0.950718930662397
3,1.49484676566943,-0.548016013953736,1.06604586239875,0.36395559479507,1.04729950471867
4,1.73748056104999,-1.41382759691637,1.30035302473185,0.253149373982805,1.58385142743716
5,2.01239077959591,-2.3457969341043,1.51984649587288,0.167901661892056,2.02882151069321
7,2.58188153939835,-4.18798806506037,1.77694684018253,0.0700390579070472,2.51955363509343
10,3.38277808713988,-6.9562503015077,1.9819756350503,0.0182031118784796,3.05920416891329
15,4.49027225023786,-11.4382588887733,2.33291000006436,0.00199777959923802,3.58290612809211
20,5.34475189350083,-15.5324289527583,2.63701613198251,0.000258464065569959,4.21415564450175
