"tau","h","max_N","min_N","max_P","min_P","rel_amplitude_P"
2,0.5,2.49993449866919,-1.07867312310009,0.00069441222491715,4.66387745679776e-06,5.92202705713269
2.2,0.5,2.69999474499214,-1.65083018244533,0.000121521118509938,2.66438171727986e-07,7.23778768747269
2.4,0.5,2.89999265324661,-2.28649782290656,3.54923453523338e-05,1.90395676329179e-08,10.1561002886659
2.6,0.5,3.09998993171688,-2.98421839324512,7.00518181625845e-06,1.84635686235225e-09,9.0791285352079
2.8,0.5,3.29998668943537,-3.74256680844396,3.6359622415748e-06,3.59057430651516e-10,13.2892613929344
3,0.5,3.4999943468677,-4.5602119369252,1.01029585786405e-06,5.00981571618076e-11,12.4424578154679
3.5,0.5,3.99893943476112,-6.85730436386942,1.49100602922317e-07,4.25609261330958e-13,23.8230941847986
4,0.5,4.49996847837789,-9.50671367943596,1.11265762279133e-08,1.68633146653533e-14,16.4938090972831
5,0.5,5.49993238849094,-15.8332700169047,2.5285810829347e-09,5.21709765859048e-17,26.3721470214005
6,0.5,6.49998574435813,-23.4942073739577,5.40365364252951e-11,6.40730169716624e-19,16.5447793214136
8,0.5,8.49970249336777,-42.6936004516101,1.40408907146546e-10,1.09273010281497e-21,35.4635766120764
10,0.5,10.4995771127695,-66.9392829236581,1.18253291663809e-11,1.11541671998409e-22,35.4646007205678
15,0.5,15.4996519549102,-147.40899107452,1.91590909323806e-12,1.79077585932351e-23,35.4659737737947
20,0.5,-111.895083102579,-231.795083102579,6.85649613121158e-09,1.63767498729905e-24,35.4659939228654
25,0.5,-267.243707393472,-401.154411132194,2.26209272021008e-05,5.40328493626931e-21,35.4654106639473
30,0.5,30.4992683469647,-570.385681796575,0.000702163787137425,3.16440641257972e-17,21.8766879734434
